"","source","target","weight"
"1609","1785_Moritz,KarlPhilipp_AntonReiser_Novel_114000.txt",218,0.565600715271894
"1611","1785_Moritz,KarlPhilipp_AntonReiser_Novel_115000.txt",218,0.735680993052347
"2185","1785_Moritz,KarlPhilipp_AntonReiser_Novel_116000.txt",218,0.60837382114947
"1612","1785_Moritz,KarlPhilipp_AntonReiser_Novel_117000.txt",218,0.632442822225471
"1613","1785_Moritz,KarlPhilipp_AntonReiser_Novel_118000.txt",218,0.63494645950125
"1614","1785_Moritz,KarlPhilipp_AntonReiser_Novel_119000.txt",218,0.428776584137119
"1615","1785_Moritz,KarlPhilipp_AntonReiser_Novel_12000.txt",218,0.428736191804073
"1616","1785_Moritz,KarlPhilipp_AntonReiser_Novel_120000.txt",218,0.330006495353483
"1617","1785_Moritz,KarlPhilipp_AntonReiser_Novel_121000.txt",218,0.48889104043364
"2186","1785_Moritz,KarlPhilipp_AntonReiser_Novel_122000.txt",218,0.323020514714088
"1618","1785_Moritz,KarlPhilipp_AntonReiser_Novel_123000.txt",218,0.460876539308448
"1619","1785_Moritz,KarlPhilipp_AntonReiser_Novel_124000.txt",218,0.631507739111143
"2187","1785_Moritz,KarlPhilipp_AntonReiser_Novel_125000.txt",218,0.462712200146671
"1620","1785_Moritz,KarlPhilipp_AntonReiser_Novel_126000.txt",218,0.362266920847986
"1621","1785_Moritz,KarlPhilipp_AntonReiser_Novel_127000.txt",218,0.559513267890259
"2188","1785_Moritz,KarlPhilipp_AntonReiser_Novel_128000.txt",218,0.515471425975618
"1623","1785_Moritz,KarlPhilipp_AntonReiser_Novel_13000.txt",218,0.272287572414378
"1624","1785_Moritz,KarlPhilipp_AntonReiser_Novel_130000.txt",218,0.503875490839584
"1625","1785_Moritz,KarlPhilipp_AntonReiser_Novel_131000.txt",218,0.541959588480114
"2189","1785_Moritz,KarlPhilipp_AntonReiser_Novel_132000.txt",218,0.280052785220258
"21810","1785_Moritz,KarlPhilipp_AntonReiser_Novel_133000.txt",218,0.276820003018373
"1626","1785_Moritz,KarlPhilipp_AntonReiser_Novel_134000.txt",218,0.57885997681518
"1627","1785_Moritz,KarlPhilipp_AntonReiser_Novel_135000.txt",218,0.481626077822241
"1628","1785_Moritz,KarlPhilipp_AntonReiser_Novel_136000.txt",218,0.464785425511453
"1629","1785_Moritz,KarlPhilipp_AntonReiser_Novel_137000.txt",218,0.493685961036548
"1630","1785_Moritz,KarlPhilipp_AntonReiser_Novel_138000.txt",218,0.536917706465851
"1631","1785_Moritz,KarlPhilipp_AntonReiser_Novel_139000.txt",218,0.474998428047726
"1632","1785_Moritz,KarlPhilipp_AntonReiser_Novel_14000.txt",218,0.580784369101052
"15010","1785_Moritz,KarlPhilipp_AntonReiser_Novel_140000.txt",150,0.219240842276607
"21811","1785_Moritz,KarlPhilipp_AntonReiser_Novel_140000.txt",218,0.241151626309648
"21812","1785_Moritz,KarlPhilipp_AntonReiser_Novel_141000.txt",218,0.502007976367697
"1633","1785_Moritz,KarlPhilipp_AntonReiser_Novel_142000.txt",218,0.492265259395455
