topic.no,no.tokens,no.docs,no.novels,heterogeneity,avg.date,sd.date,coherence.total,sim.score,tokens.per,docs.per,novels.per,het.per,avg.date.per,sd.date.per,coherence.per,sim.per
215,268332,110,3,0.0181818182,1863,5,150.1870411176,0.8051866977,44,90,20,9,73,24,77,87
216,262123,35,17,0.7428571429,1813,18,140.4170153342,0.6946930547,40,45,87,75,22,49,69,1
217,295448,78,2,0.0512820513,1820,1,146.4569212219,0.7702614537,61,77,12,15,33,12,75,49
218,316524,153,2,0.0196078431,1785,0,129.8052198688,0.8125831193,73,95,12,10,4,5,51,91
219,352527,80,3,0.4375,1810,14,116.9628107342,0.7850859894,89,78,20,41,19,43,37,68
220,164024,18,11,0.7777777778,1840,30,184.5552255934,0.7359634818,5,12,65,82,51,77,96,11
221,262241,30,2,0.0333333333,1776,1,137.1504796917,0.7490092647,40,35,12,12,1,12,62,26
222,192502,32,11,0.34375,1839,28,140.2935873168,0.7757015428,10,39,65,33,50,72,68,54
223,374824,34,22,0.8823529412,1849,44,132.5376425715,0.759885909,95,43,98,100,58,98,53,40
224,230793,63,8,0.7142857143,1842,15,166.0549418431,0.7493931915,23,72,50,72,53,44,89,27
225,287600,65,28,0.8461538462,1873,28,103.2641926865,0.7849772622,53,73,100,95,84,72,25,67
226,321711,127,3,0.4724409449,1832,19,159.2885158515,0.7695127877,76,93,20,45,44,53,83,48
227,303409,106,2,0.0188679245,1780,1,150.2085474439,0.7650231602,65,89,13,9,2,13,78,44
228,291101,55,1,0,1897,0,108.136240078,0.7965932727,57,65,4,4,94,6,28,79
229,313517,145,1,0,1857,0,98.3017385189,0.8001876217,72,94,5,5,67,6,22,81
230,326512,21,2,0.0952380952,1852,17,104.8803474679,0.7940548963,79,15,13,18,62,48,27,75
231,289483,29,2,0.0689655172,1914,1,145.1006775948,0.8370027039,56,33,14,16,99,13,74,99
232,227295,151,2,0.4105960265,1838,1,198.9717839353,0.810194454,22,95,14,38,50,14,98,91
234,298669,46,11,0.4565217391,1828,35,171.2822280792,0.7489859194,63,57,66,43,40,89,90,25
235,315223,52,2,0.0192307692,1930,0,97.5233170854,0.7872133249,73,62,14,10,100,6,21,69
