topic.no,no.tokens,no.docs,no.novels,heterogeneity,avg.date,sd.date,coherence.total,sim.score,tokens.per,docs.per,novels.per,het.per,avg.date.per,sd.date.per,coherence.per,sim.per
131,61564,9,6,0.7777777778,1840,24,85.0127530761,0.7948730552,1,2,36,81,51,62,12,77
133,272597,27,10,0.5555555556,1832,22,145.1414094461,0.7814839226,46,25,59,52,44,58,74,63
134,263621,7,3,0.2857142857,1830,26,11.9509081783,0.7720206993,42,2,18,28,42,66,1,51
135,234098,29,12,0.6551724138,1819,25,165.018954622,0.7513096275,25,32,69,62,31,64,88,29
136,242127,31,7,0.3870967742,1795,11,128.1205662006,0.7218567797,29,36,43,35,9,36,49,4
137,180820,28,14,0.5714285714,1844,27,152.3985944196,0.7554394402,7,29,80,56,54,70,79,33
138,258101,31,12,0.7741935484,1866,44,148.8488312116,0.780294053,35,37,69,79,78,98,77,61
139,270612,15,8,0.5333333333,1847,25,109.8844592899,0.7557976238,45,10,48,52,57,64,29,33
140,333503,28,22,0.8928571429,1857,32,151.5707445015,0.7681931209,81,30,97,100,66,82,78,45
141,190856,28,4,0.1071428571,1817,5,140.5586354357,0.7775780981,9,30,26,20,28,23,69,56
142,313194,340,5,0.6294117647,1798,3,143.8428725325,0.8270846974,71,100,32,58,12,18,71,97
143,261416,77,8,0.0909090909,1844,11,180.755443035,0.8133774672,37,77,48,17,54,36,94,92
144,240286,12,8,0.8333333333,1880,22,77.737445913,0.7379677048,27,7,48,91,87,58,7,12
145,223244,38,12,0.5263157895,1892,31,187.0922853462,0.7955222839,20,47,70,51,92,78,96,78
