"Austen","PROTAG.NAME","PROTAG.GENDER","Combination","Combination_Class","Combination_Class2","STORY.ID","Short_Title","Author_Gender","Canonicity","PUB..DATE","GENRE","PREDICATE","AGENT","PATIENT","POSESSOR","AFFECT","COGITATION","SOCIABILITY","POLARITY","COMMUNICATIVENESS","DESCRIPTIVENESS","ABSTRACTION","DISTINCTIVENESS_SKEW","DISTINCTIVENESS_SKEW.woSaid.","DEPTH","CLASS.SIMILARITY","HOMOGENEITY","DISTINCTIVENESS_KL","EMBODIMENT","CLOTHES","MOTION","PHYSICAL","PERCEPTION","VALUATION","CENTRALITY","ENSEMBLE","MENTIONS","POPULATION","SOCIO","COMM","COG_PER","COG_PER_RATIO"
"","Emily","F","f_F","Female_Female","Female_Female","Chadwyck_1794_Radcliffe_TheMysteriesof","1794_Radcliffe_TheMysteriesof","f","can",1794,"rom",0.027858177,0.564851664,0.114146165,0.293143994,0.129,0.1087,0.005317735,0,0.042098733,0.008774262,0.542408934,11.28475936,6.430593819,0.876134492,0.853692811,0.728848325,1.203380029,0.021625454,0.001861207,0.053177347,0.00248161,0.080829567,0.009660551,8.159285159,2,3707.063932,0.353020087,-0.103382265,-0.038730834,0.189529567,1.34480492763248
"","Charlotte Temple","F","f_F","Female_Female","Female_Female","Chadwyck_1794_Rowson_CharlotteATale","1794_Rowson_CharlotteATale","f","non",1794,"rom",0.112903226,0.64516129,0.193548387,0.048387097,0.254,0.0317,0,0.5,0.092307692,0.107692308,0.584615385,3.98495651,3.564263436,0.810364791,0.598291418,0.320896314,2.44716806,0.015384615,0,0.076923077,0,0.076923077,0,1.557522124,2,416.347102,5.478251342,-0.0317,0.015384615,0.108623077,0.4120999995879
"","Marian","F","f_F","Female_Female","Female_Female","Chadwyck_1794_Rowson_MentoriaorThe","1794_Rowson_MentoriaorThe","f","non",1794,"rom",0.102564103,0.415384615,0.158974359,0.323076923,0.2039,0.0437,0.004854369,0.375,0.053398058,0.067961165,0.548543689,5.590450404,2.885831952,0.810284381,0.659582074,0.293444894,1.444228347,0.087378641,0.009708738,0.038834952,0.004854369,0.038834952,0.033980583,1.063583815,2,464.0137187,2.521813688,-0.038845631,0.014563106,0.082534952,1.12527498424615
"","Rebecca","F","f_F","Female_Female","Female_Female","Chadwyck_1794_Rowson_TheFillede","1794_Rowson_TheFillede","f","non",1794,"rom",0.066551922,0.49168101,0.122203098,0.31956397,0.121,0.0747,0.006134969,0,0.065811489,0.033463469,0.557724484,13.34253287,4.886053364,0.840868742,0.885630362,0.614589252,1.078501212,0.056887897,0.006134969,0.040156163,0.004461796,0.046291132,0.01115449,4.167076167,2,2472.014925,1.45755597,-0.068565031,0.019520357,0.120991132,1.61370000629926
"","Mr. Valmont","M","f_M","All","Mixed","Chadwyck_1795_Fenwick_SecresyOrThe","1795_Fenwick_SecresyOrThe","f","non",1795,"rom",0.144787645,0.444015444,0.187258687,0.223938224,0.1624,0.0627,0.012891344,0.5,0.012891344,0.060773481,0.451197053,5.854300854,6.086132519,0.797082577,0.569235887,0.371049812,0.792153743,0.007366483,0.003683241,0.042357274,0.005524862,0.038674033,0.012891344,1.037617555,3,624.3958255,0.986407307,-0.049808656,-0.025782689,0.101374033,1.62124286339622
"","Mr. Rooksby","M","f_M","All","Mixed","Chadwyck_1795_Rowson_Trialsofthe","1795_Rowson_Trialsofthe","f","non",1795,"rom",0.242990654,0.537383178,0.08411215,0.135514019,0.2103,0.0944,0.017094017,0.75,0.025641026,0.085470086,0.517094017,5.275367233,5.824515324,0.835825422,0.559646413,0.420787944,1.34246299,0.012820513,0,0.021367521,0.008547009,0.012820513,0.012820513,1.808306709,2,192.4866572,0.79539941,-0.077305983,0.012820513,0.107220513,7.3631998969152
"","Lord Grondale","M","m_M","All","Male_Male","Chadwyck_1796_Bage_HermsprongorMan","1796_Bage_HermsprongorMan","m","non",1796,"rom",0.072213501,0.558869702,0.149136578,0.21978022,0.105,0.0898,0.003025719,0.625,0.119515885,0.015128593,0.600605144,12.5479247,5.673705696,0.856246208,0.804112678,0.520987513,1.505688789,0.016641452,0.003025719,0.030257186,0.001512859,0.040847201,0.006051437,1.211347518,2,677.4677122,0.96094711,-0.086774281,0.078668684,0.130647201,2.19843704835492
"","Camilla","F","f_F","Female_Female","Female_Female","Chadwyck_1796_Burney_Camillaor","1796_Burney_CamillaorA","f","can",1796,"rom",0.059421764,0.514455906,0.122185094,0.303937237,0.1648,0.0963,0.008038359,0.25,0.017910027,0.033281625,0.543646876,8.149528909,8.183971361,0.863708326,0.802894675,0.801003511,1.157426705,0.038076435,0.00549993,0.041319983,0.004089691,0.04893527,0.00662812,2.30201121,2,1965.658687,0.281532324,-0.088261641,-0.031025243,0.14523527,1.96790576612738
"","Mr. Montague","M","f_M","All","Mixed","Chadwyck_1796_Hays_MemoirsofEmma","1796_Hays_MemoirsofEmma","f","non",1796,"rom",0.066371681,0.473451327,0.137168142,0.32300885,0.0952,0.0563,0.004291846,0.125,0.012875537,0.025751073,0.549356223,2.106829934,2.1525,0.837200549,0.476917652,0.188379965,1.258339422,0.0472103,0.008583691,0.0472103,0.008583691,0.042918455,0.008583691,1.676258993,8,367.056303,1.57534894,-0.052008154,-0.030042918,0.099218455,1.31178999803232
"","Henry","M","f_M","All","Mixed","Chadwyck_1796_Inchbald_NatureandArt","1796_Inchbald_NatureandArt","f","can",1796,"rom",0.068119891,0.493188011,0.099000908,0.33969119,0.138,0.0846,0.010704728,0,0.028545941,0.041926851,0.586083854,4.982943104,4.757928747,0.807074563,0.745238938,0.403230802,1.092154031,0.02676182,0.005352364,0.041926851,0.001784121,0.044603033,0.005352364,1.41292876,3,2385.460053,2.227320311,-0.073895272,-0.016057092,0.129203033,1.89673200026554
