Austen,Austen_Title,Austen_Title2,PROTAG.NAME,PROTAG.GENDER,Combination,Combination_Class,Combination_Class2,STORY.ID,Short_Title,Author_Gender,Canonicity,PUB..DATE,GENRE,PREDICATE,AGENT,PATIENT,POSESSOR,AFFECT,COGITATION,SOCIABILITY,POLARITY,COMMUNICATIVENESS,DESCRIPTIVENESS,ABSTRACTION,DISTINCTIVENESS_SKEW,DISTINCTIVENESS_SKEW.woSaid.,DEPTH,CLASS.SIMILARITY,HOMOGENEITY,DISTINCTIVENESS_KL,EMBODIMENT,CLOTHES,MOTION,PHYSICAL,PERCEPTION,VALUATION,CENTRALITY,ENSEMBLE,MENTIONS,POPULATION,SOCIO,COMM,COG_PER,COG_PER_RATIO
,,,Sarah,F,f_F,Female_Female,Female_Female,Chadwyck_1813_Rowson_SarahorThe,1813_Rowson_SarahorThe,f,non,1813,rom,0.3392981492,-0.9035756889,-0.2803862519,0.5734172423,0.3189125096,0.2334096519,-0.0933753168,-0.7147512654,-0.2961156698,0.6894953012,-0.0215546538,-0.3738097999,-0.6343243,-0.9411400671,0.4212289583,-1.1262243802,-0.7288166972,-0.6973092947,1.0959701854,-0.3329443454,0.0237059311,-1.1911008516,0.7126016632,0.1579834909,-0.6884936001,0.1947154189,0.7270301097,-0.2446678139,0.0762076209,-0.4085459803,1.2239318904
,,,Charlotte Temple,F,f_F,Female_Female,Female_Female,Chadwyck_1794_Rowson_CharlotteATale,1794_Rowson_CharlotteATale,f,non,1794,rom,0.4268326733,1.9531909219,1.1752550662,-2.340058454,3.8092115874,-1.7956241781,-0.8490688724,0.5669068524,0.6958573799,1.8847029125,0.6090259628,-1.0568455934,-0.9300207429,-0.5809857125,-0.8786571585,-0.9893154524,2.8451819021,-1.0365993801,-1.0520724968,1.6935469841,-0.8596395442,1.9012796786,-1.3553701497,-0.3330337747,-0.6884936001,-0.8279675529,5.927229018,1.2417510094,0.0869901847,-0.4481984351,-1.4383546291
,,,Julia,F,f_F,Female_Female,Female_Female,Chadwyck_1845_Kirkland_WesternClearings,1845_Kirkland_WesternClearings,f,non,1845,vic,1.1909660348,-1.2857809465,-0.1375812789,0.1921527177,-0.0923475368,0.0407300828,-0.515180721,-0.2875318928,0.1195812044,1.622980913,0.8917000221,-0.2152796626,0.3329006186,-0.0804566053,-0.1270594558,-0.9789509244,-0.1334102102,-1.026116234,-0.3402700787,1.7796397733,0.5453993343,-1.1404528941,-0.1371140764,-0.7636551285,-0.0343466195,-0.9038420462,0.2777964502,-0.246552476,0.4497917426,-0.532484081,0.956968193
,,,Mary,F,f_F,Female_Female,Female_Female,Chadwyck_1855_Evans_InezATale,1855_Evans_InezATale,f,non,1855,vic,-0.810601895,-0.1474747439,-1.0285509742,1.2257590864,-0.487373634,-1.1428729847,-0.1728550498,-1.1419706379,-0.8079674245,-0.7023411196,1.210091031,-0.6128424185,0.3390357833,-0.4311660767,-0.9838351838,-0.5625519002,0.1621690954,3.5724897728,1.0447893791,0.2289131967,-0.0835711397,0.6343821624,-0.1217209505,0.1148363968,-0.6884936001,1.1013483984,0.5487209443,0.9405389954,-0.9433090481,-0.5699822797,-1.0016758787
,,,Keziah,F,f_F,Female_Female,Female_Female,Chadwyck_1853_Hale_LiberiaorMr,1853_Hale_LiberiaorMr,f,non,1853,vic,-0.7370139553,0.3587019095,-0.3678647,0.4459948462,-0.4278491536,0.3395800268,-0.8490688724,-0.7147512654,-0.1512706219,-0.6455819593,0.6382681088,-0.4371033905,-1.0691458339,0.4267777224,0.0555973708,0.2420573957,-0.3185485623,-0.4727704247,-0.008913959,-0.400882256,-0.1732700361,-1.7681779714,-0.0163385927,-0.6742963304,1.9280943223,-0.7631126728,0.530978259,-0.6473991387,0.3826431331,-0.6118290339,3.0465906357
,,,Eliza,F,f_F,Female_Female,Female_Female,Chadwyck_1797_Foster_TheCoquetteor,1797_Foster_TheCoquetteor,f,non,1797,rom,-0.4285243871,-1.2864422815,0.5668275668,0.8939893405,1.4228210551,-0.2030685557,-0.5257468626,1.8485649702,-0.437304648,-0.1428143705,-0.6433275069,-0.5406975532,-0.0505054891,-1.3594411163,0.2131649184,-0.8394821767,-0.9246886065,-0.7794312921,-0.5925544456,-0.4573555197,-0.5572893574,-1.1160363855,-0.7655183526,0.1571451936,-0.0343466195,0.6826513964,1.2707681768,-0.0351660028,-0.0780239732,-0.7089206936,0.6988394002
,,,Miss Murray,F,f_F,Female_Female,Female_Female,Chadwyck_1847_Bronte_AgnesGreyA,1847_Bronte_AgnesGreyA,f,can,1847,vic,-0.4088417601,0.0627913621,-0.5062616292,0.5131384336,0.9953270595,-0.8086329158,-0.2698752029,-0.2875318928,-0.6173050527,-0.2973708952,-1.591473064,-0.5992907529,0.5209387673,0.1940458267,-0.8417118942,-0.7476714777,-0.3749510407,-0.7044200829,-0.2288997817,0.7974794073,-0.0472021161,-0.4581196261,-1.0031531991,-0.4517864836,-0.6884936001,-0.55723514,0.6862656104,0.6051707639,-0.4412820602,-0.8518044316,-0.3980923617
,,,Kate,F,f_F,Female_Female,Female_Female,Chadwyck_1852_Warner_DollarsandCents,1852_Warner_DollarsandCents,f,non,1852,vic,-0.6219207479,0.6455685295,1.4330355505,-0.8399420523,-0.9608638189,-1.0052447211,-0.6742403985,0.1396874798,5.1007368978,-0.3670568517,2.833463828,2.2495216444,-0.6044495747,0.7696672262,0.3044409441,1.9550404228,1.2469363671,0.6170852252,-0.1824166254,0.7408694952,0.2030352916,-0.2190746653,-0.6111582342,0.3081708266,1.9280943223,-0.1422522875,-0.4636287205,0.6138917142,4.833118869,-0.8856168131,-0.6458840154
,,,Nina,F,f_F,Female_Female,Female_Female,Chadwyck_1856_Stowe_DredATale,1856_Stowe_DredATale,f,can,1856,vic,-0.3081576597,0.9937671665,0.3112924937,-0.6761806721,-1.1529655511,-0.777175027,0.0329214972,0.5669068524,2.8947702717,-0.5108531883,1.0718852209,2.8297026376,-0.6654041109,0.8603383756,0.5318225864,1.7988844562,0.2355375863,-0.4672532372,-0.5506647527,0.8505751054,0.1300977992,-0.5778004888,-0.4972062944,-0.4996161461,-0.6884936001,-0.4612477496,-0.6399017147,0.7010684439,2.8772912163,-0.8866650867,-0.2998677085
,,,Tina,F,f_F,Female_Female,Female_Female,Chadwyck_1869_Stowe_OldtownFolks1869,1869_Stowe_OldtownFolks1869,f,can,1869,vic,-0.4421304619,0.4571608625,-0.1763857884,0.0697761307,0.0699919552,-1.0524315543,-0.2007835807,-0.2875318928,1.0239193059,-0.4674166705,0.6981687278,2.4124186201,0.4530989007,-0.3187579647,0.9802286095,1.8345134356,-0.4370926759,0.1927987044,0.09963822,-0.0894910663,0.9590655376,-0.214401712,-0.3697885342,-0.0155902994,-0.6884936001,-0.4496351478,-0.6588645434,0.8491074333,1.0207081932,-0.9197919567,-0.6756886716
,,,Lady Mary,F,f_F,Female_Female,Female_Female,Chadwyck_1828_Rowson_CharlotteDaughteror,1828_Rowson_CharlotteDaughteror,f,non,1828,rom,0.2594085504,-1.0162112014,-0.1888127322,0.6569438924,0.432550154,-0.3367645833,-0.3169346816,-0.7147512654,0.0335807992,0.3769899299,-0.218384599,-0.0723752713,-0.7817950213,-0.5973697161,0.2273058111,-0.047616322,-0.5050856398,-0.485253,1.5949424337,-0.7945340311,0.1355962783,-1.6754222179,0.9098247585,-0.5348607511,-0.0343466195,0.1655326683,1.9472146186,0.1684493139,0.5279521007,-1.0889256196,1.7541349202
,,,Mrs Reynolds,F,f_F,Female_Female,Female_Female,Chadwyck_1828_Sedgwick_RomanceinReal,1828_Sedgwick_RomanceinReal,f,can,1828,rom,-0.4810254108,-1.0830089618,-1.5176813694,1.9448620388,-1.2584862209,-0.4193415415,1.5380751459,0.1396874798,-0.3748094524,-1.0351331552,-0.3446687986,-1.4126930771,-1.5608790122,0.0430737372,-1.2458805691,-1.782978534,1.2080894085,-0.2721156895,-1.0520724968,0.5035357099,0.2565127779,-1.6790135482,0.0962901108,-0.3266860669,-0.6884936001,-0.310267214,8.411519936,0.9995147491,0.1472516246,-1.1545521346,1.6552567972
,,,Juliana,F,f_F,Female_Female,Female_Female,Chadwyck_1798_Foster_TheBoardingSchool,1798_Foster_TheBoardingSchool,f,non,1798,rom,0.216749809,-1.156198854,-0.6715898516,1.0547740991,-1.1583768675,-0.8282940964,-0.8490688724,0.5669068524,-0.2798697919,0.1104765628,-1.3338605934,-1.0558819673,-0.4621656132,-0.5532030661,-1.7069201642,-2.2158906905,2.955323747,-1.5712382678,-1.0520724968,-1.0893108038,-0.8596395442,-1.0963054344,3.0200567217,-0.7811411633,-0.6884936001,-1.1824896741,1.6718686964,0.3858929313,0.0632989249,-1.1826030396,0.1166596409
,,,Elsie,F,f_F,Female_Female,Female_Female,Chadwyck_1861_Holmes_ElsieVennerA,1861_Holmes_ElsieVennerA,f,non,1861,vic,1.392356997,-0.7190495768,1.5889144762,-1.3108319258,0.9601535029,-1.4377906926,4.5802422965,-0.7147512654,-0.708016843,1.7154370358,-0.9190526999,-0.6686173623,0.2324293395,-1.5983562757,-1.1792244443,0.3674900472,-0.2759814515,-1.2690510689,-1.0520724968,-0.3809144181,0.8712054787,-0.1550347367,-1.3553701497,-0.1533484097,-0.6884936001,-0.0494090931,-0.3097773359,3.1437082735,-0.6159079295,-1.1884028871,-0.9225158574
,,,Marian,F,f_F,Female_Female,Female_Female,Chadwyck_1794_Rowson_MentoriaorThe,1794_Rowson_MentoriaorThe,f,non,1794,rom,0.2584970513,-1.5784482194,0.4926899259,0.6802122069,2.4536768293,-1.3237558456,-0.4357607573,0.1396874798,-0.0626246083,0.8074818324,-0.0537486817,-0.703987936,-1.2587725549,-0.5826371212,-0.4885389352,-1.1147168671,0.4491887996,1.4653030714,0.7101566481,-0.4805043413,-0.27989049,-0.4405230237,3.9227541029,-0.7404759154,-0.6884936001,-0.7630673951,2.0564643871,0.9931475129,0.0720202105,-1.2414082203,-0.7393553705
,,,Lady Aubrey,F,f_F,Female_Female,Female_Female,Chadwyck_1797_Robinson_WalsinghamorThe,1797_Robinson_WalsinghamorThe,f,can,1797,rom,-0.361483549,-1.3799950778,-0.403674446,1.456152711,0.9845044267,-0.8636842213,-0.3720858354,-1.1419706379,-0.4664955824,-0.503510347,-0.4395866189,-0.4805537715,-0.6378877176,-1.6977561091,0.1677235825,0.4165127672,-0.8509338478,-0.5329106207,-0.8825957133,-1.0983184634,-0.6366174582,-1.2208238426,-0.1951261594,-0.594409028,-0.6884936001,-0.591279957,-0.5608425203,0.61211226,-0.074254934,-1.2715444836,0.2346664413
,,,Glorvina,F,f_F,Female_Female,Female_Female,Chadwyck_1806_Morgan_TheWildIrish,1806_Morgan_TheWildIrish,f,non,1806,rom,-0.5534252951,-0.8429891877,-1.4603075061,1.7900976161,-0.4143208626,-1.304094665,-0.7471030216,0.5669068524,-0.4031730469,-0.3207849083,1.1777594017,-0.5516867051,0.4458296685,-0.021173168,-0.4032177022,-1.2051595418,0.0854716844,3.0484260185,0.6869415703,0.5156741804,-0.4305558634,-0.6192446287,-0.0532220762,0.7418091796,-0.6884936001,-0.3490794528,-0.0495299437,0.8485296248,-0.1933564563,-1.3145872493,-0.6364832804
,,,Jenny,F,f_F,Female_Female,Female_Female,Chadwyck_1865_Stowe_HouseandHome,1865_Stowe_HouseandHome,f,can,1865,vic,0.9938176692,1.9926297639,0.7193333315,-2.4972479568,-2.1811156671,-3.0421430234,1.9272834569,-0.2875318928,7.7956361779,0.4383865929,1.6506184428,-0.5764887265,-1.4696825519,-0.0263465278,-0.0768916931,0.0880099094,4.3101320919,-1.5712382678,-1.0520724968,-0.2154665615,0.4384941633,-1.4916391435,2.0213179219,-0.6372866125,-0.6884936001,-1.20802757,0.4494719422,3.4791134878,7.7294836021,-3.0899059913,-1.8422633477
