STORY.ID,PUB..DATE,COLLECTION,GENRE,X..PREDICATE,X..AGENT,X..PATIENT,X..POSESSOR,AFFECT,COGITATION,SOCIABILITY,POLARITY,COMMUNICATIVENESS,CONCRETENESS,ABTRACTION,OBJECTIVITY,DISTINCTIVENESS.AwSaid,DISTINCTIVENESS.AwoSaid,DEPTH,CLASS.SIMILIARITY,HOMOGENEITY,DISTINCTIVENESS.BwStop,DISTINCTIVENESS.BwoStop,EMBODIMENT,CLOTHES,MOTION,PHYSICAL,PERCEPTION,VALUATION,CENTRALITY,ENSEMBLE,DISTRIBTION,MENTIONS,POPULATION,PROTAG..NAME,PROTAG..GENDER,AUTH_GENDER,cog_per,cog_per_norm,GENRE
20186,1955,klab,DNE,0.0203748981,0.7204563977,0.054604727,0.2045639772,7.73,15.65,0.0058939096,0.5,0.0373280943,0.0055009823,0.6349705305,0.3434184676,5.761392607,5.1701625336,0.8328975897,0.8161364927,0.4284490454,2.0530844671,1.5626017242,0.0675834971,0.005108055,0.0530451866,0.0031434185,0.1190569745,0.0035363458,6.9915254237,3,3.5397853834,5488.1699447857,2.2174424019,Charlie,M,M,0.2755569745,3.0674285019,scifi
3798,1915,klab,DNE,0.1493506494,0.6614100186,0.1224489796,0.0667903525,9.2,14.2,0.0222816399,0.375,0.1131907308,0.0819964349,0.5668449198,0.2807486631,12.3898940019,7.779819083,0.7941481641,0.8703484084,0.8521415491,1.861941605,1.3042168897,0.0178253119,0.004456328,0.0365418895,0.008912656,0.1310160428,0.0106951872,4.948,4,3.6783278996,2937.2306450273,1.1872395493,John,M,M,0.2730160428,3.0042960463,adventure/war
22084,1983,klab,DNE,0.1251676352,0.688869021,0.0992400536,0.0867232901,5.48,14.72,0.0242077465,0.625,0.0017605634,0.0669014085,0.5743838028,0.3780809859,6.4243839482,6.4216682182,0.8287802022,0.4455202803,0.58934881,1.9784014811,1.4417323453,0.0347711268,0.0039612676,0.0528169014,0.0154049296,0.1241197183,0.0092429577,6.6137820513,4,3.8841732928,1846.5737488535,0.4474373028,Hawksworth,M,M,0.2713197183,2.9621488563,adventure/war
20104,1953,klab,DNE,0.0649188514,0.8152309613,0.074906367,0.0449438202,8.5,17.36,0.0172201722,0.625,0.0824108241,0.0135301353,0.557195572,0.270602706,7.4135092808,4.772159618,0.779046246,0.8453217944,0.7506926626,2.0005714981,1.5783155173,0.0332103321,0.0012300123,0.0504305043,0.0012300123,0.0959409594,0.0024600246,1.0661157025,3,1.8154997063,1409.1430444044,1.8205982486,Mikal,M,M,0.2695409594,2.917953486,scifi
21423,1977,klab,DNE,0.0447598253,0.7969432314,0.0655021834,0.0927947598,8.82,16.99,0.0075268817,0,0.0129032258,0.0193548387,0.5333333333,0.2666666667,4.5818879389,4.6514998895,0.9180871827,0.6098317116,0.3071427724,1.5696062828,1.1378490061,0.0279569892,0.0053763441,0.0505376344,0.0053763441,0.0967741935,0.011827957,4.0844444444,6,3.2815685595,1201.9042138579,1.3078391881,Flinx,F,M,0.2666741935,2.8467252941,scifi
10616,1940,klab,DNE,0.0371329879,0.7720207254,0.0643350604,0.1265112263,6.82,17.91,0.0113493064,0.125,0.0735603195,0.009247583,0.5687263556,0.3076923077,10.9026255743,7.468272203,0.8011036819,0.8890062313,0.7579386196,1.7713922492,1.2914794656,0.0315258512,0.0025220681,0.0554854981,0.0025220681,0.087431694,0.0155527533,4.9911111111,3,3.8777416771,1131.3265635074,0.5037072856,Mitch,M,M,0.266531694,2.8431847253,historical fiction
21304,1976,klab,DNE,0.0314547837,0.8374836173,0.0747051114,0.0563564875,11.1,15.31,0.0178117048,0,0.0432569975,0.0139949109,0.5979643766,0.2582697201,4.3292612522,3.2829860904,0.8397180819,0.7911691394,0.4363879371,1.9480629609,1.4986161269,0.0127226463,0,0.0547073791,0.0038167939,0.1132315522,0.0089058524,1.1779548473,2,1.9753749309,1428.083750569,1.8965255652,Joachim,M,F,0.2663315522,2.8382119654,scifi
22243,1984,klab,DNE,0.0249934228,0.7503288608,0.0547224415,0.1699552749,5.24,12.21,0.0103955375,0.5,0.0314401623,0.0068458418,0.599137931,0.4089756592,7.5148741818,7.8042339328,0.8011498827,0.7811131468,0.8073339288,2.0667768675,1.4009111539,0.0803752535,0.0086206897,0.0821501014,0.0053245436,0.1430020284,0.0055780933,2.0077262693,2,2.7068537006,3280.9357611176,0.9018515011,Ike,M,M,0.2651020284,2.8076629913,mystery
22355,1985,klab,DNE,0.0126582278,0.829689298,0.0310701956,0.1265822785,7.94,15.87,0.0045506257,0.625,0.1001137656,0.0056882821,0.6336746303,0.2821387941,11.3483376376,8.8675446816,0.7711491577,0.8282478916,0.7881100857,1.8307925057,1.3338297552,0.0227531286,0.0034129693,0.0659840728,0.0022753129,0.1058020478,0.0091012514,1.606,5,1.6620587534,1098.4501320055,1.3679329166,Hiley,F,M,0.2645020478,2.7927557631,scifi
20423,1960,klab,DNE,0.0205128205,0.6837606838,0.0769230769,0.2188034188,6.27,16.01,0.0132450331,0,0.0397350993,0.0049668874,0.5198675497,0.357615894,4.354205634,4.4169367366,0.7848320088,0.7331325398,0.3101453414,1.7500637595,1.1829751646,0.0430463576,0.0066225166,0.0728476821,0.0033112583,0.1043046358,0.0099337748,7.6103896104,3,3.9431442799,1579.3871115543,2.6951998491,John Donner,M,M,0.2644046358,2.7903354467,literary fiction
10796,1945,klab,DNE,0.0231400117,0.7513181019,0.0486233158,0.1769185706,8.56,18.41,0.0073758865,0,0.1106382979,0.0068085106,0.6269503546,0.2870921986,16.2283894739,7.7186970814,0.7865068786,0.9026101251,0.8814609552,2.1744795851,1.6073870853,0.0516312057,0.0124822695,0.0558865248,0.0031205674,0.0777304965,0.0062411348,8.7467700258,4,3.974317483,4084.4645550528,1.2066365008,Bain,M,M,0.2618304965,2.726377909,historical fiction
23527,1968,klab,DNE,0.0536779324,0.7236580517,0.0437375746,0.1789264414,7.96,17.25,0.0066413662,0.125,0.009487666,0.0123339658,0.5825426945,0.3368121442,6.5688113102,6.6722686562,0.7792531472,0.5976847133,0.3563919082,1.4232660956,0.9700173715,0.0322580645,0.0037950664,0.0759013283,0.0037950664,0.0891840607,0.0066413662,2.5934065934,4,3.0605633675,1461.0967512266,1.5477719822,Bowman,M,M,0.2616840607,2.7227395382,scifi
21454,1977,klab,DNE,0.02,0.7509090909,0.0554545455,0.1736363636,5.74,12.72,0.0061782877,0.375,0.0097087379,0.0052956752,0.5736981465,0.4165931156,5.028952954,5.0856531726,0.7937979636,0.6179004399,0.190742559,1.7285651484,1.2173485692,0.06619594,0.013239188,0.0697263901,0.0017652251,0.134157105,0.0079435128,3.3441558442,2,3.664756248,1754.8642109926,1.7037516612,Prentice,M,M,0.261357105,2.7146159368,adventure/war
11655,1940,klab,DNE,0.0362659503,0.7266621894,0.0483546004,0.1887172599,4.71,11.97,0.0026143791,0.125,0.0287581699,0.0111111111,0.6052287582,0.3823529412,6.3271315114,6.6135899014,0.8231784494,0.7320828126,0.6288235243,1.8922549148,1.3833127164,0.0745098039,0.008496732,0.085620915,0.0078431373,0.1411764706,0.008496732,2.8991769547,2,3.2828068225,2236.8274832913,1.5875283771,Sheila,F,M,0.2608764706,2.7026740063,mystery
22081,1983,klab,DNE,0.0307472292,0.6692885234,0.0482659993,0.2516982481,7.1,14.21,0.0038194444,0.125,0.0204861111,0.0111111111,0.5982638889,0.4184027778,9.1669843289,9.5554026283,0.7476852919,0.6957850412,0.6525828103,1.9509129843,1.350645455,0.1065972222,0.0145833333,0.0638888889,0.0017361111,0.1180555556,0.0055555556,1.3818181818,2,2.4897990514,2123.2839504257,0.7760540754,Rudy,M,F,0.2601555556,2.6847620198,scifi
22298,1985,klab,DNE,0.045815678,0.7984639831,0.0778601695,0.0778601695,9.72,13.87,0.0138213463,0.375,0.0839518812,0.0084463783,0.6135142053,0.2807780906,14.4927794464,6.194571257,0.7743131307,0.9123616721,0.8910394806,1.9647237058,1.3678346012,0.0225236755,0.0020476069,0.0583567955,0.003583312,0.1213207064,0.0074225749,2.4241645244,3,2.8457597141,1166.8950753439,0.309357125,Ayla,F,F,0.2600207064,2.6814115318,romance
10864,1947,klab,DNE,0.0263157895,0.6954887218,0.0864661654,0.1917293233,6.62,16.97,0.0120336943,0.5,0.1251504212,0.0120336943,0.5716004813,0.2755716005,10.3210532304,6.5001042958,0.7722060829,0.8805797308,0.7679387454,2.1795967723,1.5947270245,0.0565583634,0.0036101083,0.0397111913,0,0.0902527076,0.0072202166,1.8111587983,3,2.2599085446,2722.4928228122,3.2257023967,Mr. Whittle,M,M,0.2599527076,2.6797220211,scifi
21965,1982,klab,DNE,0.0268948655,0.6695773664,0.0712539294,0.2322738386,5.71,15.36,0.0034352456,0.875,0.0312607351,0.0075575404,0.6032291309,0.3967708691,7.3345995684,7.249845799,0.7905054411,0.7723461487,0.6530851508,1.8731062927,1.3622965216,0.0900034352,0.0072140158,0.0480934387,0.0041222947,0.1058055651,0.0092751632,2.2881754111,2,2.9838421717,1727.2566057812,0.5911213572,John,M,M,0.2594055651,2.6661276181,scifi
21963,1982,klab,DNE,0.0238095238,0.6841868823,0.0453728661,0.2466307278,7.3,14.69,0.0048161121,0.625,0.0385288967,0.0100700525,0.6160245184,0.4098073555,7.4281860012,7.2592720365,0.8778478232,0.8203443933,0.7008659028,1.9116994911,1.3330526349,0.0958844133,0.0122591944,0.0573555166,0.0043782837,0.1112084063,0.0087565674,1.3169856459,3,2.23504806,1947.8968552347,0.8846034765,Rudy,M,F,0.2581084063,2.6338981724,scifi
10253,1926,klab,DNE,0.0450160772,0.7009646302,0.1173633441,0.1366559486,11.74,16.54,0.0099464422,0.75,0.077276205,0.0175975516,0.5332823259,0.2716143841,8.8317413567,5.3439035,0.7883318871,0.8876430794,0.7467556793,1.8385047079,1.2763898512,0.0191277735,0.0030604438,0.0612088753,0.0015302219,0.0925784239,0.0091813313,1.5270121279,4,1.6440825334,1389.0839066857,1.0029486691,Olivia,F,M,0.2579784239,2.6306686058,literary fiction
