"","source","target","weight","count.source","count.target","count.diff","abs.diff","work.diff","date.diff"
"117","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am zwölften Sonntage nach Pfingsten.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am dreizehnten Sonntage nach Pfingsten.txt",44.457340509542,324,307,0.0553745928338762,0.0553745928338762,42,0
"118","1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Balladen_Das Fegefeuer des westfälischen Adels.txt","1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Balladen_Der Graf von Thal.txt",17.0570274729299,716,1249,-0.744413407821229,0.744413407821229,68,3
"119","1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Balladen_Das Fräulein von Rodenschild.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Feste der hl. drei Könige.txt",11.6389600889222,720,360,1,1,88,22
"120","1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Balladen_Der Geierpfiff.txt","1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Balladen_Das Fräulein von Rodenschild.txt",14.0260486767435,965,720,0.340277777777778,0.340277777777778,1,0
"121","1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Balladen_Der Graue.txt","1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Balladen_Der Mutter Wiederkehr.txt",13.1760748387109,1141,1360,-0.19193689745837,0.19193689745837,70,3
"122","1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Balladen_Der Schloßelf.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Feste Mariä Lichtmeß.txt",13.9232085485067,485,415,0.168674698795181,0.168674698795181,90,22
"123","1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Balladen_Der Schloßelf.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am vierzehnten Sonntage nach Pfingsten.txt",13.4438896060863,485,359,0.350974930362117,0.350974930362117,14,2
"124","1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Balladen_Der Tod des Erzbischofs Engelbert von Köln.txt","1838_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Balladen_Der Graf von Thal.txt",14.5521516528834,910,1249,-0.372527472527473,0.372527472527473,73,3
"125","1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Balladen_Der Tod des Erzbischofs Engelbert von Köln.txt","1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Balladen_Das Fegefeuer des westfälischen Adels.txt",13.1635552446555,910,716,0.270949720670391,0.270949720670391,5,0
"126","1841_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Balladen_Vorgeschichte (Second sight).txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am siebenzehnten Sonntage nach Pfingsten.txt",13.5322002117388,700,414,0.690821256038647,0.690821256038647,22,2
