which.components.g.vulnerable..membership....5.,poems
147,"1844_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Gedichte vermischten Inhalts_Der Todesengel.txt"
148,"1844_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Gedichte vermischten Inhalts_Der Traum.txt"
149,"1844_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Gedichte vermischten Inhalts_Der zu früh geborene Dichter.txt"
152,"1844_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Gedichte vermischten Inhalts_Die rechte Stunde.txt"
153,"1844_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Gedichte vermischten Inhalts_Die Unbesungenen.txt"
156,"1844_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Gedichte vermischten Inhalts_Instinkt.txt"
158,"1844_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Gedichte vermischten Inhalts_Locke und Lied.txt"
159,"1844_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Gedichte vermischten Inhalts_Mein Beruf.txt"
160,"1844_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Gedichte vermischten Inhalts_Meine Sträuße.txt"
165,"1844_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Gedichte vermischten Inhalts_Not.txt"
172,"1844_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Heidebilder_Das Haus in der Heide.txt"
174,"1844_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Heidebilder_Der Heidemann.txt"
176,"1844_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Heidebilder_Der Weiher_Das Schilf.txt"
179,"1844_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Heidebilder_Die Lerche.txt"
188,"1844_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Scherz und Ernst_Die Nadel im Baume.txt"
189,"1844_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Scherz und Ernst_Die Schmiede.txt"
190,"1844_Droste-Hülshoff, Annette von_Gedichte_Gedichte (Die Ausgabe von 1844)_Scherz und Ernst_Die Stubenburschen.txt"
191,"1846_Droste-Hülshoff, Annette von_Gedichte_Einzeln publizierte Gedichte_Auch ein Beruf.txt"
194,"1846_Droste-Hülshoff, Annette von_Gedichte_Einzeln publizierte Gedichte_Durchwachte Nacht.txt"
198,"1847_Droste-Hülshoff, Annette von_Gedichte_Einzeln publizierte Gedichte_Gemüt.txt"
