"","word","half2","half1","fish.odds","fish.p","diff"
"eaux","eaux",151,71,2.10875745660469,0.000000113732170388311,80
"sous","sous",197,128,1.52510729019882,0.000225286050586968,69
"mer","mer",229,166,1.36655013976871,0.00237169448779811,63
"flots","flots",88,37,2.35479311091656,0.00000593328256285681,51
"où","où",135,92,1.45209631228202,0.00623968551064661,43
"rouge","rouge",48,7,6.78500833534039,0.0000000132313411377038,41
"vers","vers",132,92,1.41960150585204,0.0107462803457143,40
"glace","glace",36,0,Inf,0.0000000000293488598048052,36
"montagne","montagne",27,0,Inf,0.0000000149716644996749,27
"côte","côte",41,15,2.70265858292388,0.000688687748215031,26
"salon","salon",68,42,1.60076246152619,0.0168258861082692,26
"milieu","milieu",77,52,1.46396365543916,0.0343432608947817,25
"terre","terre",71,46,1.52596417743901,0.0261935508495901,25
"cents","cents",62,38,1.61298425378259,0.0210652342462675,24
"six","six",52,29,1.77257888577856,0.014051621931721,23
"cétaient","cétaient",28,8,3.45909226102325,0.00119641866576853,20
"hauteur","hauteur",36,17,2.09297202073588,0.0126918909175044,19
"bientôt","bientôt",43,25,1.69986662752498,0.0385491537250389,18
"coeur","coeur",26,8,3.2122649295263,0.00294139484671954,18
"nom","nom",45,27,1.64715697809231,0.0444744640386531,18
"queue","queue",31,13,2.35686753130336,0.00958099476247362,18
"audessus","audessus",33,16,2.03825320270974,0.0213367847580569,17
"loin","loin",23,6,3.78798567592454,0.00232012009375392,17
"jusquau","jusquau",30,14,2.11755472309832,0.0226688083909383,16
"nord","nord",37,21,1.74109925430161,0.0480278676322694,16
"passage","passage",30,14,2.11755472309832,0.0226688083909383,16
"tard","tard",25,9,2.74515944028344,0.00905673915785488,16
"terrible","terrible",24,8,2.96478410171149,0.00701234266415592,16
"banc","banc",20,5,3.95228869616431,0.00408333854103586,15
"bras","bras",31,16,1.91452147869871,0.0400491028927743,15
"bruit","bruit",29,14,2.04686195784755,0.0315886901837076,15
"projets","projets",18,3,5.9286741501802,0.00149181006608723,15
"beau","beau",16,2,7.9045624348557,0.00131390530522404,14
"crois","crois",25,11,2.24581575659004,0.0288553604903105,14
"dor","dor",18,4,4.44615949459675,0.0043490556665953,14
"face","face",18,4,4.44615949459675,0.0043490556665953,14
"sommet","sommet",17,3,5.59898721794907,0.0025800928535779,14
"travail","travail",24,10,2.37157377915225,0.0243388916106433,14
"degré","degré",20,7,2.82314958080758,0.019178884012236,13
"ventre","ventre",19,6,3.12904528597252,0.0146496606496029,13
"parce","parce",18,6,2.96415978389638,0.0226774506101057,12
"allaient","allaient",12,1,11.8587883179338,0.00342055841946022,11
"sortes","sortes",16,5,3.16166133490314,0.0266248197263342,11
"disparu","disparu",11,1,10.8635834412827,0.00635160155545537,10
"muraille","muraille",12,2,5.92710643422496,0.0129476135399068,10
"nombreuses","nombreuses",13,3,4.28056273797043,0.0212843539879378,10
"port","port",11,1,10.8635834412827,0.00635160155545537,10
