"","word","half2","half1","fish.odds","fish.p","diff"
"return","return",16,32,0.489644826991027,0.0202390054914595,-16
"society","society",15,31,0.473850419093303,0.0176566186528141,-16
"tea","tea",8,24,0.326415762453458,0.00420353575252838,-16
"natural","natural",25,42,0.582878228501816,0.037020477475876,-17
"persons","persons",11,28,0.384689777506086,0.00598100300135444,-17
"pleasant","pleasant",14,31,0.442237535078591,0.0106779489949902,-17
"points","points",2,19,0.103081873055885,0.000105245778309817,-17
"pretty","pretty",23,40,0.563061808755606,0.0314441174034181,-17
"fine","fine",27,45,0.587513977907204,0.0331135667213003,-18
"note","note",9,27,0.326386553493837,0.00234817023317262,-18
"sometimes","sometimes",17,35,0.475612452709016,0.011952069026705,-18
"keep","keep",25,44,0.556334880411613,0.0214755363651562,-19
"ladies","ladies",20,39,0.502130965057539,0.0127713210405614,-19
"lovely","lovely",1,20,0.0489550319343304,9.19259755373321e-06,-19
"whatever","whatever",24,43,0.546502660931746,0.0195909132173758,-19
"strong","strong",8,28,0.279779148355767,0.000676055405794672,-20
"used","used",21,41,0.501495888617881,0.0105284197858152,-20
"usually","usually",14,34,0.403148198885499,0.00351922256637858,-20
"best","best",41,62,0.64743241721922,0.0302386168052482,-21
"certainly","certainly",47,68,0.676687463588979,0.0401079727006256,-21
"sisters","sisters",12,34,0.345527468563928,0.000987238102667981,-22
"ask","ask",50,73,0.670512136911908,0.0302105238325564,-23
"home","home",23,46,0.489489521155734,0.00523570870099206,-23
"gentleman","gentleman",27,51,0.518257722553819,0.00617833839859365,-24
"probably","probably",18,42,0.4195256741414,0.00171850995165538,-24
"replied","replied",10,34,0.287896983670626,0.000218607016017533,-24
"side","side",18,42,0.4195256741414,0.00171850995165538,-24
"view","view",28,52,0.527116213235065,0.00687327037672514,-24
"friends","friends",26,51,0.499041522270156,0.00406280454160812,-25
"means","means",14,39,0.351386662575882,0.000481696307436311,-25
"youll","youll",66,91,0.709930678537213,0.0374139692377463,-25
"companion","companion",38,64,0.581181639747883,0.00742123856842582,-26
"either","either",12,38,0.309091373460109,0.000175112345635434,-26
"often","often",33,60,0.538337109911862,0.00479700683464372,-27
"house","house",58,86,0.660069154618849,0.0153147429325752,-28
"mean","mean",96,125,0.751595028878335,0.0365926457533978,-29
"country","country",11,41,0.262599120208704,1.92115890305078e-05,-30
"cousin","cousin",39,69,0.553154667899416,0.00276152153983592,-30
"son","son",5,35,0.139816739005078,6.29835592932364e-07,-30
"want","want",94,124,0.741840541039338,0.0298201112652892,-30
"uncle","uncle",2,35,0.0559115545593489,4.00299945995023e-09,-33
"deal","deal",58,93,0.610197917202851,0.00323237214037419,-35
"large","large",33,68,0.474835195700567,0.000431391163359211,-35
"place","place",58,94,0.603679754554951,0.00255015156725909,-36
"ones","ones",57,96,0.580835199843008,0.00113807331878145,-39
"sister","sister",12,55,0.213421146718112,4.88691849568616e-08,-43
"hope","hope",39,87,0.438355189760936,1.00877524914652e-05,-48
"suppose","suppose",35,83,0.412340951260373,4.94563633527582e-06,-48
"people","people",76,135,0.550217662785979,2.34645301554259e-05,-59
"girl","girl",55,123,0.436862420158714,1.54773946882737e-07,-68
"young","young",93,218,0.415696341318977,2.28692647423624e-13,-125
