"","word","half2","half1","fish.odds","fish.p","diff"
"children","children",7,26,0.276772824584241,0.00135837809007127,-19
"cottage","cottage",20,40,0.513935752660474,0.0139600440143965,-20
"family","family",31,51,0.62479521067234,0.0458437073715319,-20
"love","love",26,49,0.545279548294403,0.0146005471659646,-23
"room","room",37,60,0.633724082868371,0.0322453747755757,-23
"years","years",12,35,0.352300576218818,0.00113723662093551,-23
"oh","oh",15,41,0.3758455720168,0.000724945928895853,-26
"indeed","indeed",31,59,0.539742661567805,0.00575258422789955,-28
"cried","cried",27,58,0.478089093240264,0.00147803732223632,-31
"young","young",36,67,0.551832370956417,0.00400891015239305,-31
"park","park",7,44,0.163310698195134,0.000000135019698656568,-37
"replied","replied",29,70,0.425113151487996,0.0000703900807982061,-41
