"","source","target","weight","count.source","count.target","count.diff","abs.diff","page.diff"
"125","1871_0027300.txt","1871_0014700.txt",22.0138368650204,300,300,0,0,42
"126","1871_0027600.txt","1871_0027000.txt",28.2492137499392,300,300,0,0,2
"127","1871_0027900.txt","1871_0002400.txt",28.7540829992957,300,300,0,0,85
"128","1871_0028200.txt","1871_0027000.txt",33.0716147261575,300,300,0,0,4
"129","1871_0028200.txt","1871_0025500.txt",32.4298925996646,300,300,0,0,9
"130","1871_0028500.txt","1871_0017100.txt",25.1115966836129,300,299,0.00334448160535117,0.00334448160535117,38
"131","1871_0028800.txt","1871_0010500.txt",23.4634700012677,300,300,0,0,61
"132","1871_0029100.txt","1871_0028500.txt",14.9425337827046,300,300,0,0,2
"133","1871_0029400.txt","1871_0003600.txt",8.01118051717431,300,299,0.00334448160535117,0.00334448160535117,86
"134","1871_0029700.txt","1871_0018000.txt",15.3773973415364,300,300,0,0,39
"135","1871_0030000.txt","1871_0029100.txt",14.3567262462879,299,300,-0.00334448160535117,0.00334448160535117,3
"136","1871_0030300.txt","1871_0020100.txt",12.0573202856017,300,300,0,0,34
"137","1871_0030600.txt","1871_0029700.txt",11.7879624189307,300,300,0,0,3
"138","1871_0030900.txt","1871_0028500.txt",10.1284990926315,300,300,0,0,8
"139","1871_0031200.txt","1871_0021600.txt",14.4192318312654,295,300,-0.0169491525423729,0.0169491525423729,32
"140","1871_0031500.txt","1871_0008100.txt",15.6905600915434,300,300,0,0,78
"141","1871_0031800.txt","1871_0005400.txt",13.8479746801889,300,300,0,0,88
"142","1871_0032100.txt","1871_0022800.txt",14.2227820668816,300,300,0,0,31
"143","1871_0032400.txt","1871_0017100.txt",21.6497422699434,300,299,0.00334448160535117,0.00334448160535117,51
"144","1871_0032700.txt","1871_0027000.txt",21.6990804468731,300,300,0,0,19
"145","1871_0033000.txt","1871_0017100.txt",32.034414603468,299,299,0,0,53
"146","1871_0033300.txt","1871_0020400.txt",31.8040909325552,300,300,0,0,43
"147","1871_0033300.txt","1871_0025500.txt",31.3215861393166,300,300,0,0,26
"148","1871_0033600.txt","1871_0033300.txt",35.5975929968341,300,300,0,0,1
"149","1871_0033900.txt","1871_0024600.txt",23.4986375660251,300,300,0,0,31
"150","1871_0034200.txt","1871_0017100.txt",19.5485393421408,300,299,0.00334448160535117,0.00334448160535117,57
"151","1871_0034500.txt","1871_0033000.txt",33.21633564747,300,299,0.00334448160535117,0.00334448160535117,5
"152","1871_0034500.txt","1871_0017100.txt",31.4408406607132,300,299,0.00334448160535117,0.00334448160535117,58
"153","1871_0034800.txt","1871_0034500.txt",17.1931405094704,300,300,0,0,1
"154","1871_0034800.txt","1871_0028200.txt",17.1770197724536,300,300,0,0,22
"155","1871_0035100.txt","1871_0021600.txt",21.2107473365362,300,300,0,0,45
"156","1871_0035400.txt","1871_0035100.txt",32.6602215382656,300,300,0,0,1
"157","1871_0035700.txt","1871_0035400.txt",42.2653706545797,300,300,0,0,1
"158","1871_0036000.txt","1871_0035400.txt",25.9598874901478,300,300,0,0,2
"159","1871_0036300.txt","1871_0035400.txt",40.9563903077759,300,300,0,0,3
"160","1871_0036600.txt","1871_0036000.txt",38.7711762386363,299,300,-0.00334448160535117,0.00334448160535117,2
"161","1871_0036600.txt","1871_0035400.txt",32.2286606710828,299,300,-0.00334448160535117,0.00334448160535117,4
"162","1871_0036900.txt","1871_0024300.txt",29.0720477040383,300,300,0,0,42
"163","1871_0036900.txt","1871_0001800.txt",28.1404496847369,300,300,0,0,117
"164","1871_0037200.txt","1871_0025500.txt",31.7124694912742,300,300,0,0,39
"165","1871_0037500.txt","1871_0037200.txt",32.7551246454274,299,300,-0.00334448160535117,0.00334448160535117,1
"166","1871_0037800.txt","1871_0036900.txt",21.9339610872719,300,300,0,0,3
"167","1871_0038100.txt","1871_0037800.txt",38.2786417663413,300,300,0,0,1
"168","1871_0038400.txt","1871_0024300.txt",25.6407098768052,299,300,-0.00334448160535117,0.00334448160535117,47
"169","1871_0038400.txt","1871_0028200.txt",24.7994977279766,299,300,-0.00334448160535117,0.00334448160535117,34
"170","1871_0038700.txt","1871_0005400.txt",29.865172038399,300,300,0,0,111
"171","1871_0039000.txt","1871_0005400.txt",32.0775572078405,300,300,0,0,112
"172","1871_0039000.txt","1871_0018000.txt",31.475140159436,300,300,0,0,70
"173","1871_0039300.txt","1871_0001800.txt",28.8651798992539,300,300,0,0,125
"174","1871_0039300.txt","1871_0005400.txt",28.5050343053866,300,300,0,0,113
"175","1871_0039600.txt","1871_0038700.txt",27.2136225563987,300,300,0,0,3
"176","1871_0039600.txt","1871_0039300.txt",26.913188568046,300,300,0,0,1
"177","1871_0039900.txt","1871_0017100.txt",11.4925342771273,300,299,0.00334448160535117,0.00334448160535117,76
"178","1871_0040200.txt","1871_0002100.txt",16.1793196237272,299,300,-0.00334448160535117,0.00334448160535117,127
"179","1871_0040500.txt","1871_0004800.txt",23.1495978027743,300,300,0,0,119
"180","1871_0040500.txt","1871_0034500.txt",22.7244921275391,300,300,0,0,20
"181","1871_0040800.txt","1871_0026100.txt",29.5442203174703,300,300,0,0,49
"182","1871_0041100.txt","1871_0024600.txt",26.7937496340398,300,300,0,0,55
