"","X","source","target","weight","count.source","count.target","count.diff","abs.diff","page.diff","roll.mean"
"1",1,"1856_0000600.txt","1856_0000001.txt",24.18337436652,300,298,0.00671140939597315,0.00671140939597315,2,NA
"3",3,"1856_0000900.txt","1856_0000001.txt",21.568772727004,300,298,0.00671140939597315,0.00671140939597315,3,NA
"4",4,"1856_0001200.txt","1856_0000900.txt",26.7451371261994,300,300,0,0,1,NA
"5",5,"1856_0001500.txt","1856_0000300.txt",16.5797773368042,300,298,0.00671140939597315,0.00671140939597315,4,NA
"6",6,"1856_0001800.txt","1856_0001200.txt",21.3255680150102,300,300,0,0,2,NA
"7",7,"1856_0002100.txt","1856_0001200.txt",14.8922642062252,300,300,0,0,3,NA
"9",9,"1856_0002400.txt","1856_0001200.txt",13.3029031447755,299,300,-0.00334448160535117,0.00334448160535117,4,NA
"11",11,"1856_0002700.txt","1856_0000001.txt",12.8199688557603,300,298,0.00671140939597315,0.00671140939597315,9,NA
"12",12,"1856_0003000.txt","1856_0002100.txt",11.8933289761887,299,300,-0.00334448160535117,0.00334448160535117,3,NA
"13",13,"1856_0003300.txt","1856_0002100.txt",10.5538782701647,300,300,0,0,4,8.5
"14",14,"1856_0003600.txt","1856_0001200.txt",18.9803137128192,300,300,0,0,8,9.5
"16",16,"1856_0003900.txt","1856_0000001.txt",13.1095261943607,299,298,0.00335570469798658,0.00335570469798658,13,9.7
"18",18,"1856_0004200.txt","1856_0000001.txt",22.3331693775124,300,298,0.00671140939597315,0.00671140939597315,14,9.85
"20",20,"1856_0004500.txt","1856_0001200.txt",24.4196918518689,300,300,0,0,11,10.7
"22",22,"1856_0004800.txt","1856_0000300.txt",36.1519751444105,300,298,0.00671140939597315,0.00671140939597315,15,11.9
"23",23,"1856_0005100.txt","1856_0000001.txt",22.462021706299,299,298,0.00335570469798658,0.00335570469798658,17,13.1
"24",24,"1856_0005400.txt","1856_0004800.txt",22.6360259824554,299,300,-0.00334448160535117,0.00334448160535117,2,13.95
"26",26,"1856_0005700.txt","1856_0000001.txt",22.9742542401274,299,298,0.00335570469798658,0.00335570469798658,19,13.7
"27",27,"1856_0006000.txt","1856_0001200.txt",20.2343429432438,300,300,0,0,16,14.95
"29",29,"1856_0006300.txt","1856_0000300.txt",26.0892060010673,300,298,0.00671140939597315,0.00671140939597315,20,16.3
"31",31,"1856_0006600.txt","1856_0000001.txt",17.0919585617503,300,298,0.00671140939597315,0.00671140939597315,22,16.9
"33",33,"1856_0006900.txt","1856_0004800.txt",22.0381809696386,300,300,0,0,7,17.55
"34",34,"1856_0007200.txt","1856_0006000.txt",21.1831665889326,300,300,0,0,4,16.9
"36",36,"1856_0007500.txt","1856_0001200.txt",18.7567081861812,300,300,0,0,21,18
"37",37,"1856_0007800.txt","1856_0000001.txt",18.9561971633091,300,298,0.00671140939597315,0.00671140939597315,26,18.9
