"","X","source","target","weight","count.source","count.target","count.diff","abs.diff","page.diff","roll.mean"
"1",1,"1860_0000600.txt","1860_0000300.txt",22.6635821097873,296,294,0.00680272108843537,0.00680272108843537,1,NA
"3",3,"1860_0000900.txt","1860_0000001.txt",25.7401571683571,295,294,0.00340136054421769,0.00340136054421769,3,NA
"4",4,"1860_0001200.txt","1860_0000900.txt",21.8870541055411,292,295,-0.0102739726027397,0.0102739726027397,1,NA
"5",5,"1860_0001500.txt","1860_0000300.txt",22.3491673733124,295,294,0.00340136054421769,0.00340136054421769,4,NA
"6",6,"1860_0001800.txt","1860_0000001.txt",14.7482190030082,297,294,0.0102040816326531,0.0102040816326531,6,NA
"7",7,"1860_0002100.txt","1860_0000900.txt",16.0705140875476,296,295,0.00338983050847458,0.00338983050847458,4,NA
"8",8,"1860_0002400.txt","1860_0002100.txt",16.009593725649,293,296,-0.0102389078498294,0.0102389078498294,1,NA
"9",9,"1860_0002700.txt","1860_0000001.txt",14.8056374282643,296,294,0.00680272108843537,0.00680272108843537,9,NA
"10",10,"1860_0003000.txt","1860_0001500.txt",17.6626847107389,300,295,0.0169491525423729,0.0169491525423729,5,NA
"11",11,"1860_0003300.txt","1860_0002100.txt",12.6207674266742,300,296,0.0135135135135135,0.0135135135135135,4,8.2
"12",12,"1860_0003600.txt","1860_0001800.txt",8.57597799957276,300,297,0.0101010101010101,0.0101010101010101,6,9.1
"13",13,"1860_0003900.txt","1860_0001200.txt",14.2960533093975,300,292,0.0273972602739726,0.0273972602739726,9,9.35
"14",14,"1860_0004200.txt","1860_0000600.txt",18.6036691979578,297,296,0.00337837837837838,0.00337837837837838,12,9.65
"15",15,"1860_0004500.txt","1860_0001500.txt",15.4644619218061,292,295,-0.0102739726027397,0.0102739726027397,10,10.6
"16",16,"1860_0004800.txt","1860_0001200.txt",14.0509112177427,295,292,0.0102739726027397,0.0102739726027397,12,11.6
"17",17,"1860_0005100.txt","1860_0000300.txt",24.9926171460565,294,294,0,0,16,12.6
"18",18,"1860_0005400.txt","1860_0000001.txt",19.3857963176628,296,294,0.00680272108843537,0.00680272108843537,18,13.95
"19",19,"1860_0005700.txt","1860_0005100.txt",15.477018492511,292,294,-0.00684931506849315,0.00684931506849315,2,14.55
"20",20,"1860_0006000.txt","1860_0000001.txt",16.7928971231004,296,294,0.00680272108843537,0.00680272108843537,20,15.7
"22",22,"1860_0006300.txt","1860_0000001.txt",17.3457036681798,293,294,-0.00341296928327645,0.00341296928327645,21,15.7
"23",23,"1860_0006600.txt","1860_0000900.txt",19.7965709297465,291,295,-0.013745704467354,0.013745704467354,19,16.75
"25",25,"1860_0006900.txt","1860_0004500.txt",13.5919324975575,293,292,0.00342465753424658,0.00342465753424658,8,17.95
"26",26,"1860_0007200.txt","1860_0005100.txt",20.8048910267212,295,294,0.00340136054421769,0.00340136054421769,7,18.7
"27",27,"1860_0007500.txt","1860_0000600.txt",15.4919737940228,295,296,-0.00338983050847458,0.00338983050847458,23,18.25
"29",29,"1860_0007800.txt","1860_0000001.txt",12.5300699503043,298,294,0.0136054421768707,0.0136054421768707,26,17.7
"30",30,"1860_0008100.txt","1860_0000900.txt",24.0846447980572,294,295,-0.00340136054421769,0.00340136054421769,24,18.65
"31",31,"1860_0008400.txt","1860_0000001.txt",16.1536919103591,299,294,0.0170068027210884,0.0170068027210884,28,18.85
"32",32,"1860_0008700.txt","1860_0002400.txt",10.8373214647265,300,293,0.0238907849829352,0.0238907849829352,21,20.55
"34",34,"1860_0009000.txt","1860_0000600.txt",11.3138140989466,300,296,0.0135135135135135,0.0135135135135135,28,19.6
"35",35,"1860_0009300.txt","1860_0008100.txt",11.7202311859703,297,294,0.0102040816326531,0.0102040816326531,4,19.25
"36",36,"1860_0009600.txt","1860_0001500.txt",20.5183114457098,298,295,0.0101694915254237,0.0101694915254237,27,20.2
"37",37,"1860_0009900.txt","1860_0000001.txt",15.3754154197001,295,294,0.00340136054421769,0.00340136054421769,33,20.05
"38",38,"1860_0010200.txt","1860_0002100.txt",11.7523350335791,292,296,-0.0136986301369863,0.0136986301369863,27,21.65
"39",39,"1860_0010500.txt","1860_0010200.txt",15.9967249318058,293,292,0.00342465753424658,0.00342465753424658,1,22.5
"40",40,"1860_0010800.txt","1860_0010500.txt",26.039893924377,295,293,0.0068259385665529,0.0068259385665529,1,23.45
