"","X","source","target","weight","count.source","count.target","count.diff","abs.diff","page.diff","roll.mean"
"1",1,"1871_0000600.txt","1871_0000001.txt",15.6884539343905,300,297,0.0101010101010101,0.0101010101010101,2,NA
"3",3,"1871_0000900.txt","1871_0000600.txt",14.4690002120379,300,300,0,0,1,NA
"4",4,"1871_0001200.txt","1871_0000600.txt",10.6565051822997,299,300,-0.00334448160535117,0.00334448160535117,2,NA
"6",6,"1871_0001500.txt","1871_0000001.txt",23.5597923847855,300,297,0.0101010101010101,0.0101010101010101,5,NA
"7",7,"1871_0001800.txt","1871_0001500.txt",22.5102259210474,300,300,0,0,1,NA
"8",8,"1871_0002100.txt","1871_0001500.txt",21.6970510271881,300,300,0,0,2,NA
"10",10,"1871_0002400.txt","1871_0001500.txt",29.7687062502335,300,300,0,0,3,NA
"12",12,"1871_0002700.txt","1871_0001500.txt",34.6221648258903,300,300,0,0,4,NA
"14",14,"1871_0003000.txt","1871_0002700.txt",15.1387381062521,300,300,0,0,1,NA
"15",15,"1871_0003300.txt","1871_0002400.txt",25.2811326892721,300,300,0,0,3,3.95
"16",16,"1871_0003600.txt","1871_0001500.txt",16.6278397545147,299,300,-0.00334448160535117,0.00334448160535117,7,4.25
"17",17,"1871_0003900.txt","1871_0002400.txt",23.1054152571968,298,300,-0.00671140939597315,0.00671140939597315,5,4.95
"19",19,"1871_0004200.txt","1871_0001500.txt",25.209784557741,300,300,0,0,9,5
"20",20,"1871_0004500.txt","1871_0002400.txt",26.6615844357373,300,300,0,0,7,5.1
"21",21,"1871_0004800.txt","1871_0004500.txt",15.6756822062537,300,300,0,0,1,5.35
"23",23,"1871_0005100.txt","1871_0001500.txt",20.3753559172286,299,300,-0.00334448160535117,0.00334448160535117,12,6.3
"25",25,"1871_0005400.txt","1871_0002700.txt",32.9417963073955,300,300,0,0,9,6.65
"27",27,"1871_0005700.txt","1871_0005400.txt",15.9736532807178,300,300,0,0,1,7
"28",28,"1871_0006000.txt","1871_0005100.txt",21.4337460640796,300,299,0.00334448160535117,0.00334448160535117,3,7.75
"29",29,"1871_0006300.txt","1871_0006000.txt",22.8223174341448,300,300,0,0,1,8.5
