"","X","source","target","weight","count.source","count.target","count.diff","abs.diff","page.diff","roll.mean"
"1",1,"1867_0000600.txt","1867_0000001.txt",7.45014289104118,300,299,0.00334448160535117,0.00334448160535117,2,NA
"3",3,"1867_0000900.txt","1867_0000300.txt",13.9053957035153,300,300,0,0,2,NA
"5",5,"1867_0001200.txt","1867_0000600.txt",7.8220960362985,300,300,0,0,2,NA
"6",6,"1867_0001500.txt","1867_0000900.txt",12.5186643217263,300,300,0,0,2,NA
"7",7,"1867_0001800.txt","1867_0000001.txt",13.7662129980002,298,299,-0.00335570469798658,0.00335570469798658,6,NA
"9",9,"1867_0002100.txt","1867_0000900.txt",23.6358877256408,300,300,0,0,4,NA
"11",11,"1867_0002400.txt","1867_0000001.txt",20.6824993260571,299,299,0,0,8,NA
"12",12,"1867_0002700.txt","1867_0002400.txt",14.9708635052134,300,299,0.00334448160535117,0.00334448160535117,1,NA
"13",13,"1867_0003000.txt","1867_0000300.txt",22.1746051835125,300,300,0,0,9,NA
"14",14,"1867_0003300.txt","1867_0000300.txt",16.7277634198352,300,300,0,0,10,6.75
"15",15,"1867_0003600.txt","1867_0002400.txt",18.1073771549148,300,299,0.00334448160535117,0.00334448160535117,4,7.05
"16",16,"1867_0003900.txt","1867_0000300.txt",16.5377929327027,300,300,0,0,12,7.05
"18",18,"1867_0004200.txt","1867_0003600.txt",17.109900715688,300,300,0,0,2,7.1
"20",20,"1867_0004500.txt","1867_0000001.txt",11.9899219593676,300,299,0.00334448160535117,0.00334448160535117,15,7.4
"21",21,"1867_0004800.txt","1867_0002100.txt",14.6718097768253,300,300,0,0,9,7.35
"22",22,"1867_0005100.txt","1867_0003900.txt",21.4090492320249,300,300,0,0,4,7.55
"23",23,"1867_0005400.txt","1867_0005100.txt",20.4424209870419,300,300,0,0,1,7.25
"24",24,"1867_0005700.txt","1867_0002400.txt",31.8962200662564,300,299,0.00334448160535117,0.00334448160535117,11,8.6
"25",25,"1867_0006000.txt","1867_0003000.txt",14.1638840684011,300,300,0,0,10,9.05
"27",27,"1867_0006300.txt","1867_0000001.txt",27.396165760292,300,299,0.00334448160535117,0.00334448160535117,21,9.45
"29",29,"1867_0006600.txt","1867_0004200.txt",18.3018842072556,300,300,0,0,8,9.3
"31",31,"1867_0006900.txt","1867_0006300.txt",21.082355350064,300,300,0,0,2,8.8
"32",32,"1867_0007200.txt","1867_0006300.txt",21.2399265976504,300,300,0,0,3,9.35
"33",33,"1867_0007500.txt","1867_0005100.txt",16.9411941625923,299,300,-0.00334448160535117,0.00334448160535117,8,8.9
"34",34,"1867_0007800.txt","1867_0006300.txt",30.5039773560744,300,300,0,0,5,8.55
"36",36,"1867_0008100.txt","1867_0005700.txt",22.4518805795263,300,300,0,0,8,9.25
"38",38,"1867_0008400.txt","1867_0007800.txt",18.0283353621737,300,300,0,0,2,9.6
"40",40,"1867_0008700.txt","1867_0000300.txt",22.9985105213336,298,300,-0.00671140939597315,0.00671140939597315,28,9.15
