word,count.a,count.b,med.a,med.b,p,diff
attract,314,359,0.0001904413,0.0001055095,0.0030901409,8.49318260611901e-05
resolut,496,554,0.0002640493,0.0001792886,0.008582422,8.47606918916923e-05
hide,182,179,8.42918626569252e-05,0,0.0018620876,8.42918626569252e-05
angri,300,348,0.0001515891,6.78132086095791e-05,0.0066261067,8.37758552033418e-05
patient,310,269,0.0001414739,5.8045547653816e-05,0.0012979579,8.34283731417138e-05
belov,233,197,8.33872223844688e-05,0,3.58740332716592e-06,8.33872223844688e-05
resign,208,172,8.33872223844688e-05,0,0.0001458524,8.33872223844688e-05
occasion,284,281,0.0001724658,8.91895724362132e-05,0.0097733503,8.32762369363368e-05
domest,176,184,8.30608218119602e-05,0,0.0004577029,8.30608218119602e-05
repos,228,205,8.30608218119602e-05,0,0.0090976503,8.30608218119602e-05
depend,332,355,0.0001961372,0.0001134484,0.0064075555,8.26887910136248e-05
brilliant,169,204,8.22282597894923e-05,0,0.0004404415,8.22282597894923e-05
insens,198,162,8.2114803576907e-05,0,0.0001562102,8.2114803576907e-05
snatch,157,135,8.17884030043984e-05,0,0.0005187534,8.17884030043984e-05
selfish,178,177,8.17460234367954e-05,0,9.70607444586556e-05,8.17460234367954e-05
nobodi,227,214,8.16587627376873e-05,0,0.0005073217,8.16587627376873e-05
capabl,176,153,8.13621952960151e-05,0,0.0074545409,8.13621952960151e-05
subdu,209,169,8.13621952960151e-05,0,0.0001250692,8.13621952960151e-05
various,300,326,0.0001629083,8.19106973619838e-05,0.0059563763,8.09975837498534e-05
nice,177,133,8.0926221686681e-05,0,2.43609267766978e-09,8.0926221686681e-05
cherish,169,113,8.04688659924332e-05,0,7.96857729387591e-08,8.04688659924332e-05
bend,194,185,8.04230686100455e-05,0,0.0065000415,8.04230686100455e-05
pillow,274,137,8.03806890424426e-05,0,9.4910687810432e-08,8.03806890424426e-05
whatev,446,504,0.000271195,0.0001909412,0.0070741514,8.02538151416077e-05
exert,343,326,0.0001757872,9.67305314296613e-05,0.0010325678,7.90566863661025e-05
assert,178,166,7.88143127214283e-05,0,0.0070348014,7.88143127214283e-05
curl,282,176,7.88143127214283e-05,0,4.98944510677938e-05,7.88143127214283e-05
dislik,244,141,7.80378111144551e-05,0,3.81065427555897e-05,7.80378111144551e-05
asham,213,182,7.7024219378879e-05,0,0.0042306622,7.7024219378879e-05
frighten,185,183,7.7024219378879e-05,0,0.0041349217,7.7024219378879e-05
awak,141,178,7.67166842069035e-05,0,0.003994603,7.67166842069035e-05
bent,380,385,0.000198563,0.0001218627,0.0066381698,7.67003244894578e-05
indiffer,396,426,0.0001856533,0.0001090149,0.0012184641,7.66384113682797e-05
bird,189,300,7.61312928493795e-05,0,0.0043031717,7.61312928493795e-05
chill,152,128,7.52111067475948e-05,0,6.97633245536912e-07,7.52111067475948e-05
recal,252,263,0.0001289387,5.45149897756577e-05,0.0027632597,7.44236998441793e-05
introduc,268,318,0.0001318526,5.75130412322856e-05,0.0085961592,7.43395661156555e-05
luxuri,148,154,7.35229983573464e-05,0,0.0002596703,7.35229983573464e-05
vex,169,96,7.32788313402543e-05,0,3.40545144007751e-08,7.32788313402543e-05
burst,458,536,0.0002372631,0.0001641308,0.0085463102,7.31323406189992e-05
vision,230,215,8.78315255336594e-05,1.50394032364796e-05,0.0046154781,7.27921222971798e-05
stole,194,128,7.23928377352343e-05,0,1.91759366756304e-06,7.23928377352343e-05
reliev,337,345,0.000186946,0.0001148885,0.0019106933,7.20575403964926e-05
provok,170,135,7.16814068714629e-05,0,0.000297323,7.16814068714629e-05
urg,333,294,0.0001465646,7.54971858718677e-05,0.005955272,7.10673943415764e-05
