"","word","word1","word2","fish.odds","fish.p"
"153","charm",6,0,Inf,2.37155589591841e-05
"159","civilised",2,0,Inf,0.0287405653150843
"161","clasped",6,0,Inf,2.37155589591841e-05
"163","clearest",2,0,Inf,0.0287405653150843
"165","clerical",2,0,Inf,0.0287405653150843
"166","clinging",8,0,Inf,6.8088857016719e-07
"170","clothes",2,0,Inf,0.0287405653150843
"175","commercial",2,0,Inf,0.0287405653150843
"176","communicativeness",2,0,Inf,0.0287405653150843
"177","compagnacci",2,0,Inf,0.0287405653150843
"178","compassion",5,0,Inf,0.000139944369931828
"180","concealment",2,0,Inf,0.0287405653150843
"181","concentration",2,0,Inf,0.0287405653150843
"182","condemned",2,0,Inf,0.0287405653150843
"183","condition",2,0,Inf,0.0287405653150843
"184","conditions",2,0,Inf,0.0287405653150843
"187","conflict",2,0,Inf,0.0287405653150843
"188","conjecture",2,0,Inf,0.0287405653150843
"192","construction",2,0,Inf,0.0287405653150843
"193","consulted",2,0,Inf,0.0287405653150843
"197","copying",2,0,Inf,0.0287405653150843
"202","cowardice",2,0,Inf,0.0287405653150843
"203","cramped",2,0,Inf,0.0287405653150843
"205","creatures",2,0,Inf,0.0287405653150843
"206","crewe",2,0,Inf,0.0287405653150843
"207","crossroad",2,0,Inf,0.0287405653150843
"210","culture",2,0,Inf,0.0287405653150843
"211","current",4,0,Inf,0.00082573325157433
"212","cushion",2,0,Inf,0.0287405653150843
"213","custom",2,0,Inf,0.0287405653150843
"214","cut",4,0,Inf,0.00082573325157433
"215","cymbals",2,0,Inf,0.0287405653150843
"217","damaging",2,0,Inf,0.0287405653150843
"220","daresay",4,0,Inf,0.00082573325157433
"221","daring",2,0,Inf,0.0287405653150843
"224","daylight",2,0,Inf,0.0287405653150843
"230","deceit",2,0,Inf,0.0287405653150843
"233","deeper",2,0,Inf,0.0287405653150843
"235","deepveined",2,0,Inf,0.0287405653150843
"236","definite",4,0,Inf,0.00082573325157433
"237","deformed",6,0,Inf,2.37155589591841e-05
"238","defy",2,0,Inf,0.0287405653150843
"244","dependence",6,0,Inf,2.37155589591841e-05
"245","depreciated",2,0,Inf,0.0287405653150843
"246","depths",4,0,Inf,0.00082573325157433
"247","descendant",2,0,Inf,0.0287405653150843
"248","desecration",4,0,Inf,0.00082573325157433
"250","desk",4,0,Inf,0.00082573325157433
"253","detailed",6,0,Inf,2.37155589591841e-05
"254","determination",4,0,Inf,0.00082573325157433
"256","developing",2,0,Inf,0.0287405653150843
"260","difficult",3,0,Inf,0.00487176574161615
"262","diffident",6,0,Inf,2.37155589591841e-05
"263","dim",2,0,Inf,0.0287405653150843
"264","dinners",2,0,Inf,0.0287405653150843
"265","direct",3,0,Inf,0.00487176574161615
"267","disagreeable",2,0,Inf,0.0287405653150843
"268","disappeared",2,0,Inf,0.0287405653150843
"269","discontented",2,0,Inf,0.0287405653150843
"270","disgraced",2,0,Inf,0.0287405653150843
"271","disposed",2,0,Inf,0.0287405653150843
"273","distinct",4,0,Inf,0.00082573325157433
"275","distrust",6,0,Inf,2.37155589591841e-05
"277","domenico",2,0,Inf,0.0287405653150843
"279","dorothea",12,0,Inf,5.60671544962245e-10
"284","dragged",2,0,Inf,0.0287405653150843
"288","drew",2,0,Inf,0.0287405653150843
"289","driving",2,0,Inf,0.0287405653150843
"290","due",6,0,Inf,2.37155589591841e-05
"292","duteous",2,0,Inf,0.0287405653150843
"299","efface",2,0,Inf,0.0287405653150843
"302","elastic",2,0,Inf,0.0287405653150843
"303","elder",2,0,Inf,0.0287405653150843
"304","element",2,0,Inf,0.0287405653150843
"305","elements",4,0,Inf,0.00082573325157433
"306","elms",2,0,Inf,0.0287405653150843
"311","energetic",2,0,Inf,0.0287405653150843
"316","erhaustion",2,0,Inf,0.0287405653150843
"317","especially",4,0,Inf,0.00082573325157433
"318","established",4,0,Inf,0.00082573325157433
"319","esther",2,0,Inf,0.0287405653150843
"327","exalting",2,0,Inf,0.0287405653150843
"331","excluded",4,0,Inf,0.00082573325157433
"333","exertion",2,0,Inf,0.0287405653150843
"339","extravagantly",2,0,Inf,0.0287405653150843
"344","facts",2,0,Inf,0.0287405653150843
"351","farebrother",3,0,Inf,0.00487176574161615
"354","fatigued",2,0,Inf,0.0287405653150843
"363","felix",2,0,Inf,0.0287405653150843
"365","festooned",2,0,Inf,0.0287405653150843
"367","fibres",6,0,Inf,2.37155589591841e-05
"369","figures",2,0,Inf,0.0287405653150843
"375","fitfully",2,0,Inf,0.0287405653150843
"377","fled",4,0,Inf,0.00082573325157433
"378","fleeing",4,0,Inf,0.00082573325157433
"379","florence",2,0,Inf,0.0287405653150843
"382","following",2,0,Inf,0.0287405653150843
"384","foolish",4,0,Inf,0.00082573325157433
"389","forgetful",2,0,Inf,0.0287405653150843
"391","forsaken",4,0,Inf,0.00082573325157433
"392","fortifying",2,0,Inf,0.0287405653150843
"395","fra",2,0,Inf,0.0287405653150843
"396","fragile",4,0,Inf,0.00082573325157433
"397","fragments",2,0,Inf,0.0287405653150843
"399","frank",2,0,Inf,0.0287405653150843
"401","freedom",2,0,Inf,0.0287405653150843
"402","french",4,0,Inf,0.00082573325157433
"407","fulfil",4,0,Inf,0.00082573325157433
"409","futile",2,0,Inf,0.0287405653150843
"411","garden",2,0,Inf,0.0287405653150843
"412","gather",4,0,Inf,0.00082573325157433
"415","generalship",2,0,Inf,0.0287405653150843
"416","generation",2,0,Inf,0.0287405653150843
"417","generations",4,0,Inf,0.00082573325157433
"424","gladness",2,0,Inf,0.0287405653150843
"426","gliding",2,0,Inf,0.0287405653150843
"427","glimpse",4,0,Inf,0.00082573325157433
"432","goodhumoured",2,0,Inf,0.0287405653150843
"434","governing",2,0,Inf,0.0287405653150843
"436","grasped",2,0,Inf,0.0287405653150843
"437","grasping",6,0,Inf,2.37155589591841e-05
"439","gratify",2,0,Inf,0.0287405653150843
"442","greek",2,0,Inf,0.0287405653150843
"443","ground",8,0,Inf,6.8088857016719e-07
"444","grounds",2,0,Inf,0.0287405653150843
"447","gypsies",8,0,Inf,6.8088857016719e-07
"448","gypsy",2,0,Inf,0.0287405653150843
"454","halfawakened",2,0,Inf,0.0287405653150843
"455","halo",2,0,Inf,0.0287405653150843
"457","handkerchief",4,0,Inf,0.00082573325157433
"459","hang",2,0,Inf,0.0287405653150843
"463","hardwon",2,0,Inf,0.0287405653150843
"464","harold",6,0,Inf,2.37155589591841e-05
"465","harsh",2,0,Inf,0.0287405653150843
"467","hateful",4,0,Inf,0.00082573325157433
"468","hatred",2,0,Inf,0.0287405653150843
"473","heads",2,0,Inf,0.0287405653150843
"477","hearts",2,0,Inf,0.0287405653150843
"478","heat",2,0,Inf,0.0287405653150843
"482","helped",4,0,Inf,0.00082573325157433
"486","hesitation",2,0,Inf,0.0287405653150843
"502","hurled",4,0,Inf,0.00082573325157433
"508","illuminated",2,0,Inf,0.0287405653150843
"509","illusion",4,0,Inf,0.00082573325157433
"512","images",2,0,Inf,0.0287405653150843
"514","imagined",4,0,Inf,0.00082573325157433
"515","imbecile",2,0,Inf,0.0287405653150843
"518","impatience",2,0,Inf,0.0287405653150843
"519","imperfection",2,0,Inf,0.0287405653150843
"520","impracticable",2,0,Inf,0.0287405653150843
"522","impressions",2,0,Inf,0.0287405653150843
"528","indefinite",4,0,Inf,0.00082573325157433
"533","indistinct",2,0,Inf,0.0287405653150843
"534","inevitable",2,0,Inf,0.0287405653150843
"535","inevitably",6,0,Inf,2.37155589591841e-05
"537","information",2,0,Inf,0.0287405653150843
"538","inher",6,0,Inf,2.37155589591841e-05
"539","inherited",2,0,Inf,0.0287405653150843
"541","inspiration",6,0,Inf,2.37155589591841e-05
"544","instinct",4,0,Inf,0.00082573325157433
"545","intense",12,0,Inf,5.60671544962245e-10
"546","intensely",4,0,Inf,0.00082573325157433
"547","intensest",2,0,Inf,0.0287405653150843
"549","interchange",2,0,Inf,0.0287405653150843
"552","interpreting",6,0,Inf,2.37155589591841e-05
"553","intervening",4,0,Inf,0.00082573325157433
"554","interview",4,0,Inf,0.00082573325157433
"556","intolerable",2,0,Inf,0.0287405653150843
"557","introduce",2,0,Inf,0.0287405653150843
"558","invisible",2,0,Inf,0.0287405653150843
"559","iron",2,0,Inf,0.0287405653150843
"560","irreversible",2,0,Inf,0.0287405653150843
"565","janet",10,0,Inf,1.95419443854935e-08
"569","judgments",4,0,Inf,0.00082573325157433
"572","keenly",6,0,Inf,2.37155589591841e-05
"573","keeping",4,0,Inf,0.00082573325157433
"574","kenn",2,0,Inf,0.0287405653150843
"578","kings",2,0,Inf,0.0287405653150843
"579","kissed",2,0,Inf,0.0287405653150843
"581","knitting",2,0,Inf,0.0287405653150843
"585","laboured",2,0,Inf,0.0287405653150843
"586","ladislaw",3,0,Inf,0.00487176574161615
"588","lambs",8,0,Inf,6.8088857016719e-07
"590","lanterns",2,0,Inf,0.0287405653150843
"593","lasted",4,0,Inf,0.00082573325157433
"595","laughing",2,0,Inf,0.0287405653150843
"596","laws",2,0,Inf,0.0287405653150843
"602","leniency",2,0,Inf,0.0287405653150843
"609","lights",2,0,Inf,0.0287405653150843
"611","likely",6,0,Inf,2.37155589591841e-05
"613","linked",6,0,Inf,2.37155589591841e-05
"614","literature",2,0,Inf,0.0287405653150843
"631","luca",2,0,Inf,0.0287405653150843
"633","lull",2,0,Inf,0.0287405653150843
"634","luxuries",2,0,Inf,0.0287405653150843
"638","mad",2,0,Inf,0.0287405653150843
"645","mantle",2,0,Inf,0.0287405653150843
"646","manuscripts",2,0,Inf,0.0287405653150843
"648","marble",2,0,Inf,0.0287405653150843
"656","mediceans",2,0,Inf,0.0287405653150843
"657","melema",2,0,Inf,0.0287405653150843
"658","melodies",2,0,Inf,0.0287405653150843
"659","memories",2,0,Inf,0.0287405653150843
"662","mental",2,0,Inf,0.0287405653150843
"663","merchant",2,0,Inf,0.0287405653150843
"665","messer",2,0,Inf,0.0287405653150843
"670","miles",2,0,Inf,0.0287405653150843
"672","minds",2,0,Inf,0.0287405653150843
"674","mist",2,0,Inf,0.0287405653150843
"676","misunderstanding",2,0,Inf,0.0287405653150843
"677","mitre",2,0,Inf,0.0287405653150843
"678","moithering",2,0,Inf,0.0287405653150843
"682","moneyless",2,0,Inf,0.0287405653150843
"684","morality",2,0,Inf,0.0287405653150843
"690","movement",6,0,Inf,2.37155589591841e-05
"695","muscle",2,0,Inf,0.0287405653150843
"696","mushed",2,0,Inf,0.0287405653150843
"700","narrow",2,0,Inf,0.0287405653150843
"703","natures",8,0,Inf,6.8088857016719e-07
"707","nectar",2,0,Inf,0.0287405653150843
"708","need",2,0,Inf,0.0287405653150843
"709","neighbours",6,0,Inf,2.37155589591841e-05
"710","nello",2,0,Inf,0.0287405653150843
"717","noblelooking",4,0,Inf,0.00082573325157433
"722","notion",6,0,Inf,2.37155589591841e-05
"726","objects",8,0,Inf,6.8088857016719e-07
"727","obloquy",6,0,Inf,2.37155589591841e-05
"729","obstacles",2,0,Inf,0.0287405653150843
"732","offence",2,0,Inf,0.0287405653150843
"738","onward",2,0,Inf,0.0287405653150843
"745","oppressive",2,0,Inf,0.0287405653150843
"752","overwrought",2,0,Inf,0.0287405653150843
"756","painstricken",4,0,Inf,0.00082573325157433
"758","paralysis",2,0,Inf,0.0287405653150843
"759","parasol",2,0,Inf,0.0287405653150843
"761","parting",4,0,Inf,0.00082573325157433
"765","patches",2,0,Inf,0.0287405653150843
"769","perception",2,0,Inf,0.0287405653150843
"770","perfecting",2,0,Inf,0.0287405653150843
"773","personage",2,0,Inf,0.0287405653150843
"774","personal",4,0,Inf,0.00082573325157433
"775","petted",8,0,Inf,6.8088857016719e-07
"776","petting",4,0,Inf,0.00082573325157433
"777","petty",2,0,Inf,0.0287405653150843
"779","piano",2,0,Inf,0.0287405653150843
"780","piero",4,0,Inf,0.00082573325157433
"781","pitying",2,0,Inf,0.0287405653150843
"782","places",2,0,Inf,0.0287405653150843
"784","planted",2,0,Inf,0.0287405653150843
"788","position",2,0,Inf,0.0287405653150843
"790","possibly",2,0,Inf,0.0287405653150843
"792","powerloving",2,0,Inf,0.0287405653150843
"793","practical",2,0,Inf,0.0287405653150843
"794","pray",4,0,Inf,0.00082573325157433
"795","prayers",2,0,Inf,0.0287405653150843
"796","precipice",4,0,Inf,0.00082573325157433
"797","predominated",2,0,Inf,0.0287405653150843
"798","preferred",4,0,Inf,0.00082573325157433
"800","preoccupation",2,0,Inf,0.0287405653150843
"805","presents",2,0,Inf,0.0287405653150843
"806","pressure",2,0,Inf,0.0287405653150843
"810","prisoner",4,0,Inf,0.00082573325157433
"811","probability",2,0,Inf,0.0287405653150843
"820","providing",4,0,Inf,0.00082573325157433
"821","pullet",4,0,Inf,0.00082573325157433
"823","purple",2,0,Inf,0.0287405653150843
"825","pursuit",4,0,Inf,0.00082573325157433
"826","pushed",2,0,Inf,0.0287405653150843
"845","recess",2,0,Inf,0.0287405653150843
"846","recoil",2,0,Inf,0.0287405653150843
"847","recompense",2,0,Inf,0.0287405653150843
"851","reflecting",2,0,Inf,0.0287405653150843
"858","remarkable",4,0,Inf,0.00082573325157433
"860","reminiscences",4,0,Inf,0.00082573325157433
"872","resolutions",2,0,Inf,0.0287405653150843
"873","resolve",4,0,Inf,0.00082573325157433
"874","response",2,0,Inf,0.0287405653150843
"876","resting",2,0,Inf,0.0287405653150843
"877","restoration",4,0,Inf,0.00082573325157433
"880","resurgent",2,0,Inf,0.0287405653150843
"883","revelation",2,0,Inf,0.0287405653150843
"884","revelling",2,0,Inf,0.0287405653150843
"885","revival",6,0,Inf,2.37155589591841e-05
"887","rhythm",2,0,Inf,0.0287405653150843
"889","rid",4,0,Inf,0.00082573325157433
"891","risen",4,0,Inf,0.00082573325157433
"892","road",2,0,Inf,0.0287405653150843
"893","rob",2,0,Inf,0.0287405653150843
"895","romola",12,0,Inf,5.60671544962245e-10
"902","running",4,0,Inf,0.00082573325157433
"903","rushing",2,0,Inf,0.0287405653150843
"908","safe",2,0,Inf,0.0287405653150843
"909","safely",2,0,Inf,0.0287405653150843
"912","sally",4,0,Inf,0.00082573325157433
"914","sandy",2,0,Inf,0.0287405653150843
"916","sate",4,0,Inf,0.00082573325157433
"919","savonarola",2,0,Inf,0.0287405653150843
"921","saxon",2,0,Inf,0.0287405653150843
"924","schemes",2,0,Inf,0.0287405653150843
"925","scholar",2,0,Inf,0.0287405653150843
"926","schoollife",2,0,Inf,0.0287405653150843
"927","scolding",2,0,Inf,0.0287405653150843
"928","score",2,0,Inf,0.0287405653150843
"930","seeds",2,0,Inf,0.0287405653150843
"936","selfconfidence",2,0,Inf,0.0287405653150843
"937","selfindulgence",4,0,Inf,0.00082573325157433
"938","selfpossessed",2,0,Inf,0.0287405653150843
"939","selfreproach",4,0,Inf,0.00082573325157433
"951","shrank",2,0,Inf,0.0287405653150843
"952","shreds",2,0,Inf,0.0287405653150843
"953","sickness",4,0,Inf,0.00082573325157433
"955","sides",4,0,Inf,0.00082573325157433
"958","signor",2,0,Inf,0.0287405653150843
"959","signs",6,0,Inf,2.37155589591841e-05
"962","singer",2,0,Inf,0.0287405653150843
"963","sketch",4,0,Inf,0.00082573325157433
"964","smart",2,0,Inf,0.0287405653150843
"967","soft",4,0,Inf,0.00082573325157433
"968","softheartedness",2,0,Inf,0.0287405653150843
"971","song",2,0,Inf,0.0287405653150843
"978","sparing",2,0,Inf,0.0287405653150843
"981","spectators",2,0,Inf,0.0287405653150843
"982","speech",2,0,Inf,0.0287405653150843
"988","starlight",4,0,Inf,0.00082573325157433
"989","stars",2,0,Inf,0.0287405653150843
"991","statement",5,0,Inf,0.000139944369931828
"992","staying",2,0,Inf,0.0287405653150843
"995","stephen",6,0,Inf,2.37155589591841e-05
"997","sting",6,0,Inf,2.37155589591841e-05
"998","stirred",4,0,Inf,0.00082573325157433
"1002","strangely",2,0,Inf,0.0287405653150843
"1006","strings",2,0,Inf,0.0287405653150843
"1010","strongholds",2,0,Inf,0.0287405653150843
"1012","stronglymarked",2,0,Inf,0.0287405653150843
"1013","struggles",2,0,Inf,0.0287405653150843
"1014","struggling",4,0,Inf,0.00082573325157433
"1015","subjection",2,0,Inf,0.0287405653150843
"1016","submission",2,0,Inf,0.0287405653150843
"1020","sufficiently",4,0,Inf,0.00082573325157433
"1022","sunlight",2,0,Inf,0.0287405653150843
"1025","swept",2,0,Inf,0.0287405653150843
"1026","swift",2,0,Inf,0.0287405653150843
"1028","taciturn",2,0,Inf,0.0287405653150843
"1033","taunt",4,0,Inf,0.00082573325157433
"1034","tearful",6,0,Inf,2.37155589591841e-05
"1038","tended",2,0,Inf,0.0287405653150843
"1039","tendencies",2,0,Inf,0.0287405653150843
"1043","tessa",8,0,Inf,6.8088857016719e-07
"1057","thorough",4,0,Inf,0.00082573325157433
"1058","thoroughly",4,0,Inf,0.00082573325157433
"1062","threadbare",2,0,Inf,0.0287405653150843
"1064","thrilling",2,0,Inf,0.0287405653150843
"1066","tide",2,0,Inf,0.0287405653150843
"1067","tie",4,0,Inf,0.00082573325157433
"1068","tied",2,0,Inf,0.0287405653150843
"1069","tighter",4,0,Inf,0.00082573325157433
"1073","tito",44,0,Inf,1.12718709553706e-34
"1075","toil",2,0,Inf,0.0287405653150843
"1076","tolerant",2,0,Inf,0.0287405653150843
"1077","tom",12,0,Inf,5.60671544962245e-10
"1079","tonic",2,0,Inf,0.0287405653150843
"1082","tormenting",2,0,Inf,0.0287405653150843
"1083","torturing",2,0,Inf,0.0287405653150843
"1084","total",2,0,Inf,0.0287405653150843
"1089","trampling",2,0,Inf,0.0287405653150843
"1090","transome",2,0,Inf,0.0287405653150843
"1091","treasures",2,0,Inf,0.0287405653150843
"1094","trivial",2,0,Inf,0.0287405653150843
"1098","tryan",8,0,Inf,6.8088857016719e-07
"1100","tulliver",4,0,Inf,0.00082573325157433
"1102","twice",4,0,Inf,0.00082573325157433
"1104","ultimately",4,0,Inf,0.00082573325157433
"1106","underlying",2,0,Inf,0.0287405653150843
"1109","unfavourable",4,0,Inf,0.00082573325157433
"1110","unforgiving",4,0,Inf,0.00082573325157433
"1111","unhappily",2,0,Inf,0.0287405653150843
"1113","unknown",2,0,Inf,0.0287405653150843
"1114","unpleasant",2,0,Inf,0.0287405653150843
"1115","unshakable",2,0,Inf,0.0287405653150843
"1117","untrained",2,0,Inf,0.0287405653150843
"1118","untrustworthy",2,0,Inf,0.0287405653150843
"1119","unusual",2,0,Inf,0.0287405653150843
"1125","usurer",2,0,Inf,0.0287405653150843
"1128","vague",2,0,Inf,0.0287405653150843
"1129","vaguely",6,0,Inf,2.37155589591841e-05
"1130","vaguest",2,0,Inf,0.0287405653150843
"1131","vassals",2,0,Inf,0.0287405653150843
"1135","vibrating",2,0,Inf,0.0287405653150843
"1136","vines",2,0,Inf,0.0287405653150843
"1138","visitors",2,0,Inf,0.0287405653150843
"1140","vulgar",2,0,Inf,0.0287405653150843
"1141","wage",4,0,Inf,0.00082573325157433
"1145","walking",6,0,Inf,2.37155589591841e-05
"1147","warfare",2,0,Inf,0.0287405653150843
"1149","warning",2,0,Inf,0.0287405653150843
"1153","wave",2,0,Inf,0.0287405653150843
"1154","waving",2,0,Inf,0.0287405653150843
"1158","wear",8,0,Inf,6.8088857016719e-07
"1161","week",4,0,Inf,0.00082573325157433
"1162","welfare",2,0,Inf,0.0287405653150843
"1183","wifely",2,0,Inf,0.0287405653150843
"1185","windowframe",2,0,Inf,0.0287405653150843
"1186","winged",2,0,Inf,0.0287405653150843
"1190","withdrawing",4,0,Inf,0.00082573325157433
"1191","withdrew",2,0,Inf,0.0287405653150843
"1202","wounding",2,0,Inf,0.0287405653150843
"1205","wrongdoing",2,0,Inf,0.0287405653150843
"1206","wrynecked",4,0,Inf,0.00082573325157433
"1208","yellow",2,0,Inf,0.0287405653150843
"1209","yesterday",4,0,Inf,0.00082573325157433
"1213","younger",2,0,Inf,0.0287405653150843
