language,author,poem_title
english,WilliamWordsworth,1841_SonnetsuponthePunishmentofDeath_TenderlydowefeelbyNaturesLaw_0000001.txt
french,ApollinaireGuillaume,1913_Réponsedescosaqueszaporogues_0000001.txt
french,AudetMartine,2001_AudetMartine_048_Demabouche_0000001.txt
french,BrossardNicole,1985_BrossardNicole_001_Lavivasonvisageetlesrelais_0000001.txt
french,BrossardNicole,1989_BrossardNicole_131_Minéralvégétalcharnel_0000001.txt
french,BrossardNicole,1992_BrossardNicole_061_Danslamatièrepensanteexisternapas_0000001.txt
french,ChedidAndree,1991_ChedidAndrée_013_6Trajectoiresduchant_0000001.txt
french,ClaudelPaul,1913_ClaudelPaul_CantiqueDuCoeurDur_0000001.txt
french,ClaudelPaul,1922_ClaudelPaul_PoemesVersoDeSteGenevieveV_0000001.txt
french,CocteauJean,1916_CocteauJean_BalladeDeLEnfantDuNord_0000001.txt
french,CoppéeFrançois,1869_CoppeeFrancois_LeDefile_0000001.txt
french,DeBanvilleTheodore,1872_DeBanvilleTheodore_Ode_0001000.txt
french,DeLisleLeconte,1856_DeLisleLeconte_LaPassionNeuviemeStation_0000001.txt
french,DeLisleLeconte,1873_DeLisleLeconte_LesErinnyesKlytaimnestraVIII_0000001.txt
french,DeRégnierHenri,1892_DeRegnierHenri_ScenesAuCrepusculeIV_0000001.txt
french,DeRégnierHenri,1900_DeRegnierHenri_OdeletteII_0000001.txt
french,DeschampsEmile,1841_DeschampsEmile_LaRoseEtLeGrenadierIII_0000001.txt
french,DuBellayJoachim,1549_DuBellayJoachim_LAnterotiqueDeLaVieilleEtDeLaJeuneAmye_0001000.txt
french,DuBellayJoachim,1558_DuBellayJoachim_LesRegretsCIII_0000001.txt
french,ÉluardPaul,1929_ÉluardPaul_Premièrement_XVIII_0000001.txt
french,GautierTheophile,1852_GautierTheophile_AUneRobeRose_0000001.txt
french,HugoVictor,"1857_Hugo,Victor_Lesconseillersprobesetlibres_Poetry_0000001.txt"
french,HugoVictor,"1859_Hugo,Victor_Lesatyre_Poetry_0003000.txt"
french,JammesFrancis,1891_JammesFrancis_TocIII_0000001.txt
french,JammesFrancis,1919_JammesFrancis_CantiquedeNDdeSarrance_0000001.txt
french,LaFontaineJeande,1666_LaFontaineJeande_LeVillageoisquiaperdusonveau_0000001.txt
french,LaFontaineJeande,1668_LaFontaineJeande_LeLionetlAnechassant_0000001.txt
french,LaFontaineJeande,1674_LaFontaineJeande_LeRoiCandauleetlemaîtreendroit_0001000.txt
french,LasnierRina,1947_LasnierRina_018_ChantneuvièmeChoeurdesesclaves_0000001.txt
french,LasnierRina,1960_LasnierRina_064_LesÉphémèresduRichelieu_0000001.txt
french,LasnierRina,1981_LasnierRina_058_JosephEffacé_0000001.txt
french,MichauxHenri,1935_MichauxHenri_BonheurBête_0000001.txt
french,MichauxHenri,1938_MichauxHenri_ReposDansLeMalheur_0000001.txt
french,MichauxHenri,1975_MichauxHenri_Etlapageparfaiteestcellequi_0000001.txt
french,NoelMarie,1960_NoelMarie_002_Retraite_0000001.txt
french,PongeFrancis,1937_PongeFrancis_FauneEtFlore7_0000001.txt
french,PrudhommeSully,1872_Sullyprudhomme_Repentir_0000001.txt
french,RollinatMaurice,1899_RollinatMaurice_Àlassemblée_0000001.txt
french,RonsardPierrede,1555_RonsardPierrede_SonnetLV_0000001.txt
french,RonsardPierrede,1560_RonsardPierrede_IMondesAutelzquiavezdesenfance_0000001.txt
french,RonsardPierrede,1578_RonsardPierrede_Jesuisesmerveilléquemespensersnesont_0000001.txt
french,VerhaerenÉmile,1886_VerhaerenÉmile_CroquisdecloîtreI_0000001.txt
french,VerhaerenÉmile,1895_VerhaerenÉmile_LÉtal_0000001.txt
french,VerhaerenÉmile,1900_VerhaerenÉmile_Kleudde_0000001.txt
french,VerhaerenÉmile,1912_VerhaerenÉmile_LeSabotier_0000001.txt
french,VerlainePaul,1895_VerlainePaul_Bibliophilie_0000001.txt
