"","author.name","book.length","no.nodes","no.edges","mean.degree","sd.degree","X.per.1.degree","per.1.to.3.degree","per.1.to.5.degree","per.plus.five.degree","X.trans.score","avg.page.diff","sd.page.diff","norm.avg.page.diff","per.page.diff.less6","per.page.diff.greater20","X.avg.poem.similarity","sd.poem.similarity","groups.louvain","X.mod.louvain","groups.walk","mod.walk","groups.fast","mod.fast","robust.mean","robust.sd","X.diam","vulnerability1","vulnerability2","sim.mean","sim.sd"
"1","1855",112,112,141,2.51785714285714,2.46774559867267,0.383928571428571,0.830357142857143,0.946428571428571,0.0535714285714286,0.0543478260869565,23.5248226950355,24.872412014773,0.210043059777102,0.326241134751773,0.418439716312057,26.3199167519264,9.66009895164197,11,0.701530130017389,19,0.647190690040588,10,0.696394155595048,3.783,3.29192158894281,34.7889035139221,0.0752688172043011,0.204819277108434,11.6568603118408,7.49884646059093
"2","1856",171,171,229,2.67836257309942,2.4582513410965,0.333333333333333,0.795321637426901,0.91812865497076,0.0818713450292398,0.0434298440979955,24.3580786026201,24.5480764918544,0.142444904108889,0.305676855895196,0.445414847161572,25.1931322868068,8.6569665065614,13,0.694192034428892,20,0.636870741844177,12,0.692580596574216,3.325,2.62569405477281,31.3439836451091,0.162790697674419,0.176470588235294,14.0786733233967,6.66014088126984
"3","1860",256,256,334,2.609375,2.02430089602486,0.2890625,0.78515625,0.93359375,0.06640625,0.0481132075471698,24.9700598802395,27.2374554754512,0.0975392964071856,0.368263473053892,0.422155688622754,23.9304668076956,7.95709192849487,15,0.760281251977701,38,0.691932439804077,14,0.755756845816432,3.375,2.76369553551273,50.9292539463069,0.0638297872340425,0.0638297872340425,14.7436961037941,5.5720988682921
"4","1867",269,269,369,2.74349442379182,2.09770762874089,0.304832713754647,0.75092936802974,0.9182156133829,0.0817843866171004,0.0705596107055961,28.650406504065,29.2903336944483,0.106507087375706,0.303523035230352,0.444444444444444,22.8287346492491,7.54655814622397,14,0.746481956133169,28,0.708427429199219,12,0.752907893214465,3.292,2.69369485873809,53.7223075329979,0.111111111111111,0.0869565217391304,13.7955096556783,4.88568821266746
"5","1871",212,212,276,2.60377358490566,2.3067148848238,0.367924528301887,0.787735849056604,0.933962264150943,0.0660377358490566,0.0657370517928287,28.2246376811594,27.1640184779102,0.133135083401695,0.311594202898551,0.503623188405797,24.0836666820804,7.57749736740189,14,0.73637773161535,25,0.688722670078278,11,0.71974449274452,2.917,2.23900069766048,53.0376821097211,0.136363636363636,0.136363636363636,13.9278591381251,5.63967675959052
"6","1881",299,299,403,2.69565217391304,2.16539621421048,0.297658862876254,0.782608695652174,0.933110367892977,0.0668896321070234,0.0564399421128799,33.2307692307692,30.9827242209765,0.111139696423977,0.285359801488834,0.538461538461538,22.8164693255306,6.88742167806674,15,0.730888318135241,54,0.628316283226013,14,0.727162030795088,3.346,2.73198604457412,51.5932363301951,0.111111111111111,0.123595505617978,14.3322442670634,5.07976221359886
"7","1891",345,345,458,2.65507246376812,1.85048204215507,0.278260869565217,0.794202898550725,0.921739130434783,0.0782608695652174,0.0556792873051225,30.9519650655022,29.9948552565787,0.0897158407695716,0.292576419213974,0.513100436681223,22.9541452875513,8.01640162665704,16,0.769283982065162,29,0.686506986618042,17,0.764933480061706,3.957,3.37498763576128,66.3886736270467,0.0416666666666667,0.0638297872340425,14.384266629702,4.86714054736441
