Tentative,Frequency (per 100K),G2
like,195.81,1262.54
something,62.9,1091.98
quite,74.78,1003.91
any,162.81,829.51
anything,43.52,527.88
vague,8.38,470.24
suppose,38,391.83
hope,68.91,362.06
almost,51.55,357.66
hard,45.05,317.18
perhaps,48.76,311.51
sort,28.85,308.24
might,118.27,269.19
question,36.44,267.27
guess,11.43,242.72
possible,36.26,180.39
somehow,5.94,179.07
chance,19.99,142.57
anybody,7.05,141.16
anyone,3.27,116.36
