Insight,Frequency (per 100K),G2
think,154.93,3241.93
know,183.74,1564.75
realize,5.41,1524.74
thought,139.88,801.93
seem,120.01,730.36
felt,64.81,557.08
sense,31.39,547.27
feel,86.05,483.08
meant,15.03,465.98
recognize,3.78,434.78
conscious,18.16,422.69
remember,38.16,413.15
believe,57.45,369.91
idea,30.27,331.38
knew,65.63,318.91
question,36.44,267.27
understand,28.38,235.23
decide,14.48,197.34
mean,64.27,162.91
perception,3.82,122.36
