Discrepancy,Frequency (per 100K),G2
want,84.11,2086.73
would,348.14,1534.14
if,315.85,1213.50
wouldnt,13.15,978.85
could,246.67,738.47
couldnt,10.73,683.50
shouldnt,5.09,638.09
rather,51.37,472.47
must,131.82,439.63
mustnt,2.58,386.01
hope,68.91,362.06
ought,23.95,292.34
neednt,2.50,268.92
should,148.47,175.96
ideal,3.36,149.13
wish,65.77,142.12
normal,0.85,136.66
problem,1.99,112.16
oughtnt,0.72,105.00
need,28.78,99.08
