,word,freq.a,freq.b,med.a,med.b,wilcox.p,MI.results,G1,G2,fisher.OR,fisher.p,med.ratio,dictionary
271,question,36.4400003896,27.1493385837,34,19.5,2.43409553851344e-10,2.53264163120475e-06,267.2701221499,267.2701221512,1.3423301891,4.45069907385633e-60,1.7435897436,tent
230,guess,11.4334094123,6.7643477917,10,3,3.32324780370063e-11,2.29998303818819e-06,242.7176193996,242.717619417,1.6903223152,1.04215106345884e-54,3.3333333333,tent
267,possibl,36.2563632273,28.5285498344,32.5,19,1.48522128713958e-07,1.70935195102745e-06,180.3882156404,180.3882156566,1.2709780489,3.84297260748131e-41,1.7105263158,tent
278,somehow,5.9402629908,3.1311822989,4,1,1.39453546988468e-09,1.69689276401603e-06,179.0733954403,179.0733954335,1.8970984082,7.54194912700332e-41,4,tent
219,blur,0.9980280562,0.1714695068,0,0,3.69664936956376e-15,1.36822158893696e-06,144.38866781,144.388667824,5.8205061757,3.18754684466709e-33,NA,tent
220,chanc,19.9924980227,14.9600932059,21,11,8.61538191101069e-10,1.35101162890362e-06,142.5724976782,142.5724976783,1.3364555027,7.69237243115746e-33,1.9090909091,tent
207,anybodi,7.0500701893,4.2420064954,5,2,9.24598939767629e-05,1.3376136523505e-06,141.1586068092,141.1586068278,1.6620114689,1.35013006851393e-32,2.5,tent
209,anyon,3.2655478,1.6128073905,0,0,0.0087924049,1.10259363926877e-06,116.3569030031,116.3569030137,2.0248759879,4.06468686370661e-27,NA,tent
226,dunno,0.6547064049,0.0869772861,0,0,0.0134982118,1.06180597489795e-06,112.0525735233,112.0525735324,7.5273800793,4.30232439869096e-26,NA,tent
283,somewher,4.8783611389,2.8901309632,5,1,1.06627935644021e-11,9.76739912027215e-07,103.0755367562,103.0755367759,1.6879690276,2.98156923710923e-24,5,tent
291,typic,0.6467221804,0.1192831352,0,0,6.80969528489621e-12,8.4050382740335e-07,88.6985184945,88.6985185156,5.4217891549,4.85786716906879e-21,NA,tent
208,anyhow,2.1637248259,1.0114215839,0,0,4.75001154920997e-07,8.30210052110457e-07,87.6122145573,87.6122145766,2.1393640076,9.88656773187381e-21,NA,tent
290,theori,2.9222261487,1.5457106269,2,0,4.11619689341621e-10,8.26862590995013e-07,87.2589564165,87.2589564092,1.8904836362,1.13384466372168e-20,Inf,tent
277,somebodi,4.8304557922,3.0292946209,3,1,2.47393583367941e-07,7.86356630730008e-07,82.9843552092,82.9843552124,1.5946087114,9.30011485170419e-20,3,tent
233,hesit,11.728825717,8.8890786374,12,6,1.6440226844588e-09,7.28180691101771e-07,76.8450379457,76.8450379481,1.3195018859,1.8551078176811e-18,2,tent
