,word,freq.a,freq.b,med.a,med.b,wilcox.p,MI.results,G1,G2,fisher.OR,fisher.p,med.ratio,dictionary
138,recal,6.6748116402,5.188816381,6,3,2.63203411609969e-05,3.45526498242983e-07,36.4634728813,36.4634728633,1.2864031337,1.65938526735959e-09,2,insight
153,revel,3.2815162489,2.3011704832,2,1,8.66945463088942e-08,3.23414802404365e-07,34.1300216751,34.1300216656,1.4260338189,5.44389337863793e-09,2,insight
38,accept,14.6430676412,12.4799980199,14,9,1.21514583187183e-05,3.17112705501705e-07,33.4649602499,33.4649602577,1.173390206,7.47888959011887e-09,1.5555555556,insight
104,insight,0.9102015873,0.4522818876,0,0,2.13466275682459e-05,3.02783934709393e-07,31.9528425247,31.9528425254,2.0125614118,1.50245514350722e-08,NA,insight
68,consid,23.7850046364,21.1006896031,23,14,5.19514634712312e-06,2.93933263794983e-07,31.0188296414,31.0188296484,1.1272650561,2.61493039373208e-08,1.6428571429,insight
44,analyz,0.1916213868,0.0347909144,0,0,1.20666714065068e-06,2.52080794954452e-07,26.6021311684,26.6021311619,5.5078279271,2.68625966339387e-07,NA,insight
159,statement,2.7465732108,1.9607165348,1,1,2.86568141440393e-05,2.4594067537866e-07,25.9541632269,25.9541632502,1.4008112022,3.2696835662951e-07,1,insight
136,rearrang,0.2794478557,0.0820071554,0,0,7.10451979844097e-08,2.30699347227482e-07,24.3457431608,24.3457431774,3.4075736823,9.12074213661253e-07,NA,insight
137,reason,35.4739092312,32.8649888119,34,20,4.73118183818296e-07,1.81620899530953e-07,19.1664858572,19.166485856,1.079421135,1.20008813932853e-05,1.7,insight
121,misunderstand,1.0379491785,0.6411468517,1,0,4.51535167883503e-06,1.78994467269598e-07,18.889317978,18.889317992,1.6188999402,1.57432987515112e-05,Inf,insight
166,unawar,1.2535232386,0.8225566198,1,0,1.98946352578267e-05,1.69448348340121e-07,17.8819143635,17.8819143621,1.5239411474,2.45606643721206e-05,Inf,insight
42,afterthought,0.1916213868,0.054671437,0,0,1.41213731883705e-05,1.6366488600427e-07,17.2715845378,17.2715845524,3.5049096798,3.22091079382382e-05,NA,insight
76,defin,1.4211919521,0.989055996,1,0,0.0001611714,1.45685598848351e-07,15.3742271741,15.3742271785,1.4369231123,8.61028921020472e-05,Inf,insight
145,reconstruct,0.1676687134,0.047216241,0,0,0.0005917563,1.45433752223935e-07,15.3476497401,15.3476497594,3.5510144386,9.85157102831285e-05,NA,insight
127,ponder,2.6826994152,2.0874548659,2,1,0.0002632416,1.37867247580684e-07,14.5491551698,14.5491551776,1.2851606801,0.0001396807,2,insight
99,imagin,23.2899827205,21.5380610989,23,13,9.2729678751797e-07,1.24857836098342e-07,13.1762696652,13.1762696682,1.0813700727,0.0002879985,1.7692307692,insight
56,choos,7.2975811473,6.3518269492,6,4,0.0001149871,1.20196951146397e-07,12.684405652,12.6844056495,1.1489305528,0.0003814925,1.5,insight
98,identifi,0.958106934,0.6809078967,1,0,0.0007429729,8.79308090084862e-08,9.279353922,9.2793539263,1.4071054183,0.0024691472,Inf,insight
43,analys,0.550911487,0.352879275,0,0,0.110534989,8.24381356650036e-08,8.6997111293,8.6997111307,1.5611917795,0.0034395268,NA,insight
78,differenti,0.0798422445,0.0198805225,0,0,0.0036577311,7.92947410192652e-08,8.3679881317,8.3679881342,4.0158317606,0.0036222857,NA,insight
54,categori,0.1756529379,0.0770370248,0,0,0.0003424518,7.71465492607928e-08,8.1412890638,8.1412890756,2.2801346162,0.005241807,NA,insight
122,misunderstood,0.5988168337,0.4025805813,0,0,0.0008080694,7.2615170962126e-08,7.6630919081,7.6630919171,1.4874479837,0.0058315151,NA,insight
41,admit,10.0441543581,9.2270475205,10,6,8.88450099844458e-05,6.32129186104788e-08,6.6708705365,6.6708705529,1.0885763945,0.0097684709,1.6666666667,insight
94,forgiv,10.1399650515,9.3537858516,9,6,0.0012035729,5.78272907693274e-08,6.1025242727,6.1025242881,1.0840687789,0.013574432,1.5,insight
87,explan,5.5091148705,4.9800708944,4,3,0.0002163463,4.87590927131118e-08,5.1455557267,5.1455557331,1.1062537373,0.0235353931,1.3333333333,insight
57,clarifi,0.0798422445,0.0298207838,0,0,0.0125218272,4.69062569173038e-08,4.9500256494,4.9500256418,2.6774042465,0.0233986719,NA,insight
88,explor,1.3812708298,1.138159915,1,0,0.0022182993,4.32711108305847e-08,4.5664080139,4.5664080282,1.2136240972,0.0313853467,Inf,insight
178,dont,107.1003867718,40.0045814664,85,17,9.21357375567565e-12,6.29531755924318e-05,6643.459825926,6643.4598259346,2.6790015221,0,5,negate
174,cant,34.3241809104,11.9655894994,28.5,5,4.89072806465489e-12,2.24555073209233e-05,2369.7336846474,2369.7336846573,2.8691854227,0,5.7,negate
182,isnt,13.8206925229,3.6132849703,5,0,5.34129882539672e-10,1.3036503458698e-05,1375.7445304751,1375.744530494,3.8251810748,3.74760251889591e-301,Inf,negate
176,didnt,21.5494217904,8.0988278668,15.5,1,8.83282897898827e-10,1.25338634322663e-05,1322.7008390449,1322.7008390348,2.6611658613,1.31122987128929e-289,15.5,negate
177,doesnt,8.4792463659,1.9507762735,2,0,4.37059305237144e-09,9.1093916593698e-06,961.3157232801,961.315723285,4.3463960351,4.43498260454829e-211,Inf,negate
