"","emotion","sense"
"00000001.txt",0.0226396510482623,0.0107921767271704
"00000037.txt",0.0254012983763711,0.016697172805204
"00000038.txt",0.0207000646877021,0.0113562854883922
"00000039.txt",0.0252787471274151,0.0160013618180271
"00000080.txt",0.0230006248047485,0.0123398937831928
"00000083.txt",0.0225365659513781,0.011707737720142
"00000086.txt",0.022558320572812,0.0130798908440764
"00000107.txt",0.0261258114284051,0.0129682997118156
"00000130.txt",0.0261440883709638,0.0146576839038602
"00000183.txt",0.0111530260783992,0.011189473876041
"00000221.txt",0.0242321453464058,0.0109428000557595
"00000241.txt",0.0179844892137636,0.0116330896773043
"00000243.txt",0.0170355931750821,0.0150062748658247
"00000244.txt",0.0187152479544324,0.0122734053614213
"00000253.txt",0.0228548822553667,0.0146165751684793
"00000309.txt",0.0181039755351682,0.0134556574923547
"00000310.txt",0.0193991293115821,0.0124144859589533
"00000381.txt",0.0201425097688148,0.015908348556151
"00000401.txt",0.0246806091081931,0.0144458856767178
"00000449.txt",0.0219687841510914,0.012161291226497
"00000450.txt",0.015762068661195,0.012090724560939
"00000475.txt",0.0129312509415959,0.0149399889519409
"00000515.txt",0.0201894089344986,0.0127287676238619
"00000521.txt",0.0210776365898722,0.011877380189284
"00000524.txt",0.018649037966869,0.0141218232328429
"00000606.txt",0.0178941765925817,0.0127186301319581
"00000671.txt",0.0200571070408803,0.0149731875478794
"00000679.txt",0.0268755752159843,0.0148368613247039
"00000698.txt",0.0188472172389776,0.0130432029716553
"00000699.txt",0.0219721329046088,0.012889941896542
"00000711.txt",0.0226274874101599,0.0135872488143549
"00000714.txt",0.0222665337321369,0.0154973675464834
"00000766.txt",0.0215506041314798,0.0154118487722489
"00000790.txt",0.0174583202264863,0.0120233476634861
"00000792.txt",0.0198283641812393,0.0119191540806075
"00000822.txt",0.0164439876670093,0.0150491851416826
"00000846.txt",0.0239758705785577,0.00735947353989581
"00000877.txt",0.018199169343674,0.0142878264492802
"00000879.txt",0.0214757281553398,0.0158834951456311
"00000901.txt",0.0201266713581985,0.0168895144264602
"00000902.txt",0.0237224076233364,0.012987012987013
"00000930.txt",0.0216301934665398,0.0113225499524263
"00000980.txt",0.0224253993770722,0.0127800663116648
"00000986.txt",0.0191475781859443,0.0118573150840366
"00001085.txt",0.0160132394760151,0.0177381007878421
"00001089.txt",0.0191810970670498,0.00987329777315869
"00001111.txt",0.0214865303472898,0.0138266796494645
"00001130.txt",0.0148436119455734,0.0186723213759793
"00001131.txt",0.0199190435846748,0.0106749505789325
"00001161.txt",0.0232931378502646,0.0179795263294873
"00001176.txt",0.0163080591210546,0.0113774464982234
"00001177.txt",0.023705530522167,0.0148778998075438
"00001185.txt",0.0165346281625351,0.0131101456682852
"00001186.txt",0.0188493042534294,0.0140333563604066
"00001192.txt",0.0234890184751213,0.0117717586789471
"00001196.txt",0.0207193062260635,0.0173443484130361
"00001273.txt",0.0205411484519714,0.0190526594337126
"00001291.txt",0.0194132104819463,0.0173353439166004
"00001312.txt",0.0205979092715016,0.0134985508190315
"00001315.txt",0.0190219979049614,0.0177602133130178
"00001362.txt",0.0205096714768192,0.0136198956094566
"00001366.txt",0.0168419199034011,0.0172947273093178
"00001382.txt",0.0171646535282899,0.0135621953803772
"00001384.txt",0.0141474890313215,0.00703810036097808
"00001415.txt",0.0282500319570497,0.0154032979675316
"00001437.txt",0.0199386838138376,0.0166616904916218
"00001443.txt",0.0180966492997467,0.01715979159696
"00001457.txt",0.021291613990729,0.0150653181626633
"00001530.txt",0.0222121486854034,0.0111060743427017
"00001579.txt",0.0205288333776242,0.0154796704756843
"00001601.txt",0.0186189287661015,0.01428694379895
"00001629.txt",0.0129908675799087,0.0151141552511416
"00001666.txt",0.0174595569584578,0.017177723916352
"00001725.txt",0.0173352286516659,0.0134174669763894
"00001729.txt",0.0186077332234898,0.0118559378190089
"00001734.txt",0.0225429986826725,0.0121899178061859
"00001752.txt",0.0185280083056589,0.0117131086989798
"00001757.txt",0.0207899750842738,0.0138795251355709
"00001785.txt",0.0194621938232162,0.0139421370252041
"00001786.txt",0.0186604919053549,0.0134456724782067
"00001828.txt",0.017224951893437,0.0161040222691352
"00001850.txt",0.0208029404520566,0.013053939864724
"00001884.txt",0.0209814382426986,0.0159920691859176
"00002010.txt",0.023129883190222,0.0131507697068152
"00002050.txt",0.0191503511085562,0.0105727070864189
"00002076.txt",0.0236833297836736,0.0186874372470867
"00002080.txt",0.0166866981580345,0.0118232383933812
"00002092.txt",0.0179243335926461,0.0136059821868005
"00002099.txt",0.0181528997318471,0.0156291077343709
"00002152.txt",0.0317501315348926,0.0179174439183049
"00002202.txt",0.0227245079195153,0.0145008637259434
"00002217.txt",0.022220532608489,0.0127354635138474
"00002225.txt",0.0167511031214251,0.0128125510704363
"00002234.txt",0.0209440209440209,0.0111136777803444
"00002238.txt",0.0184440292816837,0.0130966905597072
"00002256.txt",0.0178621211517782,0.015253494762834
"00002294.txt",0.0205822570061299,0.0139562426977801
"00002304.txt",0.0195018582512877,0.0116580817630567
"00002309.txt",0.0164049810503519,0.0170005414185165
"00002310.txt",0.0177835828393449,0.0173482032218092
"00002385.txt",0.0203374889812366,0.0121836040800907
"00002419.txt",0.022971162659522,0.0112811111894522
"00002437.txt",0.0216567607726597,0.0157132243684993
"00002444.txt",0.0127519172462993,0.0139111824505083
"00002475.txt",0.0181182310469314,0.0125676895306859
"00002482.txt",0.0335480346860277,0.0111068120263104
