filenames.i.,word.count,no.persons,no.persons.per10Kword
"1906_Sinclair,Upton_TheJungle_Novel.txt",149113,105,7.0416395619
"1906_Stein,Gertrude_ThreeLives_Novel.txt",86050,79,9.1807088902
"1908_Forster,E.M._ARoomWithaView_Novel.txt",66447,94,14.1466130901
"1910_Forster,E.M._HowardsEnd_Novel.txt",108705,158,14.5347500115
"1911_Barrie,J.M._PeterPan_Novel.txt",47327,49,10.3534980033
"1912_Dreiser,Theodore_TheFinancier_Novel.txt",193345,246,12.7233701415
"1913_Lawrence,D.H._SonsandLovers_Novel.txt",160124,143,8.9305788014
"1916_Joyce,James_APortraitoftheArtistasaYoungMan_Novel.txt",84770,160,18.8746018639
"1917_Lewis,Sinclair_TheInnocents_Novel.txt",41389,74,17.8791466332
"1917_Webb,Mary_GonetoEart_Novel.txt",81562,61,7.4789730512
"1918_Lewis,Sinclai_TheJob_Nove.txt",90518,210,23.1998055635
"1920_Fitzgerald,FScott_ThisSideofParadise_Novel.txt",71084,203,28.557762647
"1920_Wharton,Edith_TheAgeofInnocence_Novel.txt",101252,153,15.1108126259
"1922_Fitzgerald,FScott_TheBeautifulandtheDamned_Novel.txt",123514,177,14.3303593115
"1925_Woolf,Virginia_Mrs.Dalloway_Novel.txt",63492,161,25.3575253575
"1927_Woolf,Virginia_TotheLighthouse_Novel.txt",69322,78,11.251839243
"1928_Woolf,Virginia_Orlando_Novel.txt",78411,119,15.1764420808
