"","seg","F1.score"
"1",100,0.821985140028824
"5",200,0.872541024431343
"7",300,0.864948348435191
"8",400,0.894507113541206
"9",500,0.902523242302924
"10",750,0.927794790163211
"2",1000,0.942629640401083
"3",1250,0.950688152356958
"4",1500,0.948285552759237
"6",2000,0.95389615879212
