a
à
abandonné
abandonnée
abandonner
absence
absent
absolu
absolue
absolument
accablé
accent
accepté
accepter
accès
accident
accompagné
acheté
acheter
achevé
achever
acquis
acte
actes
action
actions
activité
adieu
admirable
admiration
admirer
adresse
affaire
affaires
affection
affreuse
affreux
afin
âge
agir
agitation
agité
agitée
agréable
ah
ai
aide
aider
aient
aije
ailes
ailleurs
aimable
aimait
aime
aimé
aimée
aiment
aimer
aimez
ainsi
air
airs
aise
ait
ajouta
ajoutatil
ajouter
alla
allaient
allait
allant
allé
allée
allées
aller
allèrent
allez
allons
alors
amant
âme
amené
amertume
âmes
ami
amie
amies
amis
amitié
amour
amoureux
amours
an
ancien
ancienne
anciennes
anciens
ange
anglais
animal
animaux
année
années
annoncé
annoncer
ans
antique
apercevoir
aperçu
aperçut
apparence
apparences
appartement
appartient
appel
appela
appelait
appelé
appeler
appelle
apportait
apporté
apporter
apprendre
appris
apprit
approche
appuyé
appuyée
après
arbre
arbres
ardent
ardente
ardeur
argent
armé
armée
armes
arraché
arracher
arrêt
arrêté
arrêtée
arrêter
arrière
arriva
arrivait
arrivant
arrive
arrivé
arrivée
arriver
arrivèrent
arrivés
art
as
aspect
asseoir
assez
assis
assise
assure
assuré
astu
atelle
atil
attaché
attaque
atteindre
atteint
attend
attendait
attendant
attendez
attendit
attendre
attends
attendu
attention
attitude
au
aucun
aucune
audessous
audessus
audevant
aujourdhui
auparavant
auprès
auquel
aura
auraient
aurais
aurait
aurez
auriez
aurons
auront
aussi
aussitôt
autant
autour
autre
autrefois
autrement
autres
aux
auxquelles
auxquels
avaient
avais
avait
avaitil
avance
avancé
avant
avantage
avec
avenir
aventure
aveu
aveugle
avez
avezvous
aviez
avions
avis
avoir
avons
avouer
ayant
ayez
baiser
baisers
baissa
baissant
bal
banc
bande
barbe
bas
basse
bataille
bâton
battait
battre
battu
beau
beaucoup
beauté
beaux
bel
belle
belles
berceau
besogne
besoin
besoins
bête
bêtes
bien
biens
bientôt
billet
bizarre
blanc
blanche
blanches
blancheur
blancs
blessé
blessure
blessures
bleu
bleue
bleus
blonde
boire
bois
boîte
bon
bonheur
bonne
bonnes
bonnet
bons
bonté
bord
bords
bornes
bouche
boue
bouquet
bourgeois
bourse
bout
branche
branches
bras
brave
braves
brillant
brillante
brillants
brise
brisé
briser
bruit
bruits
brûlant
brûle
brûler
brune
brusque
brusquement
bu
bureau
but
ça
çà
cabinet
cachait
cache
caché
cachée
cacher
cadavre
café
cage
calme
calmer
camarade
camarades
campagne
canne
capable
caprice
caprices
car
caractère
caractères
caresse
caresses
carré
carrière
carte
cartes
cas
causait
cause
causé
causer
ce
ceci
céder
ceinture
cela
célèbre
celle
celleci
cellelà
celles
celui
celuici
celuilà
cen
cent
centre
cents
cependant
cercle
cérémonie
certain
certaine
certainement
certaines
certains
certes
certitude
cerveau
ces
cessa
cesse
cessé
cesser
cest
cestàdire
cet
cétaient
cétait
cette
ceux
ceuxci
ceuxlà
chacun
chacune
chagrin
chagrins
chaîne
chair
chaise
chaises
chaleur
chambre
chambres
champ
champs
chance
change
changé
changée
changement
changer
chant
chantait
chantant
chanter
chapeau
chapitre
chaque
charge
chargé
chargée
charger
chargés
charité
charmant
charmante
charmantes
charme
charmes
chasse
chasser
chat
château
chaud
chaude
chef
chemin
cheminée
chemins
chemise
cher
chercha
cherchait
cherchant
cherche
cherché
chercher
chère
chéri
chers
cheval
chevaux
chevet
cheveux
chez
chien
chiens
choisi
choisir
choix
chose
choses
chute
ciel
cimetière
cinq
cinquante
circonstance
circonstances
clair
claire
clairement
clarté
classe
clef
cocher
coeur
coeurs
coin
coins
col
colère
combat
combattre
combien
comble
comme
commença
commençait
commence
commencé
commencement
commencer
comment
commerce
commettre
commis
commode
commun
commune
compagne
compagnie
compagnon
compagnons
complaisance
complet
complète
complètement
compliments
comprenait
comprendre
comprends
comprenez
compris
comprit
compromettre
comptait
compte
compter
concert
concevoir
condamné
condition
conditions
conduire
conduisait
conduisit
conduit
conduite
confiance
confidences
confier
confus
confuse
confusion
congé
connais
connaissait
connaissance
connaissez
connaît
connaître
connu
connue
connus
conscience
conseil
conseils
conséquence
conservé
conserver
considérable
considération
considérer
consolation
consoler
consulter
contact
contempler
contenait
contenir
content
contente
contient
continua
