a
ab
abend
abende
abends
aber
abgrund
abreise
abscheu
abschied
absicht
abwesenheit
ach
acht
achten
achtete
achtung
adel
adern
ahnen
ähnlich
ähnliche
ähnlichen
ähnliches
ahnung
all
alle
allein
allem
allen
aller
allerdings
allerlei
alles
allgemein
allgemeine
allgemeinen
allmählich
allzu
als
also
alt
altar
alte
alten
alter
älter
ältere
älteren
alters
altes
am
amt
an
anblick
andacht
andenken
andere
anderen
anderer
anderes
andern
ändern
anders
andre
anfang
anfangen
anfangs
anfing
angefangen
angekommen
angelegenheit
angelegenheiten
angelegt
angenehm
angenehme
angenehmen
angenommen
angesehen
angesicht
angezogen
angst
ängstlich
ankam
ankunft
anlaß
annehmen
ans
ansah
ansehen
ansicht
anspruch
ansprüche
anstand
anstrengung
antlitz
antwort
antworten
antwortete
anzug
anzunehmen
anzusehen
arbeit
arbeiten
arbeiter
arbeitete
arg
ärger
ärgerlich
arm
arme
armen
armer
armes
art
arzt
aß
auch
auf
aufenthalt
auffallend
aufgeben
aufgegeben
aufgehoben
aufgehört
aufgenommen
aufgeregt
aufgestanden
aufhören
aufmerksam
aufmerksamkeit
aufnehmen
aufrecht
aufrichtig
aufs
aufstehen
auftrag
aufzunehmen
aufzusuchen
auge
augen
augenblick
augenblicke
augenblicken
aus
ausdruck
ausdrücken
auseinander
ausführung
ausgang
ausgeführt
ausgesprochen
aushalten
ausnahme
aussah
aussehen
außen
außer
außerdem
äußere
äußern
außerordentlich
äußerst
äußersten
äußerte
aussicht
aussichten
aussprechen
ausweg
bahn
bald
band
bande
bange
bank
bart
bat
bauen
baum
bäume
bäumen
bedacht
bedarf
bedauern
bedeckt
bedeckte
bedenken
bedeuten
bedeutend
bedeutet
bedeutung
bediente
bedingung
bedurfte
befahl
befand
befehl
befehle
befehlen
befinden
befreien
befriedigen
befriedigt
befriedigung
begab
begangen
begann
begeben
begegnen
begegnet
begegnete
begegneten
begeistert
begeisterung
beginnen
beginnt
begleiten
begleiter
begleitet
begleitete
begleitung
begonnen
begraben
begreife
begreifen
begreiflich
begriff
begriffe
begriffen
begrüßen
begrüßte
behalten
behandeln
behandelt
behandlung
behaupten
behauptet
behauptete
beherrschen
behielt
bei
beide
beiden
beides
beifall
beim
bein
beinahe
beine
beispiel
bekam
bekannt
bekannte
bekannten
bekanntschaft
bekennen
beklagen
bekommen
bekümmert
beleidigt
bemerken
bemerkt
bemerkte
bemerkung
bemerkungen
bemüht
benehmen
beobachten
beobachtet
beobachtete
bequem
bereit
bereiten
bereitet
bereitete
bereits
berg
berge
bergen
bericht
beruf
berufen
beruhigen
beruhigt
beruhigte
beruhigung
berühmten
berühren
berührt
berührte
berührung
besann
besaß
beschäftigen
beschäftigt
beschäftigte
beschäftigung
beschämt
bescheid
bescheiden
beschloß
beschlossen
beschreiben
besinnen
besinnung
besitz
besitze
besitzen
besitzt
besondere
besonderes
besonders
besorgen
besorgt
besser
bessere
besseres
bessern
bestand
beständig
beste
bestehen
besteht
bestellt
besten
bester
bestimmen
bestimmt
bestimmte
bestimmten
bestimmung
besuch
besuche
besuchen
besucht
besuchte
betäubt
beten
betete
betrachten
betrachtet
betrachtete
betrachtung
betrachtungen
betragen
betrat
betreten
betrifft
betroffen
betrogen
bett
bette
beugte
bevor
bewahren
bewegen
bewegt
bewegte
bewegten
bewegung
bewegungen
beweis
beweisen
bewies
bewohner
bewundern
bewundert
bewunderung
bewußt
bewußtsein
bezahlen
bezeichnet
beziehung
bieten
bild
bilde
bilden
bilder
bildern
bildete
bildeten
bildung
billig
bin
bis
bisher
bist
bitte
bitten
bitter
bitterkeit
blaß
blatt
blätter
blättern
blau
blaue
blauen
bleibe
bleiben
bleibst
bleibt
bleich
blick
blicke
blicken
blickte
blieb
bliebe
blieben
blind
blitz
bloß
bloße
blühen
blühenden
blume
blumen
blut
boden
bogen
böse
bösen
böser
böses
bot
boten
brach
brachte
brachten
brannte
brauche
brauchen
braucht
brauchte
braunen
braut
bräutigam
brechen
breit
breite
breiten
breitete
brennenden
bricht
brief
briefe
briefen
bringe
bringen
bringt
brot
brücke
bruder
brüder
bruders
brust
buch
buche
bücher
büchern
buchstaben
bunte
bunten
bürger
busen
charakter
da
dabei
dach
dachte
dachten
dadurch
dafür
dagegen
daher
dahin
dahinter
damals
dame
damen
damit
dämmerung
daneben
dank
dankbar
dankbarkeit
danke
danken
dankte
dann
dar
daran
darauf
daraus
darf
darfst
darin
darnach
darüber
darum
darunter
das
dasein
daß
dasselbe
dauer
dauern
dauerte
davon
davor
dazu
dazwischen
de
decke
decken
dein
deine
deinem
deinen
deiner
deines
dem
demselben
den
denen
denk
denke
denken
denkst
denkt
denn
dennoch
denselben
der
deren
derer
dergleichen
derselbe
derselben
des
deshalb
desselben
dessen
desto
deutete
deutlich
deutlicher
deutsch
deutsche
deutschen
deutschland
dich
dicht
dichten
dichter
dicke
dicken
die
diejenigen
dienen
diener
dienst
dienste
diente
dies
diese
dieselbe
dieselben
diesem
diesen
dieser
dieses
diesmal
ding
dinge
dingen
dir
doch
doktor
donner
doppelt
dorf
dorfe
dort
dorthin
drang
drängen
drängte
drängten
draußen
drehte
drei
dreimal
dreißig
dringen
dringend
dritte
dritten
drohte
drüben
druck
drücken
drückt
drückte
du
duft
dulden
dumm
dunkel
dunkelheit
dunkeln
dunkle
dunklen
dunkler
dünkt
durch
durchaus
durcheinander
durchs
dürfe
dürfen
durfte
dürfte
durften
eben
ebenfalls
ebenso
ecke
edel
edle
edlen
edler
ehe
eher
ehre
ehren
ehrfurcht
ehrlich
ei
eifer
eifersucht
eifersüchtig
eifrig
eigen
eigene
eigenen
eigenes
eigenschaften
eigentlich
eigentliche
eigentlichen
eignen
eile
eilen
eilig
eilte
eilten
ein
einander
eindruck
eine
einem
einen
einer
eines
einfach
einfache
einfachen
einfall
einfluß
eingang
eingefallen
eingeladen
eingenommen
eingerichtet
einig
einige
einigen
einiger
einiges
einladung
einmal
einrichtung
eins
einsam
einsame
einsamen
einsamkeit
einsicht
einst
eintrat
eintreten
eintritt
einzelne
einzelnen
einzig
einzige
einzigen
einziger
einziges
eitel
eitelkeit
elend
elende
elenden
eltern
empfand
empfang
empfangen
empfinden
empfindlich
empfindung
empfindungen
empfing
empfunden
empor
ende
enden
endlich
eng
enge
engel
engen
entbehren
entdecken
entdeckt
entdeckte
entdeckung
entfernen
entfernt
entfernte
entfernten
entfernung
entgegen
entgehen
enthalten
enthielt
entscheiden
entscheidung
entschieden
entschließen
entschloß
entschlossen
entschluß
entschuldigen
entschuldigung
entsetzen
entsetzlich
entstand
entstehen
entweder
entziehen
entzücken
entzückt
er
erblicken
erblickte
erde
erden
erfahren
erfahrung
erfahrungen
erfolg
erfreut
erfuhr
erfüllen
erfüllt
erfüllte
erfüllung
ergeben
ergreifen
ergriff
ergriffen
erhaben
erhält
erhalten
erheben
erhebt
erhielt
erhob
erhoben
erholen
erinnere
erinnern
erinnert
erinnerte
erinnerung
erinnerungen
erkannt
erkannte
erkennen
erklären
erklärt
erklärte
erklärung
erkundigte
erlauben
erlaubt
erlaubte
erleben
erlebt
ernst
ernste
ernsten
ernster
ernsthaft
ernstlich
erregen
erregt
erregte
erreichen
erreicht
erreichte
ers
erscheinen
erscheint
erscheinung
erscheinungen
erschien
erschienen
erschöpft
erschrak
erschrecken
erschreckt
erschrocken
erschüttert
ersetzen
ersparen
erst
erstaunen
erstaunt
erste
ersten
erstenmal
erster
erstes
ertragen
erwachen
erwacht
erwachte
erwarte
erwarten
erwartet
erwartete
erwartung
erwecken
erwerben
erwiderte
erworben
erzählen
erzählt
erzählte
erzählung
erziehung
erzogen
es
essen
etwa
etwas
euch
euer
eure
euren
eurer
ewig
ewige
ewigen
ewigkeit
existenz
faden
fähig
fahren
fahrt
fährt
fall
falle
fallen
fällen
fällt
falsch
falsche
falschen
falten
familie
familien
fand
fände
fanden
fangen
fängt
farbe
farben
fassen
faßte
fassung
fast
faust
feder
fehlen
fehler
fehlt
fehlte
feierlich
fein
feind
feinde
feine
feinen
feiner
feld
felde
felder
felsen
fenster
fenstern
fern
ferne
fernen
ferner
fertig
fesseln
fest
feste
festen
fester
feuer
feurigen
fieber
fiel
fielen
figur
finde
finden
findet
fing
fingen
finger
fingern
finster
flamme
flammen
fleck
fleisch
fleiß
fleißig
fliegen
fliehen
flog
flogen
floß
fluch
flucht
flüchtig
flüchtigen
flügel
flüsterte
folge
folgen
folgende
folgenden
folgt
folgte
folgten
fordern
forderte
form
formen
fort
frage
fragen
fragt
fragte
französischen
frau
frauen
frauenzimmer
fräulein
frei
freie
freien
freier
freiheit
freilich
fremd
fremde
fremden
fremder
fremdes
freude
freuden
freudig
freue
freuen
freund
freunde
freunden
freundes
freundin
freundlich
freundliche
freundlichen
freundlicher
freundliches
freundlichkeit
freundschaft
freut
freute
friede
frieden
frisch
frische
frischen
froh
frohen
fröhlich
fröhliche
fromm
fromme
frommen
frucht
früchte
früh
frühe
frühen
früher
früheren
frühling
frühstück
fügen
fügte
fühle
fühlen
fühlt
fühlte
fühlten
fuhr
führe
fuhren
führen
führer
führt
führte
führten
fülle
füllte
fünf
funken
für
furcht
furchtbar
fürchte
fürchten
fürchterlich
fürchtete
fürs
fürsten
fuß
fuße
füße
füßen
gab
gabe
gäbe
gaben
galt
gang
gange
ganz
ganze
ganzen
ganzer
ganzes
gänzlich
gar
garten
gärten
gartens
gast
gäste
gatten
gattin
ge
geantwortet
gearbeitet
gebäude
gebaut
gebe
geben
gebet
gebeten
gebildet
geblieben
geboren
gebot
gebracht
gebrauch
gebraucht
gebrochen
gebunden
geburt
gedacht
gedachte
gedanke
gedanken
gedenken
gedrückt
geduld
geduldig
gefahr
gefahren
gefährlich
gefährlichen
gefallen
gefällig
gefällt
gefangen
gefaßt
gefehlt
gefesselt
gefiel
gefolgt
gefragt
gefühl
gefühle
gefühlen
gefühlt
geführt
gefunden
gegangen
gegeben
gegen
gegend
gegenseitig
gegenstand
gegenstände
gegenüber
gegenwart
gegenwärtig
gegenwärtigen
geglaubt
geh
gehabt
gehalten
gehandelt
gehe
geheime
geheimen
geheimnisse
gehen
gehoben
geholfen
gehöre
gehören
gehört
gehörte
gehörten
gehst
geht
geist
geiste
geister
geistes
geistigen
geistlichen
gekannt
gekauft
gekleidet
gekommen
gekostet
gekränkt
gelächter
gelang
gelangen
gelassen
gelben
geld
gelebt
gelegen
gelegenheit
gelegt
gelehnt
gelehrt
gelehrten
geleitet
gelernt
gelesen
geliebt
geliebte
geliebten
geliebter
gelingen
gelitten
gelten
gelungen
gemacht
gemahl
gemein
gemeinen
gemeint
gen
genannt
genau
genauer
geneigt
genießen
genommen
genoß
genossen
genug
genuß
geöffnet
gerade
geradezu
geräusch
gerechnet
gerechtigkeit
gerettet
gericht
gerichtet
geringen
geringste
geringsten
gerissen
gern
gerne
gerufen
gerührt
gesagt
gesang
geschaffen
geschäft
geschäfte
geschäften
geschah
geschehen
geschenk
geschenkt
