authors,Freq
"Alciati, Andrea (1492-1550)",2
"Anderson, Sherwood (1876-1941)",2
Aristotle (384-322 B.C.),2
Arthur Mervyn (1799-1800),2
"Bacon, Francis (1561-1626)",2
"Balzac, Honoré de (1799-1850)",2
"Baratynskiĭ, Evgeniĭ Abramovich (1800-1844)",2
"Barnes, William (1801-1886)",2
Bede (673-735),2
"Broch, Hermann (1886-1951)",2
"Brown, Charles Brockden (1771-1810)",2
"Burton, Robert (1577-1640)",2
"Cabell, James Branch (1879-1958)",2
"Celan, Paul (1920-1970)",2
"Céspedes y Meneses, Gonzalo (1585?-1638)",2
"Chateaubriand, François-René, vicomte de (1768-1848)",2
"Chesterton, Gilbert Keith (1874-1936)",2
"Chomsky, Noam (1928-  )",2
"Collins, William (1721-1759)",2
"Cooper, James Fenimore (1789-1851)",2
"Daniel, Samuel (1562-1619)",2
"Davenant, Sir William (1606-1668)",2
"Dickey, James (1923-1997)",2
"Dickinson, Emily (1830-1886)",2
"Dostoevskiĭ, Fedor Mikhaĭlovich (1821-1881)",2
"Drayton, Michael (1563-1631)",2
"Du Bartas, Guillaume de Salluste, seigneur (1544-1590)",2
"Edwards, Jonathan (1703-1758)",2
"Eichendorff, Joseph Karl Benedict, Freiherr von (1788-1857)",2
"Fernández de Moratín, Leandro (1760-1828)",2
"Fisher, Vardis (1895-1968)",2
"Fontane, Theodor (1819-1898)",2
"Franklin, Benjamin (1706-1790)",2
"Galsworthy, John (1867-1933)",2
"Ginsberg, Allen (1926-1997)",2
"Goldsmith, Oliver (1730?-1774)",2
"Gower, John (1330?-1408)",2
"Grabbe, Christian Dietrich (1801-1836)",2
"Grass, Günter (1927-  )",2
"Graves, Robert (1895-1985)",2
"Greene, Robert (1560?-1592)",2
"Hazlitt, William (1778-1830)",2
"Hebbel, Friedrich (1813-1863)",2
"Heine, Heinrich (1797-1856)",2
"Heyward, DuBose (1885-1940)",2
"Heywood, Thomas (1574?-1641)",2
"Huxley, Aldous Leonard (1894-1963)",2
"Ionesco, Eugène (1912-1994)",2
"Joyce, James (1882-1941)",2
"Kerouac, Jack (1922-1969)",2
"Kipling, Rudyard (1865-1936)",2
"La Mettrie, Julien Offroy de (1709-1751)",2
"Langgässer, Elisabeth (1899-1950)",2
"Lee, Vernon (1856-1935)",2
"León, Luis de (1527-1591)",2
"MacNeice, Louis (1907-1963)",2
"Mandeville, Bernard (1670-1733)",2
"Mandeville, Sir John (1300-1372)",2
"Marivaux, Pierre Carlet de Chamblain de (1688-1763)",2
"Mayne, William (1928-2010)",2
"McMurtry, Larry (1936-  )",2
"Meyer, Conrad Ferdinand (1825-1898)",2
Middlemarch (1871-1872),2
"Middleton, Thomas (1570?-1627)",2
"Miller, Arthur (1915-2005)",2
"Milne, A. A. (1882-1956)",2
"Newton, Sir Isaac (1642-1727)",2
"Nodier, Charles (1780-1844)",2
"Norris, Frank (1870-1902)",2
"Nossack, Hans Erich (1901-1978)",2
"Oldmixon, John (1673-1742)",2
"Otway, Thomas (1652-1685)",2
"Parini, Giuseppe (1729-1799)",2
"Pascal, Blaise (1623-1662)",2
"Pico della Mirandola, Giovanni (1463-1494)",2
"Poliziano, Angelo Ambrogini (1454-1494)",2
"Porter, Katherine Anne (1890-1980)",2
"Pound, Ezra (1885-1972)",2
"Ransom, John Crowe (1888-1974)",2
"Richardson, Samuel (1689-1761)",2
"Rilke, Rainer Maria (1875-1926)",2
"Rochester, John Wilmot, 2nd Earl of (1647-1680)",2
Romeo and Juliet (1594-1595),2
"Rosa, Salvatore (1615-1673)",2
"Ruiz, Juan, Arcipreste de Hita (1283?-1350?)",2
"Schaefer, Jack Warner (1907-1991)",2
"Scott, Sir Walter (1771-1832)",2
"Sender, Ramón (1902-1982)",2
"Shirley, James (1596-1666)",2
"Simms, William Gilmore (1806-1870)",2
"Sinclair, Upton (1878-1968)",2
"Sitwell, Dame Edith (1887-1964)",2
"Smart, Christopher (1722-1771)",2
Stendhal (1783-1842),2
"Stifter, Adalbert (1805-1868)",2
"Styron, William (1925-2006)",2
"Summers, Montague (1880-1948)",2
"Symonds, John Addington (1840-1893)",2
"Thurber, James (1894-1961)",2
"Tieck, Ludwig (1773-1853)",2
"Tiutchev, Fedor Ivanovich (1803-1873)",2
"Trollope, Anthony (1815-1882)",2
"Turgenev, Ivan Sergeevich (1818-1883)",2
"Verlaine, Paul (1844-1896)",2
"Vigny, Alfred de (1797-1863)",2
"Waller, Edmund (1606-1687)",2
"Walser, Robert (1878-1956)",2
"Ward, Elizabeth Stuart Phelps (1844-1911)",2
"Warton, Thomas (1728-1790)",2
"Weil, Simone (1909-1943)",2
"Welty, Eudora (1909-2001)",2
"Werfel, Franz (1890-1945)",2
"Williams, Tennessee (1914-1983)",2
"Wilson, Sir Angus (1913-1991)",2
"Winkler, Eugen Gottlob (1912-1936)",2
"Winters, Yvor (1900-1968)",2
"Wolfe, Thomas (1900-1938)",2
"Yeats, William Butler (1865-1939)",2
"Zola, Emile (1840-1902)",2
"About, Edmond (1828-1885)",1
"Abraham a Sancta Clara, pater (1644-1709)",1
"Adams, Henry Brooks (1838-1918)",1
"Adams, John Quincy (1767-1848)",1
"Alberti, Rafael (1902-1999)",1
