filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"1879_Smiles,Samuel_LivesoftheEngineers.txt",EN_HIST,124615,24.56,23.84,77.87,1.23,54.36,8.55,4.64,0.36,0.16,0.11,3.1,0.91,3.91,11.14,8.9,6.17,5.62,1.66,0.68,2.67,17.79,5.97,0.73,2.53,1.11,0.02,7.41,0.25,0.18,0.88,3.93,2.66,1.25,0.28,0.38,0.28,12.6,1.51,1.34,0.85,1.61,1.13,0.74,4.74,1.26,1.34,0.51,0.31,0.45,1.23,0.58,0.27,0.05,0.35,14.65,1.88,7.99,4.53,2.25,2.72,0.56,0.31,0.64,0.14,0.2,0.01,0.08,0.06,4.01,7.83,0.12,1.07,0.04,0.08,1.7,1.16,0.61,0.18,0.28,16.49
"1880_Dawson,Aeneas_PiusIXandhisTime.txt",EN_HIST,154874,20.78,25.47,79.52,0.33,55.13,9.5,4.51,0.35,0.39,0.27,2.13,1.37,4.99,10.79,9.1,6.88,4.65,2.4,0.94,2.79,16.68,5.73,1.38,2.55,1.15,0,8.13,0.31,0.08,0.62,5.47,3.45,1.99,0.33,0.79,0.45,13.2,1.49,1.18,1.24,1.56,1.6,0.84,4.15,1.62,1.03,0.33,0.43,0.19,0.83,0.34,0.4,0.07,0.04,10.82,1.33,5.5,3.66,1.98,2.03,0.42,0.18,0.39,3,0.28,0.02,0.14,0.05,4.73,8.74,0.14,0.33,0.12,0.1,0.75,0.85,0.24,0.15,0.52,16.54
"1881_Rawlinson,George_AncientEgypt.txt",EN_HIST,94887,26.93,23.31,77.03,0.28,55.01,8.85,4.82,0.25,0.23,0.17,2.83,1.35,4.03,11.01,8.3,5.87,4.58,2.45,0.57,2.35,16.69,6.59,0.98,2.72,1.82,0.02,7.16,0.34,0.08,0.47,4.57,2.63,1.93,0.28,0.79,0.41,13.76,1.24,1.26,0.68,2.43,1.17,0.65,5.37,2,1.13,0.48,0.26,0.32,1.24,0.7,0.36,0.05,0.16,13.31,1.57,7.71,3.82,1.08,2.3,0.44,0.18,0.29,0.74,0.34,0.01,0.06,0.07,3.86,8.99,0.14,0.96,0.05,0.04,2.48,1.22,0.27,0.28,0.23,17.9
"1883_Proctor,Richard_TheGreatPyramind.txt",EN_HIST,75827,32.45,21.68,78.27,0.94,56.01,8.45,3.09,0.42,0.74,0.09,0.81,1.03,5.36,11.71,9.73,7.5,3.23,3.57,1.56,3.51,15.94,6.15,1.02,2.9,1.56,0,4.54,0.12,0.01,0.36,3.6,2.68,0.9,0.11,0.16,0.2,15.95,2.3,1.72,1.87,3.11,2.04,0.41,3.78,2.33,0.99,0.53,0.25,0.2,0.57,0.35,0.14,0.04,0.07,13.36,1,6.91,5.1,1.09,1.64,0.34,0.07,0.31,1.2,0.13,0.03,0.11,0.04,3.38,7.37,0.11,0.5,0.07,0.03,2.33,0.09,1.05,0.48,1.17,16.62
"1884_Conway,William_ThewoodcuttersoftheNetherlands.txt",EN_HIST,129813,7.3,17.84,64.48,7.13,45.08,5.68,2.83,0.23,0.28,0.02,1.48,0.82,2.85,11.75,6.4,4.6,1.87,3.67,0.37,2.1,13.86,3.89,0.77,2.58,1.59,0.04,4.32,0.14,0.03,0.55,2.79,1.48,1.3,0.1,0.74,0.2,10.2,1.15,0.9,0.36,1.57,0.83,0.58,3.88,1.18,1.47,0.63,0.12,0.71,1.63,1.04,0.26,0.24,0.11,11.02,1.25,6.64,2.84,1.58,1.27,0.77,0.43,0.18,1.68,0.28,0.12,0.21,0.05,15.86,5.62,0.05,0.84,0.03,0.01,1.3,0.07,0.56,2.78,0.09,29.62
"1887_Bancroft,Hubert_ApopularhistoryofMexico.txt",EN_HIST,174613,24.95,24.28,73.81,1.25,51.97,6.76,3.68,0.14,0.08,0.08,2.08,1.31,3.07,11.37,7.56,5.58,4.87,1.31,0.49,2.29,17.35,6.37,0.67,2.34,1.09,0.01,6.67,0.15,0.11,0.77,4.12,2.18,1.92,0.26,0.86,0.45,12.44,1.07,1.33,0.68,1.53,0.92,0.77,5.35,1.33,1.05,0.36,0.26,0.34,1.23,0.59,0.34,0.05,0.27,13.42,1.72,7.16,4.34,1.77,2.17,0.52,0.3,0.6,0.59,0.32,0.01,0.06,0.03,4.03,9.3,0.05,0.6,0.04,0.05,2.57,0.31,0.38,0.02,0.37,17.27
"1887_Johonnot,James_TenGreatEventsinHistory.txt",EN_HIST,70266,18.9,21.4,77.98,0.96,52.8,8.46,5.27,0.32,0.21,0.25,2.64,1.85,3.19,10.86,8.26,5.15,5.25,1.7,0.63,2.41,16.23,6.57,0.87,2.33,1.57,0.02,8.55,0.3,0.13,0.83,5.54,2.99,2.53,0.42,1.05,0.6,13.14,1.31,1.04,0.79,1.25,1.16,0.73,5.92,1.41,1.75,0.71,0.49,0.46,1.5,0.79,0.45,0.11,0.2,14.2,2.19,7.23,4.58,1.12,2.15,0.41,0.25,0.43,1.35,0.36,0.03,0.06,0.08,4.86,8.1,0.1,0.72,0.12,0.36,1.66,1.03,0.61,0.03,0.15,17.15
"1887_Morris,Edward_TheAgeofAnne.txt",EN_HIST,73619,17.62,20.31,75.93,1.21,53.97,9.2,4.71,0.23,0.19,0.05,3.28,0.94,4.5,10.93,10.19,7.4,6.65,1.83,0.82,2.76,15.89,5.43,1.08,2.1,1.15,0.01,7.83,0.32,0.1,0.5,5.13,3.01,2.1,0.26,1.11,0.36,11.96,1.22,1.33,1.16,1.47,0.9,0.65,3.82,1.86,0.91,0.28,0.3,0.29,0.84,0.33,0.33,0.05,0.15,12.17,1.57,6.15,4.29,1.51,2.58,0.49,0.21,0.59,0.72,0.43,0.02,0.09,0.03,6.25,6.99,0.16,0.51,0.07,0.03,0.03,0.85,0.65,0.07,0.46,16.13
"1888_Clode,Charles_TheEarlyHistoryoftheGuildofMerchantTaylorsv1.txt",EN_HIST,175632,16.34,20.02,68.35,4.52,48.1,6.51,3.18,0.39,0.35,0.21,1.12,1.11,3.32,9.51,7.63,5.08,3.7,2.01,0.83,1.57,16.73,6.6,0.67,2.41,1.09,0.01,6.01,0.27,0.1,0.97,2.44,1.88,0.53,0.07,0.18,0.13,11.65,0.97,1.15,0.57,1.65,0.85,0.54,4.97,1.54,1.02,0.32,0.53,0.12,0.91,0.35,0.25,0.05,0.27,10.13,1.02,5.4,3.55,2.67,1.52,0.47,0.44,1.75,0.92,0.25,0.02,0.06,0.05,7.31,8.34,0.26,0.36,0.12,0.02,1.23,1.76,1.25,0.94,1.78,23.98
"1890_Cox,George_TheCrusades.txt",EN_HIST,72902,21.33,20.79,75.95,0.9,53.86,9.18,5.2,0.17,0.15,0.11,3.21,1.56,3.98,11.73,8.66,5.93,5.59,1.36,0.89,1.84,17.25,5.49,1,1.89,0.94,0.01,8.51,0.37,0.09,0.52,5.09,2.74,2.32,0.39,1.04,0.55,12.16,1.17,1.08,1.17,1.76,0.93,0.63,4.41,1.85,0.97,0.33,0.25,0.34,1.07,0.47,0.35,0.09,0.18,10.98,1.81,5.67,3.31,1.09,2.18,0.18,0.19,0.59,2.43,0.45,0.02,0.07,0.04,5.2,5.22,0.25,0.81,0.04,0.02,2.72,0.23,0.86,0.18,2.07,17.34
