filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"1908_Forster,E.M._ARoomWithaView_Novel.txt",EN_NOV_3P,66677,10.58,16.91,85.15,0,57.25,16.91,11.78,2.66,0.63,1.64,5.72,1.12,5.14,6.65,16.01,9.53,6.73,6.77,1.57,4.05,11.78,6.28,2.37,2.14,0.86,0.01,15.16,0.49,0.16,1.76,6.56,3.77,2.73,0.43,0.55,1.21,15.99,2.3,1.09,1.95,2.24,1.7,0.61,4.57,2.7,3.25,1.15,1.49,0.55,1.53,0.71,0.31,0.24,0.29,12,1.98,5.7,4.36,0.75,1.03,0.86,0.64,0.35,0.44,0.18,0.36,0.15,0.14,7.94,7.26,0.33,0.59,0.9,0.68,0.78,6.19,1.85,0.02,0,26.2
"1910_Forster,E.M._HowardsEnd_Novel.txt",EN_NOV_3P,109771,11.2,17.23,85.52,0.04,58.23,16.33,10.93,2.49,0.65,1.54,5.14,1.12,5.39,6.99,15.69,9.97,6.75,6.33,1.46,4.1,12.24,6.6,2.48,2.25,0.96,0.02,14.25,0.67,0.15,1.39,5.53,3.19,2.26,0.43,0.52,0.72,16.04,2.18,0.93,2.01,2.32,1.62,0.54,4.87,2.81,2.91,1.02,1.3,0.55,1.67,0.65,0.45,0.24,0.35,12.88,2.18,5.99,4.75,0.9,1,0.69,0.83,0.55,0.34,0.24,0.38,0.16,0.14,7.64,7.65,0.2,0.48,0.92,0.41,3.63,5.92,2.28,0.03,0,28.2
"1911_Barrie,J.M._PeterPan_Novel.txt",EN_NOV_3P,47491,14.37,13.51,85.63,0.06,59.75,16.9,11.76,1.39,0.54,1.19,6.32,2.32,5.14,7.08,15.34,9.16,8.19,4.93,1.15,4.63,12.84,7.11,1.95,2.02,1.2,0.03,15.33,0.42,0.06,1.24,5.34,2.94,2.38,0.47,0.62,0.84,15.7,1.97,0.87,1.75,1.92,1.62,0.54,5.12,2.91,3.77,1.23,1.7,0.74,2.16,1.29,0.39,0.21,0.3,13.82,2.21,6.29,5.25,0.41,0.89,0.62,0.72,0.15,0.12,0.19,0.27,0.1,0.15,5.84,8.08,0.14,0.82,0.67,0.49,0.77,6.17,1.21,0.23,0,24.31
"1912_Dreiser,Theodore_TheFinancier_Novel.txt",EN_NOV_3P,194223,15.4,18.69,86.6,0.04,59.72,15.6,10.09,1.59,0.22,1.38,6.16,0.74,5.5,6.58,14.42,9.61,6.7,4.8,1.48,4.06,14.34,6.92,2,2.67,1.72,0.01,12.9,0.5,0.13,0.94,5.08,3.29,1.71,0.41,0.41,0.44,16.9,2.14,1.33,2.24,2.89,1.44,0.62,4.85,2.78,2.44,1.1,0.66,0.57,1.3,0.73,0.29,0.13,0.19,13.07,1.83,6.54,4.46,1.86,1.2,0.5,0.56,1.77,0.23,0.08,0.14,0.19,0.11,5.79,7.62,0.03,0.39,0.49,0.25,1.29,2.38,1.99,0.05,0.06,19.87
"1913_Lawrence,D.H._SonsandLovers_Novel.txt",EN_NOV_3P,161009,9.57,14.03,86.67,0.01,57.6,18.57,14.88,1.75,0.18,1.47,10.48,0.99,3.69,6.95,15.51,8.01,8.94,4.6,1,3.93,12.71,6.43,1.92,1.78,0.9,0.04,18.4,0.73,0.11,1.32,5.13,2.88,2.22,0.56,0.65,0.67,14.41,1.95,0.8,1.85,2.11,1.09,0.55,5.06,2.36,5.03,1.88,1.7,1.34,2.97,1.6,0.55,0.39,0.5,14.84,2.71,7.12,5.15,0.61,0.78,0.62,0.79,0.33,0.29,0.16,0.26,0.19,0.22,9.01,7.76,0.17,0.43,0.83,0.67,1.29,6.49,2.65,0,0,28.75
"1916_Joyce,James_APortraitoftheArtistasaYoungMan_Novel.txt",EN_NOV_3P,84999,15.74,16.33,82.97,0.04,54.31,13,9.12,0.94,0.34,1.02,5.75,1.07,3.88,9.45,10.95,6.14,6.51,2.91,0.79,2.7,14.85,6.61,1.06,1.66,0.83,0.19,12.91,0.51,0.26,0.86,5,2.51,2.45,0.46,0.67,0.7,13.39,1.82,0.86,0.99,1.53,1.04,0.43,5.68,1.65,4.88,1.5,1.92,1.18,3.04,1.87,0.61,0.22,0.41,13.82,1.99,7.05,4.82,0.89,0.93,0.7,0.52,0.26,2.05,0.33,0.08,0.06,0.24,5.3,5.03,0.63,0.22,0.65,0.51,0.64,0,0.89,0,0,13.63
"1917_Lewis,Sinclair_TheInnocents_Novel.txt",EN_NOV_3P,41950,16.09,18.34,83.15,0.12,53.59,13.4,9.62,1.46,0.63,1.22,4.5,1.82,3.78,7.92,12.41,7.54,5.99,4.3,1.03,3.78,13.57,6.68,1.49,1.77,1.12,0.04,13.57,1.89,0.19,1.14,5,3.14,1.82,0.5,0.41,0.58,14.48,1.63,0.86,1.48,2.05,1.19,0.59,5.72,1.89,3.1,1.18,0.87,0.81,2.67,1.3,0.42,0.11,0.91,14.06,2.04,6.87,5.18,1.02,0.96,1.14,1.26,1.09,0.26,0.12,0.26,0.18,0.25,5.57,7.4,0.14,0.3,0.35,0.56,3.4,2.69,2.44,0.53,0.08,22.59
"1917_Webb,Mary_GonetoEart_Novel.txt",EN_NOV_3P,82061,11.47,15.23,82.63,0.05,54.73,14.87,10.79,1.74,0.19,1.35,6.6,0.91,4.08,7.68,13.86,7.55,7.45,4.08,1.18,3.59,13.63,7,1.67,1.85,0.65,0.06,13.26,0.39,0.12,1.06,5.48,3.14,2.3,0.46,0.57,0.84,14.19,1.76,0.86,1.65,1.81,1.27,0.54,5.32,2.1,4.83,1.93,1.77,0.97,2.49,1.28,0.46,0.32,0.47,13.88,2.58,6.65,4.89,0.43,0.89,0.73,0.74,0.28,0.71,0.37,0.24,0.17,0.38,6.93,7.53,0.09,0.55,0.82,0.99,1.62,0.09,8.57,0.06,0.09,26.69
"1918_Lewis,Sinclai_TheJob_Nove.txt",EN_NOV_3P,91583,16.65,19.42,83.43,0.17,53.97,13.5,9.66,1.52,0.25,1.02,5.94,0.93,3.84,7.41,11.81,7.11,5.77,4.26,0.78,3.64,13.94,6.98,1.67,2.25,1.18,0.06,13.26,0.46,0.2,1.78,5.64,3.55,2.04,0.44,0.48,0.66,15.26,1.94,0.99,1.43,2.19,1.51,0.62,5.27,2.23,2.79,1.07,0.76,0.79,2.22,0.89,0.52,0.27,0.63,12.82,1.73,6.29,4.82,2.57,1.37,1.27,0.86,0.89,0.45,0.14,0.27,0.15,0.21,5.93,7.42,0.14,0.66,0.32,0.46,3.02,2.5,2.27,0.4,0.02,22.35
"1920_Fitzgerald,FScott_ThisSideofParadise_Novel.txt",EN_NOV_3P,71565,13.84,18.97,84.66,0.08,54.58,14.34,9.9,2.25,0.41,1.7,4.58,0.96,4.44,8.02,12.8,7.57,5.5,5.54,0.83,3.83,13.39,6.12,1.58,2.33,1.46,0.11,11.82,0.2,0.1,1.19,6.79,4.43,2.28,0.49,0.66,0.64,15.07,2.33,0.9,1.37,2.36,1.47,0.45,5.17,2.05,3.26,1.28,0.99,0.75,2.31,1.16,0.49,0.33,0.39,14.66,2.16,6.89,5.58,1.39,1.12,1.22,0.57,0.5,0.5,0.24,0.33,0.18,0.21,6.97,6.44,0.7,0.54,0.65,0.49,1.63,4.94,3.14,0.27,0,25.34
"1920_Wharton,Edith_TheAgeofInnocence_Novel.txt",EN_NOV_3P,101861,17.77,19.22,83.35,0,56.1,14.97,10.46,1.49,0.27,1.01,6.81,0.88,4.51,7.77,12.95,7.63,7.16,3.79,1.09,3.3,14.76,6.43,1.51,1.92,0.93,0.03,14.45,0.78,0.14,1.51,4.5,2.83,1.63,0.41,0.34,0.52,15.26,2.33,1.06,1.53,2.34,1.42,0.56,5.14,2.07,3.3,1.49,0.98,0.72,1.85,1.06,0.39,0.15,0.28,14.19,2.1,6.81,5.27,0.8,0.84,0.82,0.85,0.37,0.24,0.1,0.24,0.11,0.16,5.01,5.92,0.54,0.99,0.64,0.28,1.6,3.75,2.01,0.13,0.01,20.35
"1922_Fitzgerald,FScott_TheBeautifulandtheDamned_Novel.txt",EN_NOV_3P,124218,14.71,20.64,84.41,0.02,55.44,14.32,9.92,1.67,0.33,1.12,5.86,0.94,4.4,8.08,12.32,7.48,6.51,4.03,0.87,3.58,14.37,5.92,1.38,2.34,1.63,0.17,12.24,0.26,0.13,1.02,6.02,3.78,2.18,0.56,0.57,0.62,14.73,2.16,1,1.39,2.24,1.32,0.58,5.16,1.67,3.09,1.29,0.86,0.73,2.49,1.29,0.51,0.37,0.49,14.96,2.19,7.06,5.65,1.06,1.15,1.01,0.72,0.64,0.34,0.19,0.27,0.17,0.17,5.72,6.09,0.39,0.3,0.62,0.52,1.46,4.4,2.28,0.12,0.07,21.47
"1925_Woolf,Virginia_Mrs.Dalloway_Novel.txt",EN_NOV_3P,64046,17.03,17.99,84.24,0,55.72,14.67,9.68,0.31,0.12,0.22,7.81,1.21,4.99,7.27,13.45,7.66,8.54,2.78,0.99,4.08,13.62,6.16,1.56,2.15,1.09,0.07,14.88,0.41,0.13,1.69,5.36,3.21,2.11,0.35,0.61,0.75,15.38,2.07,0.99,1.73,2.19,1.81,0.47,4.76,2.46,4.18,1.69,1.35,1.02,2.37,1.11,0.56,0.33,0.42,14.37,2.3,7.26,4.87,0.83,0.94,0.89,0.83,0.51,0.41,0.29,0.18,0.1,0.32,5.07,9.52,0.05,2.3,0.56,0.54,3.33,1.32,0.84,0.45,0,23.39
"1927_Woolf,Virginia_TotheLighthouse_Novel.txt",EN_NOV_3P,69804,17.62,15.88,85.95,0.06,58.99,16.73,10.88,0.22,0.12,0.23,8.67,1.62,5.85,7.07,13.8,7.85,8.77,2.57,1.24,4.22,13.6,7.22,1.51,2.35,1.15,0.05,15.35,0.37,0.06,1.51,4.31,2.45,1.8,0.36,0.5,0.57,17.1,2.48,1.06,2.32,2.62,1.82,0.52,5.34,2.64,4.77,2.04,1.37,1.14,2.02,1.15,0.37,0.15,0.37,14.13,2.11,7.21,4.8,0.59,0.82,0.8,0.73,0.36,0.23,0.19,0.16,0.07,0.28,5.12,9.31,0.11,1.35,0.56,0.16,2.18,1.06,0.63,0.35,0,20.49
