filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"ENN_1843_AustraliaItSHistoryandItSPresentCondition_Pridden,William.txt",EN_NON,116666,33.01,21.92,80.44,0.78,56.36,8.73,3.5,0.17,0.44,0.08,1.24,1.57,5.23,9.97,10.08,7.39,4.15,3.71,0.94,3.28,17.17,6.45,1.09,3.17,1.25,0.01,6.43,0.2,0.13,0.86,4.79,2.84,1.93,0.29,0.63,0.49,14.12,1.54,1.16,1.01,2.55,1.38,0.54,4.89,1.92,1.65,0.69,0.35,0.5,1.48,0.62,0.41,0.07,0.44,14.01,1.63,7.85,4.36,1.34,1.5,0.61,0.21,0.7,1.15,0.24,0.02,0.11,0.07,3.07,9.59,0.1,0.86,0.08,0.09,1.6,0.66,0.46,0.51,0.95,17.91
"ENN_1844_EssaysonSomeUnsettledQuestionsofPoliticalEconomy_Mill,John-Stuart.txt",EN_NON,49484,33.92,24.27,84.13,0.5,60.19,10.29,3.18,0.03,0.96,0.02,1.05,1.13,7.11,10.21,10.57,8.5,1.67,5.06,1.97,2.7,17.99,6.43,1.46,4.47,0.88,0,5.26,0.01,0.01,0.51,3.29,2.51,0.74,0.15,0.12,0.25,19.14,1.96,3.18,1.88,3.71,2.45,0.62,4.05,3.24,0.53,0.14,0.2,0.13,0.35,0.11,0.16,0.01,0.07,10.01,1.32,6.02,2.45,5.07,3.13,0.31,0.12,3.77,0.11,0.02,0.01,0.04,0.03,2.96,8.11,0.29,0.94,0.04,0,0.66,0.09,0.16,0.17,1.05,14.45
"ENN_1845_JournalofanAfricanCruiser_Bridge,Horatio.txt",EN_NON,65938,21.53,22.29,78.35,0.09,55.1,8.27,4.59,0.49,1.1,0.07,1.66,1.28,3.68,10.96,8.44,6.03,3.33,3.56,0.65,2.85,16.99,6.38,0.81,2.74,2.04,0.02,7.5,0.22,0.19,1.11,4.32,2.8,1.5,0.23,0.56,0.34,13.11,1.13,1,0.71,2.23,1.03,0.59,5.62,1.79,1.61,0.74,0.3,0.42,1.85,0.76,0.48,0.08,0.57,13.2,1.77,7.79,3.51,1.73,1.55,0.86,0.47,1.18,0.46,0.37,0.02,0.15,0.08,4.88,9.64,0.02,0.81,0.03,0.06,4.93,0.37,0.28,0.08,0.13,19.63
"ENN_1845_TheLifeandCorrespondenceofSirIsaacBrock_Tupper,Ferdinand.txt",EN_NON,123468,28.72,25.18,77.82,0.99,54.25,10.51,6.5,1.58,0.63,0.81,2.4,1.08,4.01,9.76,9.01,6.8,3.38,3.27,1.22,2.37,17.04,5.39,0.98,2.59,0.94,0,8.82,0.3,0.13,0.9,5.38,3.3,2.06,0.3,0.95,0.48,13.45,1.55,1.27,1.1,1.71,1.21,0.85,4.45,1.47,0.99,0.4,0.26,0.28,0.85,0.37,0.34,0.04,0.11,12.43,1.67,6.57,4.03,1.92,2.19,0.4,0.22,0.37,0.25,0.44,0.03,0.08,0.02,3.84,8.87,0.33,0.73,0.03,0.06,2.25,0.44,0.52,0.38,0.6,17.58
"ENN_1847_TheProgressofEthnology_Bartlett,JohnRussell.txt",EN_NON,46653,20.19,26.63,73.51,0.64,52.43,7.66,3.18,0.19,0.3,0.04,1.05,1.61,4.48,10.75,7.95,5.91,3.01,3.71,0.55,2.04,17.11,5.73,0.71,2.8,1.34,0.01,6.1,0.11,0.06,0.85,3.09,2.13,0.92,0.17,0.29,0.17,12.93,2.11,1.23,0.5,1.87,0.89,0.48,5.02,1.34,1,0.37,0.33,0.18,0.89,0.4,0.31,0.03,0.16,12.24,1.45,7.25,3.34,2.02,1.84,0.55,0.14,0.55,0.5,0.16,0.01,0.12,0.04,5.36,8.82,0.08,0.61,0,0.01,1.03,0.51,0.34,0.34,0.59,17.68
"ENN_1848_HouseholdEducation_Martineau,Harriet.txt",EN_NON,81369,30.05,17.92,89.05,0,61.45,12.55,6.25,0.84,0.52,0.06,3.18,1.65,6.3,8.29,12.87,9.08,2.53,6.69,1.82,3.57,15.82,8.64,1.58,3.77,0.89,0.02,10.42,0.8,0.09,1.93,6.53,4.44,2.04,0.51,0.4,0.53,19.09,2.4,1.41,1.91,3.65,2.43,0.67,5.74,2.98,2.17,0.93,0.58,0.55,2.16,0.78,0.81,0.19,0.39,11.73,1.43,5.85,4.25,1.85,2.13,0.76,0.6,0.37,0.56,0.12,0.03,0.16,0.07,3.15,6.95,0.49,1.02,0.13,0.11,3.04,0.28,0.3,0.08,0.07,14.86
"ENN_1848_StateoftheUnionAddresses_Polk,James.txt",EN_NON,72217,36.58,25.68,80.37,0.66,57.06,8.98,3.95,0.38,1.28,0.12,0.87,1.3,5.03,11.21,9.09,7.66,2.99,2.92,1.65,1.77,18.87,5.99,0.96,2.87,0.59,0,6.08,0.03,0.07,0.53,4.8,3.09,1.7,0.21,0.84,0.32,14.85,1.46,1.78,1.22,1.9,1.33,1.39,5.09,1.66,0.38,0.13,0.1,0.09,0.48,0.16,0.24,0.02,0.07,11.58,1.11,6.37,3.73,3.28,2.37,0.29,0.21,1.57,0.22,0.38,0.01,0.09,0.02,2.82,5.68,0.02,0.14,0.01,0,0.54,0.39,0.06,0,0.22,9.68
"ENN_1848_TheYoungMaidENN_Muzzey,A.B.txt",EN_NON,57281,18.16,21.88,84.49,0.01,57.52,12.89,7.07,0.5,0.76,0.73,3.93,1.16,5.81,8.26,10.61,8.35,1.43,5.29,2.06,3.08,15.27,6.55,1.54,2.84,0.76,0,12.61,0.68,0.33,1.86,7.49,5.26,2.12,0.36,0.47,0.71,16.09,2,1.64,1.72,2.69,1.94,0.87,4.46,2.45,1.6,0.56,0.46,0.38,2.19,0.59,0.73,0.73,0.15,9.48,1.03,5.17,3.24,1.65,1.91,0.47,0.44,0.43,1.68,0.21,0.01,0.08,0.05,4.86,9.89,0.03,0.52,0.63,0.04,1.05,1.13,0.26,0,0.13,18.17
"ENN_1849_ACompilationoftheMessagesandPapersofthePresidents_Polk,James.txt",EN_NON,159195,33.95,25.53,78.79,0.9,56.16,8.35,3.61,0.66,1.03,0.13,0.76,1.03,4.74,11.77,8.29,6.91,2.58,2.68,1.57,1.64,19.33,5.75,0.91,2.63,0.6,0,5.63,0.03,0.06,0.46,4.15,2.66,1.47,0.19,0.78,0.24,14.55,1.68,1.59,1.11,2.04,1.29,1.32,4.79,1.7,0.41,0.14,0.13,0.1,0.5,0.15,0.28,0.02,0.05,11.21,1.04,6.17,3.57,3.45,2.34,0.3,0.25,1.23,0.2,0.44,0.01,0.07,0.02,3.16,6.11,0.17,0.18,0.02,0,0.5,0.67,0.09,0.06,0.86,11.72
"ENN_1849_NarrativeoftheLifeandAdventuresofHenryBibb,AnAmericanSlave,WrittenbyHimself_Bibb,Henry.txt",EN_NON,49077,22.67,15.29,86.7,0.39,61.1,15.98,11.47,6.38,0.84,0.18,2.36,1.71,4.51,7.33,12.44,7.54,6.83,2.98,1.23,3.22,17.23,6.93,1.39,2.45,1.15,0.04,9.74,0.74,0.23,1.05,4.13,2.41,1.7,0.35,0.59,0.38,15.6,1.7,1.05,1.89,2.32,1.24,0.81,5.38,2.44,2.06,0.9,0.52,0.54,1.72,0.88,0.38,0.12,0.37,14.81,2.35,7.07,5.07,1.12,1.35,0.78,0.81,1.12,0.59,0.22,0.06,0.1,0.09,4.48,6.53,0.06,0.76,0.11,0.09,1.56,0.44,0.25,0.02,0.14,14
