filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,Pronoun,I,We,Self,You,Other,Negate,Assent,Article,Preps,Number,Affect,Posemo,Posfeel,Optim,Negemo,Anx,Anger,Sad,Cogmech,Cause,Insight,Discrep,Inhib,Tentat,Certain,Senses,See,Hear,Feel,Social,Comm,Othref,Friends,Family,Humans,Time,Past,Present,Future,Space,Up,Down,Incl,Excl,Motion,Occup,School,Job,Achieve,Leisure,Home,Sports,TV,Music,Money,Metaph,Relig,Death,Physcal,Body,Sexual,Eating,Sleep,Groom,Swear,Nonfl,Fillers,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"1843_Lewald,Fanny_Clementine_Novel.txt",DE_NOV_3P,34003,20.71,21.77,69.46,0.12,15.63,4.31,0.53,4.84,3.7,8.73,1.76,0.11,9.25,9.25,0.38,5.53,3.62,1.01,0.73,1.9,0.25,0.25,0.72,7.83,1.62,2.2,1.52,0.34,0.59,1.91,0.26,0.22,0.01,0.01,14.61,1.47,11.79,0.53,1.23,1.15,4.88,4.83,4.33,0.72,7.35,0.75,0.11,6.26,2.08,0.86,3.01,0.65,1.06,1.66,1.65,1.06,0.39,0.09,0.12,0.48,1.16,0.82,0.35,1.58,1.16,0.29,0.03,0.09,0.11,0.01,0,0,3.75,11.15,0.15,0.89,0.51,0.69,0.36,0,0.28,0,0,17.76
"1843_Lewald,Fanny_Jenny_Novel.txt",DE_NOV_3P,94951,22.59,23.54,68.44,0,13.39,2.52,0.44,2.96,2.96,9.08,1.65,0.08,10.05,10.03,0.34,5.63,3.6,0.97,0.79,2.01,0.32,0.28,0.65,7.21,1.46,2.17,1.41,0.33,0.58,1.65,0.23,0.19,0.02,0.01,14.83,1.84,11.33,0.41,1.46,0.66,4.06,5.2,3.44,0.62,7.97,0.85,0.12,6.4,2.13,0.91,3.14,0.66,0.92,1.89,2.09,1.32,0.48,0.14,0.18,0.5,1.63,1.35,0.31,1.83,1.1,0.26,0.02,0.04,0.49,0,0,0,3.43,11.2,0.28,0.53,0.44,0.67,0.28,0,0.53,0,0,17.36
"1844_Achim,Bettinevon_ClemensBrentano'sFrühlingskranz_Novel.txt",DE_NOV_3P,105481,28.4,19.07,58.44,9.3,12.46,4.58,0.56,5.15,3.38,4.39,1.72,0.18,8.46,7.28,0.38,4.04,2.9,0.76,0.53,1.14,0.15,0.14,0.38,6.87,1.42,1.54,1.6,0.19,0.51,1.85,0.15,0.09,0.03,0.02,9.89,1.34,8.54,0.23,0.28,0.55,3.29,2.5,5.65,0.64,6.64,0.8,0.15,5.76,2.11,0.75,2.43,0.52,0.65,1.51,1.42,0.8,0.27,0.09,0.28,0.31,1.2,0.97,0.26,1.2,0.73,0.29,0.05,0.23,0.09,0.03,0,0,2.61,7.42,0.13,0.55,0.26,0.7,0.06,0,0.05,0.3,0,12.34
"1845_Keller,Gottfried_DerGrüneHeinrichErsteFassung_Novel.txt",DE_NOV_3P,302784,41.39,24.4,55.96,10.75,8.23,2.44,0.45,2.9,0.95,4.85,1.03,0.06,9,8.66,0.48,4.02,2.64,0.28,0.61,1.37,0.22,0.2,0.35,6.1,1.25,1.53,0.98,0.22,0.78,1.58,0.23,0.15,0.02,0.01,7.71,1.07,6.31,0.19,0.47,0.52,3.87,4.58,2.1,0.32,7.22,0.99,0.18,7.52,2.25,0.91,3.36,0.79,1.11,2,1.34,0.64,0.38,0.15,0.19,0.57,0.91,0.69,0.26,1.21,0.94,0.09,0.11,0.09,0.09,0.01,0.01,0.01,2.13,8.42,0.17,0.57,0.11,0.41,0.08,0,0.04,0.3,0,12.53
"1845_Lewald,Fanny_EineLebensfrage_Novel.txt",DE_NOV_3P,92221,17.95,22.76,69.08,0.04,14.91,3.49,0.52,4.01,2.84,9.37,1.68,0.11,10.03,9.55,0.3,5.77,3.55,0.8,0.69,2.21,0.33,0.37,0.76,7.21,1.41,2.16,1.56,0.35,0.5,1.52,0.25,0.19,0.02,0.02,15.56,2.24,11.79,0.34,1.22,1.06,4.18,5.19,4.24,0.7,7.81,0.82,0.11,5.87,1.98,0.91,3.1,0.69,1.05,1.8,1.51,0.8,0.41,0.16,0.15,0.63,1.29,0.94,0.37,1.42,1.1,0.25,0.03,0.06,0.06,0.01,0,0,4.08,10.43,0.35,0.45,0.74,0.78,0.21,0,0.31,0,0,17.36
"1845_Schopenhauer,Adele_Anna_Novel.txt",DE_NOV_3P,90006,18.29,25.61,64.69,0.01,11.83,1.63,0.32,1.95,2.27,9.01,1.6,0.21,10.26,9.12,0.49,4.89,2.73,0.53,0.56,2.16,0.37,0.35,0.55,6.42,1.13,1.61,1.09,0.25,0.7,1.9,0.31,0.26,0.02,0.02,13.47,1.46,10.71,0.4,0.97,0.82,4.4,5.66,2.8,0.4,7.58,0.98,0.15,5.74,2.1,1.1,3.11,0.96,0.92,1.57,1.57,0.84,0.45,0.12,0.18,0.6,1.17,0.82,0.39,1.9,1.59,0.22,0.04,0.11,0.08,0.02,0,0,3.94,9.39,0.17,1.14,0.47,1.08,0.8,0,0.46,0,0.78,18.18
"1846_Alexis,Willibald_Die HosendesHerrnvonBredow_Novel.txt",DE_NOV_3P,110632,19.42,19.01,63.54,0.04,11.1,1.99,0.54,2.53,2.16,7.3,2.15,0.22,11.58,7.93,0.38,3.4,2.01,0.24,0.41,1.39,0.23,0.3,0.22,6.62,1.66,1.43,1.92,0.2,0.51,1.1,0.29,0.2,0.05,0.01,11.76,1.43,9.45,0.18,0.62,0.96,3.54,5.14,3.55,0.42,7.28,1.24,0.17,5.88,2.58,0.82,2.5,0.63,0.76,1.48,1.07,0.48,0.38,0.06,0.16,0.57,1.28,1.12,0.19,2.06,1.71,0.18,0.12,0.15,0.11,0.04,0,0,5.34,10.81,0.41,0.52,0.54,0.85,0.6,0,1.3,0,0,20.33
"1846_Gotthelf,Jeremias_WieUliderKnecht_Novel.txt",DE_NOV_3P,133860,26.79,17.01,63.74,0,12.38,1.38,0.17,1.55,1.56,9.25,2.75,0.18,8.71,7.06,0.54,3.25,2.15,0.26,0.55,1.09,0.12,0.23,0.25,8.5,1.58,1.45,2.91,0.17,0.97,1.64,0.25,0.13,0.02,0,13.56,1.8,11.31,0.1,0.65,0.66,4.12,5.46,3.94,0.61,6.19,0.79,0.12,5.86,2.94,1.28,3.3,0.56,1.28,1.79,1.06,0.52,0.42,0.04,0.1,0.71,0.78,0.62,0.17,1.26,0.98,0.08,0.17,0.08,0.06,0.08,0,0,3.85,11.4,0.45,0.75,0.33,0.2,0.04,0,0.04,0.02,0.3,17.41
"1846_Otto,Louise_SchloßundFabrik_Novel.txt",DE_NOV_3P,113635,30.56,23.45,64.44,0.04,12.39,2.14,0.79,2.93,2.25,8.19,1.6,0.17,8.44,8.87,0.51,4.51,2.66,0.4,0.59,1.84,0.26,0.32,0.48,6.75,1.53,1.57,1.46,0.24,0.61,1.54,0.27,0.19,0.04,0.02,13.37,1.81,10.69,0.31,0.62,0.68,4.52,5.91,3.35,0.55,7.71,0.99,0.22,6.27,2.34,0.97,3.28,0.71,1.2,1.91,1.4,0.64,0.4,0.13,0.25,0.78,1.01,0.72,0.32,1.59,1.31,0.16,0.06,0.1,0.06,0.02,0,0,3.25,9.32,0.53,0.13,0.55,0.63,2.47,0,0.48,0,0.01,17.36
"1849_Gotthelf,Jeremias_UliderPächter_Novel.txt",DE_NOV_3P,149884,28.03,18.96,64.29,0,10.98,1.27,0.34,1.6,1.35,8.07,2.76,0.16,8.98,7.69,0.51,4.27,2.64,0.27,0.66,1.63,0.23,0.29,0.37,8.18,1.62,1.61,2.43,0.18,0.98,1.62,0.24,0.12,0.03,0.01,12.23,1.51,10.01,0.12,0.65,0.93,4.2,4.92,4.66,0.71,6.35,0.86,0.13,5.59,3.03,1.21,3.43,0.56,1.23,2.02,1.32,0.67,0.44,0.11,0.12,0.94,1.18,0.92,0.28,1.45,1.16,0.09,0.18,0.12,0.06,0.06,0,0,3.58,12.45,0.27,0.59,0.28,0.2,0.04,0,0.01,0.01,0.31,17.77
"1849_Weerth,Georg_RitterSchnapphahnski_Novel.txt",DE_NOV_3P,47934,23.73,25.63,62.21,0.18,8.57,1.73,0.67,2.39,1.34,5.45,1.26,0.18,12.55,9.37,0.65,4.15,2.56,0.51,0.49,1.58,0.22,0.22,0.44,6.2,1.32,1.35,1.19,0.18,0.69,1.61,0.31,0.18,0.05,0.04,9.23,1,7.43,0.25,0.63,1,4.02,4.26,3.45,0.58,7.94,1.16,0.19,6.3,1.94,0.78,3.15,0.8,0.88,1.82,1.15,0.53,0.38,0.1,0.16,0.92,1.23,0.96,0.35,2.27,1.8,0.31,0.11,0.08,0.14,0.04,0,0,4.13,8.57,0.38,0.55,0.38,0.69,1.42,0,0.08,0.04,0.41,16.55
"1852_Alexis,Willibald_RuheistdieersteBürgerpflicht_Novel.txt",DE_NOV_3P,310987,18.09,23.9,63.16,0.04,11.23,1.94,0.79,2.73,1.63,7.65,2.07,0.24,11.88,8.11,0.39,4.07,2.53,0.35,0.51,1.53,0.23,0.33,0.33,6.8,1.38,1.73,1.81,0.27,0.67,1.2,0.32,0.23,0.04,0.01,12.35,1.56,9.61,0.29,0.76,0.93,3.23,4.67,3.81,0.48,7.06,1.08,0.17,4.89,2.22,0.75,3.01,0.74,1.07,1.62,1.36,0.55,0.49,0.13,0.22,0.62,1.04,0.82,0.26,1.79,1.52,0.19,0.08,0.07,0.07,0.02,0,0,5.51,10.44,0.47,0.34,0.72,1.07,1.39,0,0.4,0,0.01,20.3
