filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,Pronoun,I,We,Self,You,Other,Negate,Assent,Article,Preps,Number,Affect,Posemo,Posfeel,Optim,Negemo,Anx,Anger,Sad,Cogmech,Cause,Insight,Discrep,Inhib,Tentat,Certain,Senses,See,Hear,Feel,Social,Comm,Othref,Friends,Family,Humans,Time,Past,Present,Future,Space,Up,Down,Incl,Excl,Motion,Occup,School,Job,Achieve,Leisure,Home,Sports,TV,Music,Money,Metaph,Relig,Death,Physcal,Body,Sexual,Eating,Sleep,Groom,Swear,Nonfl,Fillers,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"1829_Goethe,Johann_WilhelmMeistersWanderjahre_Novel.txt",DE_NOV_3P,143868,26.96,27.95,55.9,5.98,8.81,2.36,0.78,3.14,1.08,5.13,1.19,0.11,8.38,8.49,0.38,4.07,2.88,0.38,0.6,1.17,0.23,0.11,0.32,6.48,1.13,1.84,1.24,0.26,0.71,1.53,0.2,0.15,0.02,0.01,9.05,1.32,6.97,0.45,0.59,0.56,3.66,3.97,3.02,0.53,8.14,0.97,0.16,5.6,2.09,0.98,3.2,0.73,1.1,1.76,1.49,0.72,0.43,0.16,0.19,0.49,0.78,0.63,0.17,0.95,0.72,0.12,0.03,0.05,0.08,0.01,0,0,3.29,9.02,0.41,0.94,0.2,0.24,0.77,0.02,0.45,0.52,0,16.35
"1832_Mörike,Eduard_MalerNolten_Novel.txt",DE_NOV_3P,132195,23.89,25.73,62.5,0.01,10.29,2.49,0.42,2.92,1.57,6.4,1.38,0.19,10.33,9.43,0.54,5.06,3.09,0.42,0.59,1.96,0.36,0.23,0.57,6.76,1.36,1.75,1.27,0.25,0.81,1.63,0.29,0.21,0.04,0.02,10.36,1.38,8.2,0.44,0.51,0.57,4.49,4.29,3.25,0.47,8.1,1.23,0.2,5.53,2.11,0.81,3.03,0.73,0.78,1.84,1.62,0.72,0.45,0.21,0.25,0.45,1.18,0.87,0.35,1.66,1.36,0.16,0.05,0.11,0.1,0.02,0,0,3.27,10.16,0.22,0.58,0.51,0.91,0.58,0,0.24,0.04,0.32,16.85
"1833_Laube,Heinrich_DiePoeten_Novel.txt",DE_NOV_3P,64708,21.5,23.26,63.7,0.93,12.17,4.76,0.53,5.28,2.09,5.67,1.58,0.16,10.28,8.17,0.43,4.92,3.17,0.72,0.58,1.73,0.23,0.24,0.41,7.27,1.52,1.86,1.53,0.26,0.61,1.77,0.34,0.27,0.02,0.03,9.81,1.55,7.88,0.3,0.47,0.71,3.48,3.48,5.6,0.59,6.98,0.95,0.14,5.77,1.92,0.87,2.69,0.67,0.81,1.45,1.38,0.65,0.42,0.13,0.22,0.57,1.27,0.93,0.36,2.17,1.72,0.39,0.04,0.06,0.11,0.04,0,0,4.26,9.58,0.26,0.74,0.21,0.19,0.07,0.3,0.57,0.02,1.24,17.45
"1835_Arnim,Bettinevon_Goethe'sBriefwechselMitEinemKinde_Novel.txt",DE_NOV_3P,147489,34.39,17.89,58.97,10.4,12.53,5.31,0.35,5.66,2.83,4.44,1.52,0.17,8.44,7.82,0.36,3.81,2.71,0.59,0.51,1.09,0.15,0.14,0.39,6.68,1.76,1.63,1.25,0.18,0.34,1.73,0.2,0.13,0.02,0.01,9.47,1.53,7.95,0.28,0.41,0.36,3.46,3.28,4.53,0.56,7.49,0.93,0.19,5.93,1.92,0.84,2.31,0.53,0.65,1.42,1.3,0.63,0.29,0.09,0.3,0.33,1.22,1.03,0.22,1.45,1.11,0.21,0.07,0.25,0.07,0.01,0,0,2.47,8.7,0.34,1.49,0.29,0.29,0.06,0,1.22,0.32,0.01,15.48
"1835_Gutzkow,Karl_Wally_Novel.txt",DE_NOV_3P,36872,15.32,24.18,62.5,1.1,10.19,1.64,0.43,2.07,1.64,7.36,1.71,0.08,11.69,9.16,0.44,4.53,2.62,0.42,0.65,1.91,0.36,0.31,0.43,6.65,1.37,1.63,1.35,0.21,0.59,1.85,0.28,0.19,0.02,0.03,10.74,1.32,9.01,0.15,0.52,0.66,3.76,4.59,3.65,0.52,7.77,1.11,0.14,5.19,2.04,0.9,2.99,0.79,0.84,1.75,1.34,0.55,0.44,0.12,0.27,0.48,2.09,1.78,0.36,1.55,1.22,0.21,0.05,0.13,0.11,0.01,0,0,5.1,9.7,0.49,0.64,0.58,0.84,0.06,0.74,0.49,0.03,1.91,20.6
"1836_Immermann,Karl_DieEpigonen_Novel.txt",DE_NOV_3P,196315,21.92,26.86,63.18,0.01,10.14,2.28,0.48,2.76,1.39,6.6,1.29,0.1,11.28,9.46,0.41,4.36,2.5,0.28,0.61,1.86,0.32,0.24,0.49,6.48,1.29,1.77,1.22,0.35,0.73,1.36,0.22,0.15,0.04,0.01,10.73,1.72,8.27,0.3,0.54,0.69,3.75,5.74,3.17,0.52,8.32,1.03,0.23,5.87,1.89,0.98,3.72,0.91,1.29,2.07,1.42,0.68,0.39,0.15,0.22,0.56,1.13,0.82,0.36,1.51,1.27,0.12,0.07,0.08,0.07,0.02,0,0,4.54,11.03,0.28,0.35,0.42,0.41,0.19,0,0.09,0.01,0.32,17.62
"1836_Tieck,Ludwig_DerjungeTischlermeister_Novel.txt",DE_NOV_3P,125732,31.74,25.49,63.57,0,10.33,2.76,0.8,3.57,1.49,5.73,1.41,0.19,9.09,8.42,0.39,5.25,3.45,0.55,0.58,1.79,0.24,0.26,0.45,7.6,1.47,1.69,1.34,0.29,1.1,1.95,0.19,0.13,0.01,0.02,10.92,1.83,8.26,0.51,0.59,0.82,4.3,4.63,3.95,0.49,7.02,0.82,0.17,7.47,2.35,0.83,3.41,0.92,1.13,1.84,1.47,0.57,0.41,0.25,0.25,0.59,1.08,0.84,0.28,1.18,0.87,0.19,0.08,0.06,0.06,0.04,0,0,3.29,11.63,0.29,0.74,0.48,0.36,0.38,0,0.02,0.02,0.26,17.46
"1837_Schopenhauer,Johanna_RichardWood_Novel.txt",DE_NOV_3P,112434,25.68,26.77,63.91,0,11.24,2.1,0.36,2.46,2.07,7.59,1.69,0.08,8.63,10.91,0.41,4.91,2.95,0.41,0.71,1.94,0.37,0.31,0.5,7.13,1.23,1.67,1.16,0.3,0.77,2.21,0.33,0.27,0.04,0.01,12.08,1.43,9.85,0.51,0.75,0.52,4.92,4.89,3.11,0.46,9.22,1.13,0.24,5.89,2.28,1.08,3.42,0.76,1.1,1.99,1.64,0.9,0.36,0.16,0.24,0.57,1.04,0.74,0.35,1.44,1.23,0.14,0.02,0.11,0.06,0.01,0,0,2.81,11.12,0.3,1.26,0.49,0.61,0.23,0,0.08,0,0.77,17.64
"1839_Immermann,Karl_Münchhausen_Novel.txt",DE_NOV_3P,249397,25.01,25.54,63.45,0.02,9.96,2.57,0.36,2.93,1.43,6.26,1.42,0.11,11.52,9.17,0.6,3.8,2.27,0.29,0.53,1.51,0.25,0.23,0.37,6.48,1.39,1.63,1.41,0.34,0.67,1.25,0.26,0.18,0.03,0.01,10.17,1.73,7.74,0.26,0.5,0.69,3.91,5.55,3.26,0.48,8.21,1.2,0.28,6.37,2.03,1.08,3.38,0.87,1.05,1.89,1.38,0.71,0.35,0.14,0.19,0.63,1,0.79,0.26,1.63,1.29,0.12,0.13,0.13,0.1,0.03,0,0.01,4.05,10.25,0.43,0.36,0.41,0.57,0.78,0,0.21,0.03,0.33,17.37
"1841_Hahn-Hahn,Ida_Gräfin Faustine_Novel.txt",DE_NOV_3P,49868,21.18,23.76,63.42,0.01,13.26,3.44,0.4,3.84,2.34,8.18,2.22,0.2,8.36,8.26,0.47,5.27,3.41,0.76,0.61,1.85,0.26,0.23,0.58,7.27,1.41,1.9,1.51,0.28,0.64,1.78,0.27,0.22,0.01,0.01,13.47,2.43,10.15,0.32,0.79,0.86,3.58,4.89,4.43,0.61,6.71,1.03,0.15,5.27,2.36,0.88,2.62,0.58,0.78,1.56,1.17,0.61,0.33,0.09,0.15,0.44,1.21,0.87,0.38,1.76,1.35,0.32,0.06,0.08,0.09,0.02,0,0,4.99,10.07,0.61,0.78,0.88,1.62,1.38,0,0.33,0,0.01,20.64
