filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"1892_FrenchArt_Brownell,William.txt",EN_NON,48875,48875,25.86,78.54,0,56.97,10.68,4.78,0.24,0.46,0.08,3.05,0.95,5.9,8.74,8.84,7.1,1.58,5.72,0.77,3.73,16.53,7.22,1.36,3.33,1.04,0.01,6.79,0.02,0.03,0.42,5.89,4.65,1.07,0.16,0.34,0.3,17.25,2.68,1.28,1.06,2.8,2.64,0.42,4.8,2.66,1.6,0.73,0.33,0.44,0.56,0.23,0.21,0.08,0.05,9.16,0.64,5.62,2.77,1.64,2.29,1.32,0.11,0.28,0.34,0.11,0.05,0.18,0.1,3.78,7.07,0.03,0.45,0.07,0.02,1.12,0,0.72,0.04,0.42,13.78
"1893_ExplorersandTravellers_Greely,Adolphus.txt",EN_NON,65626,65626,24.88,74.44,0,50.51,7.33,3.92,0.02,0.05,0,2.63,1.22,3.41,10.39,6.36,4.2,4.46,0.87,0.36,2.45,17.18,6.16,0.54,1.88,2.18,0.01,6.6,0.13,0.08,0.53,4.63,2.88,1.72,0.28,0.59,0.46,12.31,1.71,1.11,0.58,1.5,0.99,0.6,5.25,0.96,1.45,0.66,0.24,0.39,1.58,0.6,0.59,0.05,0.37,15.24,2.62,7.95,4.49,1.6,1.96,0.83,0.1,0.55,0.22,0.29,0.01,0.07,0.01,3.4,8.91,0.18,0.32,0,0,1.02,0.01,0.48,0.1,0.04,14.56
"1893_InductiveandDeductive_Minto,William.txt",EN_NON,91124,91124,24.65,79.79,0,57.79,9.64,3.6,0.28,1.32,0.25,0.99,0.76,6.04,10.33,11.06,8.85,1.84,6.66,1.22,2.81,15.9,6.58,1.67,3.77,1.13,0.01,6.25,0.03,0.03,0.58,3.27,1.9,1.28,0.25,0.53,0.14,21.28,4.07,2.64,1.25,3.96,2.71,0.74,4.25,3.52,1.13,0.45,0.4,0.18,0.68,0.21,0.36,0.02,0.11,9.54,1.01,5.42,2.9,1.38,1.58,0.35,0.06,0.27,0.19,0.1,0.04,0.04,0.04,4.46,5.33,0.66,0.23,0.21,0,0.53,0,0.33,0.38,1.15,13.67
"1894_ATextbookoftheHistoryofPainting_VanDyke,John.txt",EN_NON,68688,68688,26.38,71.35,0,48.97,6.61,3.62,0.01,0.09,0,2.75,0.77,2.99,8.65,7.35,5.51,4.93,1.88,0.17,2.78,14.96,7.29,1.04,3.03,0.86,0.02,5.47,0.14,0.06,0.64,4.15,3.28,0.82,0.13,0.2,0.23,14.61,1.67,1.38,0.48,2.09,1.28,0.25,6.1,2.25,2.1,1.16,0.1,0.55,0.94,0.35,0.4,0.11,0.1,11.69,1.19,6.63,3.89,2.28,2.74,1.54,0.15,0.28,1.02,0.19,0,0.08,0.16,6.09,9.29,0.31,0.49,0,0,1.21,0,0.25,0.68,1.03,20.03
"1894_TheHistoryofAustraliaandNewZealandfrom1606to1890_Sutherland,Alexander.txt",EN_NON,86475,86475,20.26,80.03,0,55.54,8.71,4.69,0.01,0.03,0,2.33,2.32,4.02,10.61,9.38,6.23,6.71,1.24,0.45,3.07,17.19,6.59,0.76,2.54,1.8,0,8.06,0.09,0.15,1.02,4.35,2.6,1.73,0.22,0.63,0.43,13,1.38,1.12,0.91,1.51,0.96,0.66,5.29,1.63,1.37,0.75,0.17,0.44,1.04,0.41,0.32,0.02,0.3,16.21,2.49,8.32,5.11,2.04,1.66,0.54,0.28,1.09,0.19,0.31,0.01,0.08,0.04,3.94,7.22,0.03,0.94,0,0,0.52,0,0.24,0.04,0.4,13.37
"1894_TheKingdomofGodisWithinYou_Tolstoy,Leo.txt",EN_NON,103785,103785,22.07,86.55,0,59.91,11.56,4.92,0.31,0.66,0.22,1.41,2.31,6.64,9.21,10.45,7.54,1.9,6.37,1.1,3.23,16.86,7.63,1.8,3.34,1.01,0,9.89,0.21,0.06,1.99,5.06,2.6,2.41,0.29,1.31,0.41,19.01,2.44,1.92,1.32,2.56,2.74,1.03,5.36,2.98,0.9,0.34,0.29,0.22,1.46,0.31,0.86,0.17,0.13,10.56,1.49,5.58,3.09,2.34,2.07,0.42,0.15,0.58,1.98,0.39,0.03,0.06,0.08,2.88,7.26,0.13,0.35,0.15,0.01,0.87,0.03,0.29,0.11,0,12.19
"1895_TheRedRecord_Wells-Barnett,Ida.txt",EN_NON,31506,31506,20.34,79.29,0,52.46,8.43,3.89,0.38,0.17,0.08,2.29,0.98,4.54,10.58,9.66,6.97,5.35,2.76,0.79,2.35,15.31,5.83,1.3,1.99,1.37,0.01,9.26,0.39,0.09,2.3,5.03,1.8,3.22,0.36,1.77,0.55,13.4,1.44,1.16,0.85,1.68,1.61,0.84,4.49,1.76,1.97,1.23,0.33,0.37,1.51,0.85,0.4,0.23,0.08,12.58,1.54,6.41,4.4,1.29,1.33,0.35,0.34,0.48,0.49,1.41,0.01,0.08,0.04,5.24,9.12,0.14,0.7,0.03,0.02,0.36,0,0.48,0.04,0.37,16.55
"1896_ThePsychologyofRevolution_LeBon,Gustave.txt",EN_NON,35286,35286,27.87,79.98,0,55.05,9.38,3.85,0.26,0.77,0.02,1.02,1.78,5.53,11.7,8.9,6.95,3.34,3.63,1.04,2.62,16.02,4.95,1.35,2.9,1,0.01,7.26,0.05,0.05,1.06,5.31,2.94,2.34,0.5,0.96,0.46,15.39,2.62,2.42,1.1,1.89,2.23,0.74,3.61,1.76,0.69,0.28,0.19,0.14,0.78,0.28,0.38,0.08,0.05,10.52,1.37,4.38,4.62,2.33,2.68,0.56,0.05,0.4,1.18,0.38,0.04,0.04,0.07,4.77,6.64,0.15,0.58,0.08,0.02,0.59,0,0.14,0.01,0.1,13.08
"1897_HowtoListentoMusic_Krehbiel,Henry.txt",EN_NON,52114,52114,24.68,77.43,0,54.92,8.7,3.11,0.32,0.5,0.05,1.33,0.92,5.59,11.91,8.81,6.55,2.26,4.8,0.83,2.67,16.43,6.34,0.86,2.74,1.19,0.02,5.74,0.06,0.06,0.44,4.06,2.91,1.04,0.2,0.26,0.27,13.92,2.03,1.83,0.9,1.87,1.3,0.41,4.54,1.89,3.34,0.36,2.54,0.35,0.83,0.38,0.25,0.13,0.09,10.77,1.28,5.79,3.64,1.33,1.96,3.49,0.1,0.2,1.74,0.09,0.01,0.1,0.11,3.87,5.74,0.21,0.37,0.07,0.01,0.92,0.01,0.51,0.83,1.64,15
"1897_ImpressionsofSouthAfrica_Bryce,James.txt",EN_NON,158825,158825,21.9,79.52,0,56.62,7.39,2.61,0.26,0.25,0.02,0.63,1.45,4.78,11.28,9.27,7.07,3.3,4.12,0.96,3.62,16.8,6.86,1.05,3.25,1.57,0.01,4.73,0.08,0.07,0.62,3.96,2.32,1.62,0.25,0.58,0.36,13.86,1.31,1.31,0.81,2.84,1.05,0.7,4.83,2.03,1.59,0.81,0.18,0.57,0.94,0.35,0.39,0.04,0.18,14.72,1.62,9.07,3.76,1.93,1.68,0.44,0.25,0.74,0.36,0.22,0.01,0.12,0.07,3.14,7.07,0.09,0.34,0.03,0,0.84,0,0.14,0.26,0.09,12.27
"1897_TravelsinWestAfrica_Kingsley,Mary.txt",EN_NON,183034,183034,16.1,82.07,0,57.78,11.43,6.5,2.12,0.75,0.56,1.65,1.43,4.93,9.65,10.29,6.67,3.32,5.39,0.8,3.35,16.46,7.36,1.16,2.81,1.14,0.03,7.49,0.18,0.13,1.03,4.24,2.54,1.67,0.3,0.53,0.36,15.11,1.47,1.02,0.97,2.27,1.23,0.66,6.17,2.32,2.61,1.26,0.48,0.81,1.83,0.83,0.45,0.05,0.56,14.76,1.96,8.57,4.07,1.28,1.19,0.76,0.39,0.82,0.44,0.34,0.04,0.11,0.16,3.25,7.13,0.06,0.67,0.02,0.04,1.25,0,0.42,0.07,0,12.99
"1898_BuccaneersandPiratesofOurCoasts_Stockton,Frank.txt",EN_NON,72193,72193,17.72,82.68,0,60.17,12.54,7.53,0.24,0.2,0.01,4.65,2.43,5.02,9.11,11.64,8.02,7.26,2.13,1.07,3.85,16.32,7.74,1.42,2.56,0.96,0.02,11.12,0.14,0.21,1.17,5.1,2.97,2.1,0.29,1.12,0.31,16.11,1.61,1.21,1.85,2.32,1.23,0.54,6,2.38,1.1,0.46,0.19,0.41,0.99,0.47,0.29,0.05,0.2,13.3,2.15,7.08,3.76,1.33,1.43,0.47,0.17,0.86,0.18,0.35,0.02,0.17,0.05,2.75,6.59,0.01,0.3,0.01,0,0.52,0,0.29,0,0.14,10.63
"1899_TalkstoTeachersonPsychologyandtoStudentsonSomeofLifeSIdeals_James,William.txt",EN_NON,60056,60056,21.41,85.04,0,58.87,12.05,6.14,1.11,1.74,0.95,1.26,1.09,5.91,8.91,10.31,7.3,1.55,5.96,1.56,3.62,16.12,7.39,1.24,3.77,1.01,0.01,7.91,0.04,0.08,0.82,4.99,3.39,1.5,0.39,0.33,0.37,19.89,3.2,1.69,1.52,3.75,2.46,0.64,5.56,2.65,1.73,0.61,0.45,0.49,1.55,0.61,0.69,0.12,0.18,12.12,1.41,6.25,4.12,2.48,2.04,0.67,0.13,0.41,0.42,0.13,0.05,0.09,0.08,3.58,7.22,0.19,0.63,0.14,0.07,0.65,0.22,0.39,0.08,0.72,13.99
"1899_TheCathedralChurchofYork_Clutton-Brock,Arthur.txt",EN_NON,47472,47472,20.76,77.69,0,56.51,6.79,2.47,0.03,0.11,0,1.48,0.86,4.32,12.96,9.13,7.31,3.88,4.14,0.48,2.74,17.67,5.97,0.79,2.75,1.39,0.01,3.58,0.13,0.01,0.17,3.19,2.04,1.14,0.17,0.39,0.35,12.03,1.05,0.99,0.57,1.71,0.9,0.45,5.39,1.46,1.5,0.76,0.48,0.25,0.88,0.64,0.16,0.04,0.05,14.34,1.28,9.55,3.35,0.94,1.5,0.9,0.91,0.42,1.12,0.59,0.01,0.04,0.08,5.31,6.63,0.05,0.31,0,0,0.39,0,0.24,0.46,0,13.85
