filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,Pronoun,I,We,Self,You,Other,Negate,Assent,Article,Preps,Number,Affect,Posemo,Posfeel,Optim,Negemo,Anx,Anger,Sad,Cogmech,Cause,Insight,Discrep,Inhib,Tentat,Certain,Senses,See,Hear,Feel,Social,Comm,Othref,Friends,Family,Humans,Time,Past,Present,Future,Space,Up,Down,Incl,Excl,Motion,Occup,School,Job,Achieve,Leisure,Home,Sports,TV,Music,Money,Metaph,Relig,Death,Physcal,Body,Sexual,Eating,Sleep,Groom,Swear,Nonfl,Fillers,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"GNN_1818_Schopenhauer,Arthur_Die Welt als Wille und Vorstellung_Band II_Philosophy.txt",DE_NON,245903,28.97,30.09,56.83,0.75,5.3,0.44,0.79,1.23,0.74,3.77,1.26,0.16,12.55,8.46,0.49,3.7,2.26,0.12,0.65,1.42,0.14,0.2,0.33,8.11,2.28,1.95,1.02,0.24,0.79,2.21,0.13,0.09,0.01,0.01,6.51,0.82,5.85,0.04,0.25,0.44,3.64,1.64,5.09,0.73,7.13,0.85,0.15,5.79,2.77,0.68,3.68,0.73,1.26,2.27,1.29,0.48,0.43,0.14,0.24,0.46,0.94,0.59,0.39,0.96,0.76,0.05,0.04,0.05,0.11,0.01,0,0,3.75,11.7,1,0.89,0.08,0.03,0.65,0,0.16,0.63,0.01,19.45
GNN_1821_Frank_Johann_Male_Autobiography.txt,DE_NON,27929,18.72,30.85,60.14,1.05,8.98,5.96,0.18,6.14,0.51,2.71,0.95,0.02,9.86,10.96,0.79,3.63,1.95,0.2,0.71,1.68,0.15,0.08,0.37,5.89,1.28,1.63,0.74,0.39,0.52,1.45,0.1,0.07,0.01,0,5.51,1.9,3.49,0.24,0.61,0.4,4.7,5.59,1.94,0.44,9.72,1.05,0.19,5.79,2.02,1.06,4.97,2,1.56,2.13,1.39,0.69,0.43,0.16,0.23,0.61,0.53,0.35,0.26,1.63,1.42,0.04,0.04,0.05,0.14,0,0,0,5.5,8.05,0.26,0.2,0.14,0.18,0.59,0,0.09,0.12,0.02,15.16
"GNN_1822_Schleiermacher,Friedrich_Dialektik_Philosophy.txt",DE_NON,17898,23.09,35.89,54.13,1.32,5.59,0.11,1.99,2.11,0.21,3.23,1.74,0.05,10.59,7.8,0.41,2.97,1.94,0.02,0.6,1.03,0.11,0.12,0.5,10.75,1.72,3.71,1.91,0.4,0.84,2.34,0.03,0.01,0.01,0,6.54,0.67,6.5,0.01,0.07,0.11,3.02,1.63,5.52,0.59,6.83,1.04,0.12,6.19,2.92,0.66,3.05,0.37,1.17,2.13,0.88,0.26,0.22,0.03,0.38,0.34,0.5,0.31,0.18,0.18,0.07,0.01,0.03,0.01,0.08,0.02,0,0,6.29,9.02,0.35,0.6,0.15,0,0.16,0,0.01,1.08,0.08,18.8
GNN_1823_Nettelbeck_Joachim_Male_Autobiography.txt,DE_NON,148839,27.77,25.86,63.13,0.12,10.25,4.58,1.27,5.85,0.73,4.04,1.14,0.05,9.11,11.65,0.73,3.55,2.15,0.17,0.66,1.39,0.24,0.28,0.35,6.18,1.22,1.62,1.17,0.27,0.72,1.32,0.26,0.18,0.05,0.02,7.64,1.51,6.18,0.21,0.36,0.49,4.89,5.73,1.99,0.46,10.26,1.39,0.29,7.58,2.39,1.28,3.34,0.61,1.26,2.01,1.75,0.48,0.92,0.23,0.14,0.81,0.62,0.44,0.21,1.16,1.01,0.06,0.07,0.07,0.04,0.01,0,0,3.31,8.24,0.21,0.44,0.18,0.46,0.49,0,0.14,0.1,0.01,13.66
GNN_1828_Jagemann_Karoline_Female_Autobiography.txt,DE_NON,39085,33.93,29.16,65.75,0.1,10.78,5.57,0.57,6.14,0.93,4.37,1.15,0.01,11.87,10.69,0.53,5.21,3.52,0.53,0.76,1.63,0.28,0.16,0.48,6.03,1.16,1.94,1.11,0.24,0.54,1.23,0.26,0.17,0.04,0.02,8.38,1.73,5.61,0.48,1.21,0.81,3.79,6.06,2,0.31,8.76,0.96,0.22,7.46,1.92,1.13,3.36,0.74,1.02,2.09,2.32,1.26,0.34,0.34,0.4,0.5,0.97,0.71,0.29,1.75,1.43,0.19,0.09,0.1,0.08,0.01,0,0,2.94,9.79,0.08,0.69,0.01,0.05,0.2,0,0.02,0.05,0,13.84
"GNN_1829_Humboldt,Wilhelm_Ueber die Verschiedenheiten des menschlichen Sprachbaues_Philosophy.txt",DE_NON,67858,21.17,33.31,59.34,1.21,4.3,0.6,0.19,0.79,1.01,3.22,1.23,0.1,13.37,9.95,0.57,3.27,2.12,0.06,0.73,1.14,0.07,0.06,0.62,8.12,1.77,2.34,1.08,0.2,0.91,2.14,0.08,0.04,0.03,0,5.5,0.74,4.46,0.07,0.16,0.72,2.91,1.75,4.7,0.66,9.16,1.06,0.22,7.46,2.68,0.63,4.4,0.91,1.41,2.69,3.24,0.38,0.41,0.09,2.37,0.54,0.99,0.47,0.53,0.45,0.32,0.03,0.02,0.01,0.11,0,0,0,4.85,10.07,0.05,0.15,0.06,0.01,0.57,0,0.07,0.62,0,16.84
"GNN_1829_Schleiermacher,Friedrich_DieLehrevomStaat_Philosophy.txt",DE_NON,32523,23.81,36.81,53.23,0.42,3.92,0.03,0.78,0.81,0.29,2.94,1.31,0.1,12.5,8.36,0.58,2.98,1.96,0.07,0.77,1.01,0.09,0.22,0.27,8.32,1.55,1.78,1.91,0.55,0.69,2.02,0.03,0.02,0.01,0,5.38,0.77,4.54,0.08,0.27,0.22,3,0.99,4.77,1.04,7.38,1.18,0.2,5.31,2.56,0.64,4.87,0.73,2.06,2.91,0.95,0.31,0.19,0.18,0.23,0.76,0.61,0.52,0.09,0.29,0.14,0.02,0.07,0.01,0.06,0,0,0,5.34,5.98,0.84,0.63,0.09,0,0.73,0,0.02,0.66,0.01,14.9
"GNN_1831_Carus,CarlGustav_NeunBriefeüberLandschaftsmalerei_Critical.txt",DE_NON,25316,48.41,25.95,52.39,11.33,5.52,0.85,0.91,1.76,1.01,3.18,1.14,0.29,10.07,7.44,0.5,4.19,3.52,0.2,0.62,0.65,0.08,0.05,0.2,7.79,1.53,2.59,1.14,0.29,0.89,1.77,0.13,0.11,0.01,0.01,6.47,1.07,5.29,0.06,0.09,0.66,3.6,1.33,4.02,1.11,6.4,0.72,0.1,6.23,2.28,0.51,3.74,0.83,1.05,2.36,1.39,0.76,0.26,0.13,0.29,0.35,1.1,1,0.11,0.83,0.46,0.08,0.02,0.03,0.28,0,0,0,1.88,9.71,0.21,0.49,0.22,0.12,0.11,0,0.11,0.48,0,13.81
GNN_1832_Zelter_Carl_Male_Autobiography.txt,DE_NON,67381,23.23,22.55,67.37,0.11,12.62,6.55,0.36,6.91,0.82,5.24,1.51,0.15,9.28,9.31,0.6,4.21,2.82,0.36,0.65,1.37,0.17,0.18,0.41,6.81,1.46,1.89,1.27,0.19,0.56,1.59,0.18,0.1,0.02,0.01,9.43,2.15,6.56,0.28,1.17,0.58,4.61,7.41,2.86,0.53,8.12,0.96,0.16,6.55,2.01,1.25,4.07,1.15,1.5,2.12,2.36,0.82,0.54,0.2,0.79,0.51,0.89,0.61,0.31,1.01,0.67,0.13,0.11,0.09,0.08,0,0,0,4.24,9.6,0.27,0.88,0.16,0.31,0.6,0,0.1,0.13,0.01,16.41
"GNN_1833_Feuerbach,Ludwig_ Geschichte der neuern Philosophie von Bacon von Verulam bis Benedikt Spinoza_Philosophy.txt",DE_NON,105471,23.26,26.91,60.5,1.18,6.21,0.62,0.42,1.04,0.73,4.62,1.96,0.11,13.84,8.39,0.63,3.89,2.92,0.15,0.84,0.97,0.2,0.19,0.22,9.25,2.12,3.15,1.19,0.24,1.4,1.57,0.09,0.04,0.01,0.01,7.19,0.92,6.16,0.04,0.51,0.43,3.12,1.61,5.48,0.54,6.6,0.58,0.13,6.48,3.65,0.44,3.24,0.6,0.92,2.19,0.85,0.3,0.39,0.07,0.08,0.5,2.24,2.12,0.13,0.45,0.3,0.04,0.05,0.02,0.06,0.01,0,0.01,4.83,11.45,0.18,0.63,0.16,0.01,0.36,0,0.07,1.11,0,19.84
