Filename,corpus,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"2015_Sarna,JonathanD_LincolnandtheJews_HIST.txt",HIST,56537,56537,29.13,72.21,0,46.52,7.73,4.46,0.09,0.07,0.02,3.55,0.73,3.27,8.71,6.73,4.22,4.56,1.17,0.5,2.55,16.25,5.31,0.63,1.92,1.56,0,8.75,0.5,0.31,0.51,3.76,2.37,1.32,0.16,0.66,0.28,11.22,1.63,1.14,0.71,1.25,0.78,0.44,4.05,0.93,0.95,0.49,0.25,0.18,0.72,0.26,0.34,0.07,0.06,14.07,1.61,6.86,5.38,2.81,2.16,0.78,0.37,0.71,2.42,0.49,0.01,0.12,0.09,4.05,8.94,0.34,0.16,0.03,0.01,0.67,0,1.35,0.23,0.3,16.3
"2015_Scott,James_TargetTokyo_HIST.txt",HIST,119775,119775,23.76,71.23,0,45.82,5.85,3.41,0.02,0.03,0.01,2.99,0.36,2.44,11.6,6,3.01,4.33,0.7,0.61,2.42,15.14,4.74,0.49,2.03,2.41,0.03,6.88,0.26,0.11,0.45,3.91,1.49,2.39,0.43,1.21,0.41,11.37,1.13,1.04,1.01,1.05,0.62,0.68,4.44,0.97,1.87,0.8,0.26,0.64,1.79,0.8,0.54,0.05,0.43,16.05,2.49,8.24,5.12,2.36,1.71,0.9,0.53,0.4,0.24,0.42,0.01,0.08,0.04,6.42,5.05,0.18,0.09,0.03,0,0.78,0,1.32,0,0.04,13.91
"2015_Scull,Andrew_MadnessinCivilization_HIST.txt",HIST,122543,122543,29,75.65,0,50.56,7.31,3.12,0.1,0.18,0.01,1.6,1.23,4.18,9.91,6.98,5.01,4.2,1.63,0.43,2.88,16.39,6.74,0.71,2.78,1.19,0.03,6.03,0.27,0.08,0.68,4.95,2.1,2.81,0.61,1.03,0.59,14.06,1.81,1.61,0.85,2.19,1.05,0.72,5.14,1.55,0.95,0.45,0.16,0.23,2.84,0.61,1.97,0.2,0.13,12.07,1.44,6.45,3.93,2.02,1.97,0.65,0.27,0.63,1.05,0.39,0,0.08,0.09,3.54,7.01,0.26,0.2,0.06,0.01,1.14,0,0.75,0.56,0.02,14.1
"2015_Seierstad,Asne_OneofUs_HIST.txt",HIST,167894,167894,16.81,82.78,0,55.87,11.85,7.98,0.8,0.27,0.63,4.83,1.44,3.87,9.57,12.39,7.86,7.89,2.73,0.71,3.62,14.76,5.42,0.99,2.32,1.47,0.04,11.71,0.65,0.25,0.98,3.87,2.11,1.73,0.3,0.66,0.38,13.47,1.36,1.1,1.57,1.7,1.11,0.73,4.7,1.84,2.39,1.06,0.54,0.75,1.96,0.97,0.55,0.14,0.33,16.33,2.55,8.33,5.12,2.01,1.49,1.15,0.7,0.59,0.33,0.33,0.11,0.09,0.11,7.05,4.72,0.15,0.13,0.32,0.24,0.57,0,2.48,0.01,0.47,16.15
"2015_Sky,Emma_TheUnraveling_HIST.txt",HIST,116492,116492,22.07,79,0,53.49,10.37,7.08,2.39,1.36,0.04,2.18,1.1,3.3,9.47,10.84,7.13,8.19,1.21,0.64,2.9,16.41,5.45,0.88,1.87,1.11,0.01,8.8,0.24,0.1,0.59,4.01,2.23,1.75,0.36,0.81,0.27,14.27,1.46,1.49,1.27,1.08,0.88,0.83,5.71,1.34,1.39,0.62,0.31,0.38,1.23,0.5,0.36,0.08,0.3,15.42,2.69,8,4.34,2.85,1.98,0.83,0.49,0.38,0.62,0.36,0.02,0.08,0.04,6.06,4.48,0.15,0.15,0.08,0.03,0.72,0,0.54,0.1,0.02,12.43
"2015_Standiford,Les_Mulholland,William_WatertotheAngels_HIST.txt",HIST,78919,78919,22.94,75.87,0,51.74,6.23,2.5,0.03,0.04,0.01,1.96,0.48,3.73,11.53,8.73,6.36,5.13,1.75,0.9,3.16,17.2,5.07,0.6,2.45,1.68,0.02,5.25,0.25,0.05,0.42,2.6,1.57,0.98,0.15,0.22,0.26,11.91,1.39,1.07,1.33,1.77,1.06,0.54,3.89,1.24,0.93,0.4,0.2,0.26,1.62,0.49,0.33,0.02,0.79,16.12,1.98,8.83,4.92,2.7,1.77,0.61,0.32,1.09,0.1,0.13,0.02,0.11,0.02,3.64,6.68,0.15,0.08,0.03,0,0.76,0,1.07,0.14,0.32,13
"2015_Stone,DavidR_TheRussianArmyintheGreatWar_HIST.txt",HIST,110829,110829,30.45,72.81,0,45.65,4.05,1.75,0.09,0.03,0,0.9,0.73,2.3,10.46,5.94,3.88,4.27,0.89,0.37,2.24,16.7,5.22,0.66,2.32,1.85,0.01,4.4,0.05,0.02,0.3,6.02,1.94,4.07,0.39,2.54,0.68,12.43,1.1,1.52,0.9,1.34,0.92,1.17,4.65,1.26,0.69,0.21,0.06,0.35,0.68,0.16,0.44,0,0.1,16.63,2.3,9.54,4.59,2.58,3.17,0.3,0.09,0.4,0.23,0.82,0.03,0.11,0.02,4.17,6.01,0.22,0.09,0.01,0,0.77,0,1.19,0.15,0,12.76
"2015_Strauss,Barry_TheDeathofCaesar_HIST.txt",HIST,79366,79366,20.25,74.53,0,50.75,8.84,5.02,0.01,0.12,0.03,3.6,1.25,3.82,9.42,9.28,5.95,6.18,1.81,0.66,3.35,14.77,6.22,1.04,2.17,1.26,0.01,9.56,0.52,0.21,0.89,5.34,3.04,2.25,0.33,1.32,0.32,13.2,1.35,1.22,1.28,2.08,0.86,0.69,4.17,2.23,1.15,0.33,0.42,0.31,0.99,0.51,0.28,0.12,0.1,12.82,1.73,6.25,4.78,1.37,2.15,0.53,0.4,0.55,0.32,0.84,0.02,0.14,0.18,6.12,5.44,0.08,0.09,0.1,0.01,0.39,0,1.87,0.16,0,14.42
"2015_Sublett,Jesse_1960sAustinGangsters_HIST.txt",HIST,37253,37253,21.93,70.43,0,45.9,5.88,3.24,0.27,0.06,0.08,2.2,0.65,2.64,10.12,7.5,4.82,5.69,1.06,0.29,2.42,14.83,5.31,0.52,1.97,1.87,0.04,6.39,0.46,0.23,0.57,3.28,1.67,1.59,0.18,0.76,0.27,11.05,1.17,0.82,0.58,1.49,0.79,0.61,4.69,1.25,1.32,0.63,0.29,0.3,1.36,0.5,0.51,0.19,0.28,15.98,1.77,8.63,5.36,2.3,1.4,1.58,0.7,1.32,0.13,0.29,0.02,0.06,0.12,5.53,6.98,0.28,0.08,0.05,0,1.01,0,1.46,0.18,0.23,15.98
"2015_Suny,RonaldGrigor_TheyCanLiveintheDesert_HIST.txt",HIST,103237,103237,31.84,72.76,0,48.79,5.57,2.53,0.07,0.04,0.01,0.79,1.61,3.03,12.01,6.58,4.39,4.74,0.83,0.46,1.88,16.52,6.26,0.64,2.22,1.11,0,5.78,0.12,0.09,0.67,4.69,1.93,2.71,0.51,1.48,0.43,13.12,1.53,1.43,0.76,1.51,0.67,0.9,5.31,1.45,0.61,0.27,0.09,0.21,0.62,0.19,0.34,0.03,0.06,13.45,1.62,7.41,4.02,2.36,2.49,0.4,0.23,0.47,1.08,0.93,0.01,0.09,0.1,3.93,6.01,0.13,0.16,0.01,0,0.65,0,0.34,0.33,0,11.9
"2015_Swain,Susan_FirstLadies_HIST.txt",HIST,151624,151624,18.12,82.48,0,56.5,13.91,8.32,0.18,0.25,0.28,5.9,1.71,5.59,7.79,12.26,8.12,7.5,3.28,0.62,4.82,13.68,6.09,0.72,2.52,1.53,0.01,13.76,1.02,0.15,1.56,3.83,2.59,1.19,0.17,0.39,0.31,13.58,1.6,1.19,1.16,1.79,1.18,0.39,4.63,1.9,1.7,0.96,0.36,0.33,1.12,0.22,0.54,0.19,0.22,14.1,2.12,6.52,5.21,2.62,2.15,0.94,1.03,0.53,0.18,0.43,0.04,0.1,0.11,5.57,6.27,0.86,0.26,0.04,0,0.4,0,1.74,0.76,0.03,16.7
"2015_Tackett,Timothy_TheComingoftheTerrorintheFrenchRevolution_HIST.txt",HIST,125540,125540,28.83,77.98,0,52.91,5.7,2.76,0,0.07,0,0.93,1.76,2.93,12.38,7.4,5.36,4.94,1,0.71,3.08,17.25,6.03,0.55,3.34,1.12,0,7.02,0.2,0.16,0.89,4.92,2.17,2.68,0.76,1.2,0.33,14.45,1.65,1.35,1.06,2.27,1.64,0.92,4.94,1.34,0.66,0.22,0.17,0.21,0.59,0.2,0.27,0.05,0.08,14.67,1.82,7.43,5.25,2.07,2.42,0.52,0.33,0.43,0.62,0.44,0,0.09,0.06,3.76,5.14,0.24,0.07,0.03,0,0.56,0,0.36,0.05,0,10.26
"2015_Taylor,Scott_TrustBetrayed_HIST.txt",HIST,63013,63013,24.09,76.57,0,49.9,9,4.15,0.78,1.06,0.25,1.23,0.83,4.86,8.7,9.08,6.2,4.52,3.11,0.76,3.42,14.72,5.37,0.87,2.67,1.23,0.04,7.03,0.15,0.12,0.45,5.22,2.63,2.54,0.38,1.3,0.38,15.01,1.82,1.93,1.25,2.1,1.32,1.18,4.28,1.92,1.2,0.43,0.23,0.36,0.66,0.29,0.27,0.04,0.08,13.88,1.7,7.26,4.55,3.55,2.73,0.76,0.32,0.46,0.41,0.4,0.02,0.06,0.07,4.85,4.57,0.25,0.05,0.1,0.01,0.68,0,1.62,0.14,0.08,12.49
"2015_Wachsmann,Nikolaus_KL_HIST.txt",HIST,250909,250909,25.26,74.91,0,49.29,5.76,3.01,0.01,0.04,0.01,1.5,1.44,2.75,9.43,7.48,5.01,5.93,0.75,0.37,3.44,16.97,5.17,0.71,3.44,1.79,0.01,6.16,0.18,0.1,0.9,4.15,1.49,2.62,0.4,1.38,0.42,12.27,1.27,1.32,0.67,1.88,0.97,0.86,4.31,1.22,1,0.45,0.15,0.35,1.41,0.42,0.7,0.07,0.26,17.13,2.19,8.29,6.37,2.47,2.01,0.49,0.25,0.36,0.64,1.27,0,0.09,0.16,4.35,7.45,0.22,0.41,0.04,0,0.69,0,0.42,0.3,0.01,14.18
"2015_Weinberg,Steven_ToExplaintheWorld_HIST.txt",HIST,108747,108747,22.64,75.98,0,54.1,7.34,2.33,0.29,0.61,0.01,0.94,0.48,5.01,11.79,8.87,6.29,3.12,4.38,0.62,3.16,17.45,5.87,1.07,2.63,1.18,0.01,3.48,0.06,0.03,0.13,2.58,1.64,0.91,0.14,0.21,0.15,14.99,2.18,2.04,1,2.45,1.32,0.37,4.37,2.2,1.48,0.8,0.13,0.28,0.94,0.41,0.33,0.02,0.19,13.85,1.68,7.74,4.29,2.03,1.47,0.46,0.07,0.24,0.53,0.07,0.02,0.09,0.14,3.78,5.36,0.25,0.2,0.06,0,0.37,0.01,0.76,0.45,0.6,12.3
