filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,Pronoun,I,We,Self,You,Other,Negate,Assent,Article,Preps,Number,Affect,Posemo,Posfeel,Optim,Negemo,Anx,Anger,Sad,Cogmech,Cause,Insight,Discrep,Inhib,Tentat,Certain,Senses,See,Hear,Feel,Social,Comm,Othref,Friends,Family,Humans,Time,Past,Present,Future,Space,Up,Down,Incl,Excl,Motion,Occup,School,Job,Achieve,Leisure,Home,Sports,TV,Music,Money,Metaph,Relig,Death,Physcal,Body,Sexual,Eating,Sleep,Groom,Swear,Nonfl,Fillers,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"GN_1849_Gotthelf,Jeremias_UliderPächter_Novel.txt",DE_NOV,149884,28.03,18.96,64.29,0,10.98,1.27,0.34,1.6,1.35,8.07,2.76,0.16,8.98,7.69,0.51,4.27,2.64,0.27,0.66,1.63,0.23,0.29,0.37,8.18,1.62,1.61,2.43,0.18,0.98,1.62,0.24,0.12,0.03,0.01,12.23,1.51,10.01,0.12,0.65,0.93,4.2,4.92,4.66,0.71,6.35,0.86,0.13,5.59,3.03,1.21,3.43,0.56,1.23,2.02,1.32,0.67,0.44,0.11,0.12,0.94,1.18,0.92,0.28,1.45,1.16,0.09,0.18,0.12,0.06,0.06,0,0,3.58,12.45,0.27,0.59,0.28,0.2,0.04,0,0.01,0.01,0.31,17.77
"GN_1849_Weerth,Georg_RitterSchnapphahnski_Novel.txt",DE_NOV,47934,23.73,25.63,62.21,0.18,8.57,1.73,0.67,2.39,1.34,5.45,1.26,0.18,12.55,9.37,0.65,4.15,2.56,0.51,0.49,1.58,0.22,0.22,0.44,6.2,1.32,1.35,1.19,0.18,0.69,1.61,0.31,0.18,0.05,0.04,9.23,1,7.43,0.25,0.63,1,4.02,4.26,3.45,0.58,7.94,1.16,0.19,6.3,1.94,0.78,3.15,0.8,0.88,1.82,1.15,0.53,0.38,0.1,0.16,0.92,1.23,0.96,0.35,2.27,1.8,0.31,0.11,0.08,0.14,0.04,0,0,4.13,8.57,0.38,0.55,0.38,0.69,1.42,0,0.08,0.04,0.41,16.55
"GN_1852_Alexis,Willibald_RuheistdieersteBürgerpflicht_Novel.txt",DE_NOV,310987,18.09,23.9,63.16,0.04,11.23,1.94,0.79,2.73,1.63,7.65,2.07,0.24,11.88,8.11,0.39,4.07,2.53,0.35,0.51,1.53,0.23,0.33,0.33,6.8,1.38,1.73,1.81,0.27,0.67,1.2,0.32,0.23,0.04,0.01,12.35,1.56,9.61,0.29,0.76,0.93,3.23,4.67,3.81,0.48,7.06,1.08,0.17,4.89,2.22,0.75,3.01,0.74,1.07,1.62,1.36,0.55,0.49,0.13,0.22,0.62,1.04,0.82,0.26,1.79,1.52,0.19,0.08,0.07,0.07,0.02,0,0,5.51,10.44,0.47,0.34,0.72,1.07,1.39,0,0.4,0,0.01,20.3
"GN_1854_Arnim,Achimvon_DieKronenwachterZweiterBand_Novel.txt",DE_NOV,101511,39.65,20.51,58.13,9.27,11.3,2.31,0.29,2.6,2.24,7.6,1.23,0.06,9.21,8.26,0.43,3.94,2.2,0.33,0.46,1.73,0.26,0.34,0.43,5.98,1.36,1.4,1.45,0.18,0.34,1.38,0.27,0.16,0.03,0.02,11.75,1.53,9.58,0.21,0.72,0.79,3.39,5.45,2.89,0.42,7.23,0.96,0.2,5.39,2.06,1.01,2.65,0.61,0.85,1.57,1.29,0.61,0.37,0.08,0.27,0.54,1.16,0.87,0.35,1.63,1.27,0.12,0.14,0.19,0.08,0.02,0,0,2.18,8.94,0.28,1.22,0.21,0.16,0.02,0,0.06,0.29,0,13.64
"GN_1855_Freytag,Gustav_SollundHaben_Novel.txt",DE_NOV,287062,24.33,23.29,64.81,0.02,10.17,2,0.42,2.41,1.62,6.83,1.18,0.07,11.79,9.78,0.4,4.41,2.71,0.26,0.6,1.69,0.34,0.27,0.37,5.75,1.05,1.54,1.13,0.48,0.54,1.21,0.26,0.17,0.03,0.01,11.7,1.77,8.56,0.34,0.85,0.94,3.59,5.95,3.5,0.63,8.52,1.35,0.22,6.43,1.64,1.11,3.79,0.93,1.45,1.97,1.52,0.9,0.27,0.13,0.24,1.04,0.82,0.63,0.22,1.39,1.19,0.07,0.12,0.09,0.06,0.01,0,0,4.79,9.83,0.31,0.4,0.38,0.19,0.19,0,0.13,0,0.28,16.49
"GN_1857_Stifter,Adalbert_DerNachsommer_Novel.txt",DE_NOV,248800,25.72,23.18,66.9,0.01,11.38,4.5,1.16,5.66,1.43,5.15,1.33,0.09,11.24,10.34,0.34,3.14,2.5,0.32,0.54,0.63,0.07,0.09,0.17,7.73,1.92,2.14,1.08,0.18,1.03,1.6,0.17,0.12,0.02,0,9.61,1.54,7.28,0.46,0.75,0.49,4.21,6.55,3.05,0.6,9.52,1.15,0.18,7.7,2.26,1.45,3.99,0.92,1.57,2.41,1.57,0.98,0.26,0.18,0.17,0.52,0.54,0.44,0.11,0.74,0.52,0.09,0.04,0.04,0.11,0,0,0,4.13,10.47,0.11,0.23,0.09,0.01,0.09,0,0,0,0.34,15.49
"GN_1861_Spielhagen,Friedrich_ProblematischeNaturen1_Novel.txt",DE_NOV,134073,18.45,22.12,66.57,0.01,11.17,2.87,0.44,3.31,1.66,6.77,1.69,0.28,11.17,9.48,0.52,4.27,2.81,0.5,0.57,1.44,0.21,0.2,0.43,6.75,1.5,1.7,1.43,0.2,0.74,1.48,0.39,0.31,0.03,0.01,12.05,1.96,8.63,0.41,0.83,1.1,4.5,5.37,3.73,0.49,8.33,1.29,0.14,5.85,2.1,0.93,2.96,0.86,0.86,1.63,1.37,0.65,0.38,0.11,0.24,0.99,1.12,0.86,0.28,1.85,1.46,0.23,0.08,0.14,0.08,0.04,0.02,0,3.89,10.67,0.3,0.98,0.88,0.69,0.93,0,0.38,0.02,0,18.7
"GN_1861_Spielhagen,Friedrich_ProblematischeNaturen2_Novel.txt",DE_NOV,125624,18.91,23.28,65.89,0.02,10.86,2.74,0.4,3.13,1.84,6.65,1.58,0.17,11.44,9.93,0.51,4.33,2.72,0.43,0.59,1.6,0.27,0.26,0.4,6.26,1.34,1.59,1.33,0.23,0.6,1.44,0.43,0.32,0.05,0.02,11.74,1.92,8.47,0.37,0.84,1.09,4.41,5.46,3.45,0.42,8.52,1.19,0.15,6.29,1.88,0.93,2.91,0.84,0.92,1.57,1.42,0.72,0.33,0.14,0.24,0.69,1.06,0.79,0.3,1.99,1.68,0.17,0.1,0.1,0.08,0.03,0.02,0,3.83,10.15,0.32,0.92,0.73,0.74,0.75,0,0.36,0.02,0,17.8
"GN_1864_Lewald,Fanny_VonGeschlechtzuGeschlecht_Novel.txt",DE_NOV,456808,26.62,24.22,67.4,0.03,12.77,1.68,0.32,2.01,2.17,9.95,1.64,0.12,10.84,10.22,0.31,4.34,2.7,0.47,0.68,1.63,0.26,0.23,0.46,6.9,1.48,1.9,1.2,0.69,0.48,1.46,0.25,0.2,0.03,0.01,14.43,1.7,11.46,0.32,1.01,0.73,4.18,6,2.64,0.44,8.46,1.06,0.15,6.82,2,0.93,3.63,0.74,1.55,1.84,1.55,0.9,0.37,0.14,0.16,0.82,1.08,0.87,0.25,1.34,1.13,0.15,0.03,0.05,0.05,0.01,0,0,2.95,10.72,0.23,0.44,0.33,0.63,0.32,0,0.26,0,0,15.84
"GN_1864_Raabe,Wilhelm_DerHungerpastor_Novel.txt",DE_NOV,143098,26.1,24.14,63.99,0.01,8.6,1.04,0.4,1.44,1.31,6.41,1.46,0.07,12.17,9.48,0.54,3.9,2.19,0.26,0.44,1.69,0.36,0.23,0.45,5.81,1.17,1.19,1.19,0.21,0.62,1.62,0.28,0.21,0.03,0.01,10.55,1.29,8.01,0.24,0.88,0.92,4.03,5.75,2.59,0.39,8.1,1.22,0.22,7.42,2.01,1.03,3.11,0.9,1.03,1.68,1.52,0.89,0.34,0.11,0.19,0.59,1.23,0.93,0.34,1.95,1.61,0.11,0.18,0.15,0.06,0.02,0,0,3.39,8.56,0.28,0.94,0.28,0.67,0.78,0,0.21,0,0.32,15.4
