filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"2015_Blackwood,Scott_SeeHowSmall_CT.txt",CONT_NOV,43715,11.46,16.34,83.83,0.16,53.64,15.16,11.09,0.7,0.63,0.69,7.53,1.54,4.07,9.38,12.74,6.54,6.51,4.3,0.62,3.63,13.76,5.08,1.13,1.63,1.08,0.12,16.66,0.92,0.17,1.41,3.34,1.64,1.69,0.43,0.46,0.4,13.46,2.18,0.99,1.13,2.42,0.84,0.59,4.61,1.75,5,1.55,1.83,1.27,3.93,2.46,0.66,0.26,0.73,16.01,2.26,8.67,5.11,0.89,0.78,1.33,1.27,0.32,0.16,0.19,0.08,0.03,0.32,8.05,6.28,0.08,0.03,0.69,0.02,1.02,2.17,3.14,0.08,0,21.23
"2015_Christie,Michael_IfIFall_CT.txt",CONT_NOV,90770,14.08,18.46,82.09,0.06,54.16,15.12,10.86,1.17,0.27,1.14,7.04,1.25,4.25,7.68,12.85,7.77,6.48,3.19,1.79,4.06,13.34,6.07,1.55,2.05,0.81,0.06,14.3,0.59,0.15,0.89,4.27,2.14,2.1,0.55,0.55,0.55,13.97,1.7,1.09,1.38,2.1,1.15,0.69,4.86,1.86,4.22,1.16,1.79,0.98,3.35,2.11,0.58,0.13,0.61,14.7,2.1,7.21,5.7,1.15,0.99,1.2,0.88,0.36,0.12,0.3,0.17,0.08,0.52,6.26,7.08,0.16,0.03,0.79,0.08,0.96,4.19,2.9,0.03,0,22.1
"2015_Ciment,Jill_ActofGod_CT.txt",CONT_NOV,44102,11.86,18.5,82.03,0.02,52.39,13.6,10.51,1.64,0.33,1.23,6.67,0.64,3.09,8.64,13.71,8.09,7.41,4.1,0.83,3.54,12.54,5.32,1.8,1.56,1.45,0.06,13.6,0.55,0.22,0.69,3.74,2.03,1.7,0.42,0.36,0.57,12.89,1.8,0.9,1.71,1.96,1.12,0.71,3.9,1.96,3.82,1.63,1.02,0.87,2.95,1.5,0.68,0.31,0.59,14.57,1.97,6.84,5.69,2.06,1.01,1.15,1.53,0.68,0.28,0.42,0.12,0.04,0.22,7.08,5.95,0.08,0.07,1.31,0.1,1.37,4.06,3.25,0.03,0.02,22.8
"2015_Costello,Mary_Academy Street_CT.txt",CONT_NOV,44578,11.67,14.65,85.97,0.05,55.43,15.59,12.75,0.72,0.12,0.55,10.35,1.01,2.84,9.39,11.32,5.6,6.06,4.09,0.55,3.03,14.17,6.24,0.99,1.49,0.85,0.02,16.29,0.87,0.1,1,3.52,1.77,1.73,0.5,0.22,0.74,14.01,1.95,0.52,0.94,1.58,1.12,0.59,6.4,1.6,4.66,1.95,1.09,1.38,3.96,2.33,0.73,0.24,0.72,19.38,3.23,10.05,5.99,0.86,0.69,1.09,1.33,0.26,0.45,0.35,0.08,0.03,0.14,8.12,7.93,0.05,0.02,0.39,0.07,0.42,1.39,1.06,0,0.43,19.72
"2015_Essbaum,JillAlexander_Hausfrau_CT.txt",CONT_NOV,84398,9.17,16.66,82.3,0.06,54.62,14.85,9.96,1.24,0.23,0.97,6.56,0.96,4.88,8.05,14.33,8.55,7.87,4.55,0.72,3.54,12.44,6.11,2.25,2.12,1.11,0.15,13.23,0.38,0.16,0.71,4.5,2.41,2.03,0.45,0.48,0.63,14.6,2.28,1.01,1.5,1.78,1.35,0.55,4.93,1.99,3.06,0.96,0.98,0.91,3.02,1.55,0.45,0.44,0.69,14.34,2.37,6.59,5.35,1.06,0.99,1.03,0.91,0.36,0.3,0.22,0.28,0.1,0.19,9.83,4.58,0.17,0.08,0.9,0.24,0.8,2.96,3.32,0.07,0,22.69
"2015_Fishbane, Joel_The Thunder of Giants_CT.txt",CONT_NOV,81414,10.9,17.1,84.83,0.11,56.19,15.54,11.1,1.49,0.39,1.25,6.87,1.11,4.44,8.56,15.69,9.33,9.15,4.55,0.96,3.95,12.63,4.89,1.75,2.03,1.18,0.08,15.14,0.77,0.08,0.91,4.91,2.55,2.32,0.49,0.58,0.72,13.93,2.06,1.06,1.78,2.02,1.32,0.6,3.69,2.19,3.19,0.91,1.43,0.68,2.53,1.39,0.63,0.24,0.35,14.14,2.22,6.41,5.5,0.96,1.13,1.02,0.78,0.48,0.3,0.44,0.09,0.08,0.25,8.05,5.11,0.22,0.44,0.83,0.32,0.62,5.35,2.51,0.07,0.1,23.43
"2015_Flournoy, Angela_The Turner House_CT.txt",CONT_NOV,104098,12.92,16.07,84.66,0.13,55.62,15.66,11.12,1.8,0.27,1.43,6.72,0.89,4.55,6.83,14.19,7.81,7.41,4.48,0.81,4.41,13.94,5.8,2.24,2.26,1.29,0.14,14.39,0.7,0.14,0.91,3.93,2.19,1.72,0.38,0.5,0.42,15.31,2.29,1.14,1.74,2.29,1.18,0.64,4.64,2.55,3.42,1.2,1.19,0.85,2.78,1.54,0.56,0.2,0.55,15.55,2.22,7.73,5.64,1.06,1.16,1.01,1.36,0.81,0.31,0.18,0.19,0.11,0.35,7.05,6.02,0.08,0.13,0.74,0.08,2.62,3.68,3.28,0.04,0.06,22.64
"2015_Freeman, Anna_The Fair Fight_CT.txt",CONT_NOV,157627,13.79,11.92,88.17,0.02,60.37,19.39,15.3,7.96,0.84,1.28,4.7,0.51,4.09,6.4,16.19,9.08,8.59,4.26,1.43,4.51,13.56,6.85,2.19,2.13,0.73,0.09,11.8,0.48,0.1,1.2,4.37,2.43,1.91,0.35,0.47,0.65,15.81,2.11,0.86,2.23,2.06,1.42,0.77,5.05,2.45,4.86,1.56,1.39,1.7,3.27,2.2,0.51,0.14,0.49,14.25,2.77,6.57,4.9,0.64,0.86,0.54,0.92,0.48,0.22,0.13,0.1,0.12,0.23,6.71,6.48,0.05,0.33,0.46,0.12,0.54,3.34,2.08,0,0,19.89
"2015_Gattis,Ryan_All Involved_CT.txt",CONT_NOV,122100,13.21,11.8,88.14,0.22,59.9,19.73,13.05,6.61,0.86,1.02,3.56,1,6.68,6.05,14.66,8.35,3.26,9.93,0.66,5.8,13.11,7.82,2.35,2.28,1.31,0.98,10.68,0.4,0.07,0.68,4.44,2.03,2.38,0.24,1.33,0.24,17.01,2.08,1.51,1.24,2.43,1.58,0.63,5.63,3.03,4.17,1.64,1.41,0.96,3.23,2.1,0.4,0.49,0.35,16.03,2.27,8.52,5.73,0.73,0.87,0.72,0.79,0.49,0.14,0.17,0.18,0.07,0.7,7.17,6.62,0.09,0,0.52,0.12,1.1,2.06,4.92,0.04,0.02,22.23
"2015_Handler,Daniel_WearePirates_CT.txt",CONT_NOV,79866,9.86,14.04,83.85,0.04,55.99,16.42,10.73,2.05,0.62,1.53,5.5,1.03,5.68,7.83,15.87,8.87,8.68,5.19,0.88,3.98,12.11,5.85,2.15,1.71,0.95,0.16,14.49,0.49,0.12,0.81,4.14,2.16,1.92,0.31,0.62,0.39,14.99,1.96,0.81,1.69,1.99,1.17,0.57,5.12,2.54,4.79,1.35,2.4,0.92,2.65,1.57,0.43,0.18,0.54,14.29,2.01,7.83,4.7,1.01,0.82,1.06,0.75,0.37,0.18,0.17,0.41,0.09,0.4,8.61,8.08,0.09,0.01,1.24,0.32,0.57,8.84,2.78,0.03,0,30.35
