Filename,corpus,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"2009_Mawer,Simon_GlassRoom_PW.txt",Cont_3P,135777,135777,15.97,82.24,0,56.07,14.82,9.68,1.56,0.57,1.48,4.79,1.28,5.13,9.58,10.74,6.43,3.17,6.12,0.7,4.17,13.56,6.16,0.91,1.84,0.84,0.05,12.23,0.39,0.15,0.99,3.91,2.36,1.51,0.41,0.42,0.36,14.6,2.15,0.91,1.03,2.28,1.24,0.53,5.28,1.99,3.3,1.46,0.78,0.93,2.29,1.28,0.4,0.3,0.4,13.8,2.16,7.53,4.22,1.07,0.92,1.02,1.14,0.29,0.31,0.19,0.11,0.09,0.33,7.44,5.63,0.15,0.1,1.22,0.12,0.63,0,4.33,0.02,0,19.66
"2009_Mueenuddin,Daniyal_InOtherRoomsOtherWonders_PW.txt",Cont_3P,58391,58391,17.72,81.3,0,52.92,12.28,9.16,0.41,0.03,0.04,7.67,1.01,3.12,10.41,8.75,4,6.12,1.37,0.63,2.87,15.79,5.92,0.78,1.76,1.16,0.03,12.51,0.67,0.14,0.89,3.21,1.79,1.38,0.3,0.4,0.44,12.96,1.52,0.78,1.2,1.38,0.84,0.67,5.77,1.4,3.64,1.5,0.52,1.29,3.59,1.95,0.48,0.23,1.01,18.39,3.13,9.62,5.47,0.99,0.96,1.14,1.63,0.6,0.21,0.16,0.04,0.05,0.14,5.24,9.23,0.01,0.08,0.06,0.02,0.33,0,0.75,0,0.01,15.74
"2009_Munro,Alice_TooMuchHappiness_PW.txt",Cont_3P,83661,83661,14.52,85.74,0,59.52,15.03,10.06,2.02,0.44,0.28,6.27,1.05,4.97,7.49,13.3,8.45,7.39,3.73,0.99,4.61,14.13,7.65,1.69,2.26,0.84,0.03,12.27,0.61,0.15,1.05,4.11,2.51,1.57,0.32,0.47,0.37,17.36,2.02,1.07,1.79,3.02,1.37,0.55,5.47,3.36,2.67,1.02,0.71,0.78,2.37,1.12,0.56,0.15,0.6,14.79,2.3,7.25,5.04,1.48,1.01,1.03,0.97,0.46,0.22,0.16,0.05,0.09,0.14,6.38,5.47,0.03,0.04,0.23,0,0.4,0,1.06,0.07,0.01,13.76
"2009_Price,Richard_LushLife_PW.txt",Cont_3P,77548,77548,18.28,78,0,50.78,10.06,6.84,0.12,0.02,0.14,5.69,0.86,3.22,9.67,6.99,3.39,4.85,1.37,0.18,3.55,16.15,5.58,0.68,2.02,1.73,0.22,10.12,0.36,0.11,0.99,3.01,1.27,1.71,0.41,0.58,0.43,11.51,1.09,0.65,0.95,1.88,0.84,0.73,4.49,1.94,3.94,2.01,0.7,1.06,3.63,2.53,0.4,0.19,0.6,18.92,2.76,10.08,6.16,1.01,0.76,1.12,1.14,0.44,0.22,0.19,0.05,0.02,0.38,5.87,7.87,0.25,0.45,0.05,0,1.31,0,1.27,0.01,0.06,17.13
"2009_Rash,Ron_Serena_PW.txt",Cont_3P,74859,74859,17.74,74.11,0,48.84,9.06,6.36,0.06,0.02,0.12,5.24,0.92,2.7,10.98,7.81,3.42,6.01,0.98,0.27,3.29,13.5,7.53,0.75,1.88,1.04,0.01,8.59,0.23,0.05,0.86,2.15,1.22,0.92,0.2,0.24,0.35,12.23,1.32,0.78,0.84,1.56,0.49,0.63,5.56,1.88,4.37,1.94,0.56,1.58,3.75,2.57,0.48,0.06,0.71,17.27,3.17,8.67,5.36,0.9,0.86,0.55,0.92,0.32,0.13,0.2,0.02,0.16,0.21,7.27,5.24,0,0,0.01,0,0.43,0,2.21,0,0,15.16
"2010_Birdsell,Sandra_WaitingForJoe_PW.txt",Cont_3P,69203,69203,14.7,80.43,0,52.81,12.31,9.23,0.1,0.03,0.14,7.85,1.11,3.08,10.13,9.04,4.32,4.3,3.58,0.51,3.32,16.18,6.52,0.49,1.3,0.78,0.04,12.88,0.46,0.1,0.83,2.37,1.34,1.02,0.28,0.29,0.31,12.14,1.8,0.62,0.92,1.45,0.49,0.72,5.58,1.12,4.56,1.87,1.27,1.14,3.1,2.02,0.42,0.12,0.63,17.78,2.91,9.38,5.49,0.84,0.76,1.05,1.29,0.72,0.39,0.14,0.04,0.03,0.25,5.42,6.05,0.01,0.08,0.07,0.01,0.48,0,2.22,0,0.04,14.37
"2010_Gordon,Jaimy_LordofMisrule_PW.txt",Cont_3P,85402,85402,11.45,80.15,0,54.05,15.55,10.65,1.55,0.11,1.7,6.34,0.95,4.9,7.37,10.91,5.64,5.1,4.41,0.57,4.01,13.27,5.53,1.2,1.9,1.5,0.2,12.16,0.24,0.06,0.85,4.01,2.18,1.81,0.29,0.52,0.46,13.67,1.61,0.85,1.43,2.11,1.24,0.49,4.77,2.23,3.78,1.85,0.63,1.18,3.04,1.83,0.79,0.16,0.35,15.24,2.29,8.1,5.14,0.71,0.95,0.54,0.55,0.7,0.32,0.24,0.11,0.09,0.49,6.25,6.44,0.13,0.03,0.79,0.04,0.76,0,2.55,0.03,0,17.06
"2010_HaydenTaylor,Drew_MotorcyclesandSweetgrass_PW.txt",Cont_3P,64537,64537,16.53,81.77,0,54.07,11.77,7.56,0.05,0,0.1,6.54,0.87,4.21,9.39,10.75,6.57,7.8,1.5,0.47,4.12,13.94,5.65,0.67,2.6,1.45,0.06,11.5,0.76,0.06,1.26,4.03,2.22,1.76,0.46,0.49,0.38,14.37,2,0.89,1.26,2.51,1.26,0.58,4.8,1.95,3.34,1.44,0.79,0.95,2.65,1.52,0.42,0.11,0.65,16.13,2.42,8.16,5.56,0.96,1.09,1.01,0.84,0.22,0.22,0.17,0.04,0.07,0.21,7.46,6.38,0.04,0.03,0.14,0.02,0.52,0,1.56,0.04,0.03,16.25
"2010_Jacobson,Howard_FinklerQuestion_PW.txt",Cont_3P,112568,112568,16.24,83.24,0,57.73,17.38,11.73,1.54,0.32,1.68,6.86,1.32,5.65,6.62,12.95,8.07,6.85,4.15,0.78,4.27,13.05,5.98,1.76,2.28,0.94,0.15,14.8,0.61,0.16,1.04,4.91,2.65,2.23,0.56,0.7,0.51,15.66,2.67,1.39,1.77,2.37,1.44,0.47,3.64,3.09,2.43,1.03,0.68,0.59,2.14,1.05,0.41,0.41,0.35,11.3,1.57,5.66,4.11,0.92,0.89,1.1,0.41,0.32,1.17,0.34,0.18,0.18,0.21,7.42,5.09,0.06,0.05,1.15,0.11,1.2,0,5.11,0.04,0.01,20.28
"2010_Mccarthy,Tom_C_PW.txt",Cont_3P,95134,95134,18.76,74.25,0,49.84,11.01,6.93,0.06,0.05,0.06,5.08,1.69,4.09,9.36,5.68,2.63,1.03,4.08,0.19,3.18,15.59,6.19,0.47,2.28,1.35,0.02,10.15,0.17,0.05,0.67,2.1,0.97,1.12,0.18,0.34,0.4,11.28,1.33,0.67,0.32,1.72,0.66,0.57,5.28,1.39,3.98,1.66,1.09,1.04,2.71,1.81,0.4,0.07,0.48,18.03,2.6,10.2,5.18,0.93,0.77,0.83,0.7,0.26,0.17,0.29,0.01,0.05,0.32,4.88,7.16,0.98,0.61,0.07,0.01,1.16,0,2.41,0.07,0.01,17.42
