filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"2012_Moore,Alison_TheLighthouse_PW.txt",CONT_NOV_3P,49000,17,15.02,86.02,0,57.48,15.66,12.08,0.56,0.07,0.54,10.18,0.72,3.58,8.76,12.19,6.39,5.26,5.43,0.7,4.11,14.83,6.54,1.42,1.35,0.82,0.03,15.71,0.87,0.1,0.68,2.35,1.29,1.04,0.22,0.23,0.36,13.85,1.72,0.6,1.16,1.64,0.64,0.63,5.9,2.38,4.83,1.72,1.29,1.26,3.62,1.81,0.32,0.12,1.45,19.03,3.53,9.62,5.78,0.56,0.66,1.46,2.18,0.26,0.04,0.06,0.08,0.08,0.17,5.68,7.28,0.01,0.06,0.24,0,0.94,0,3.71,0,0,17.62
"2012_Ohlin,Alix_Inside_PW.txt",CONT_NOV_3P,92277,13.01,16.54,88.12,0.02,57.77,18.04,13.48,1.39,0.19,1.21,9.57,1.12,4.56,6.84,15.51,8.49,9.46,4,0.62,4.64,13.12,6.57,1.97,2.09,0.85,0.08,17.68,0.57,0.17,0.87,4.92,2.89,1.98,0.42,0.47,0.55,15.72,2.37,0.99,1.69,2.45,1.29,0.61,5.26,2.11,4.34,1.29,1.75,1.11,3.49,1.8,0.83,0.24,0.71,15.19,2.32,7.26,5.73,1.22,1,1.25,1.15,0.37,0.13,0.13,0.13,0.08,0.3,7.11,7.98,0.08,0.2,0.61,0.03,0.7,4.23,2.95,0.01,0,23.64
"2012_Patterson,James_Zoo_BS.txt",CONT_NOV_3P,80260,11.17,17.98,80.39,0.17,53.67,13.37,9.45,3.95,0.81,0.68,3.18,0.83,3.92,9.81,11.52,6.66,5.44,4.8,0.39,3.66,14.7,4.88,1.11,1.75,1.26,0.27,9.06,0.24,0.09,0.77,3.6,1.54,2.04,0.42,0.8,0.32,12.17,1.55,0.89,0.85,1.84,0.78,0.66,4.95,1.41,4.55,1.75,1.4,1.03,3.1,2.07,0.45,0.16,0.49,16.18,2.42,9.06,4.85,1.08,0.94,0.98,0.87,0.22,0.21,0.27,0.13,0.07,0.34,8.1,5.99,0.1,0.04,0.72,0.21,1.78,3.1,2.06,0,0.01,21.37
"2012_Rowling,JK_TheCasualVacancy_BS.txt",CONT_NOV_3P,163403,14.47,18.54,82.6,0.01,53.64,14.45,10.23,1.02,0.24,0.9,7.13,0.94,4.21,7.16,14.23,8.32,8.9,3.59,0.81,3.45,13.67,5.51,1.64,1.87,0.87,0.28,14.45,0.66,0.14,0.66,4.62,2.32,2.26,0.52,0.82,0.47,14.08,1.99,0.97,1.49,1.8,1.23,0.62,4.78,1.89,3.99,1.28,1.7,0.85,3.32,1.61,0.93,0.29,0.9,14.75,2.11,7.97,4.56,1.2,1.03,0.85,0.98,0.4,0.22,0.29,0.29,0.11,0.19,5.99,7.64,0.19,0.58,0.76,0.2,0.98,4.74,2.91,0.08,0.02,23.76
"2012_Spalding,Linda_Purchase_PW.txt",CONT_NOV_3P,98988,15.16,13.39,83.44,0.03,56.89,14.48,10.43,0.93,0.31,0.71,7.53,0.95,4.05,8.19,13.55,7.66,8.22,3.11,1.14,3.57,14.12,7.19,1.42,1.58,1.03,0.05,14.64,0.91,0.13,1.23,3.15,1.72,1.41,0.26,0.39,0.47,14.89,1.81,1.06,1.68,1.63,0.94,0.65,6.09,2.06,3.98,1.22,1.19,1.28,3.02,1.89,0.49,0.14,0.56,15.09,2.73,7.46,4.7,0.77,0.82,0.55,0.85,0.59,0.45,0.23,0.05,0.06,0.12,5.89,5.31,0.04,0.03,0.6,0.11,0.54,2.96,1.03,0,0,16.33
"2012_Stedman,ML_LightBetweenOceans_BS.txt",CONT_NOV_3P,103459,11.43,14.6,84.57,0.1,56.28,15.48,11.07,1.8,0.4,1.81,6.38,0.68,4.41,8.81,13.91,7.7,6.06,5.82,0.88,4.31,14.42,5.62,1.75,2.11,0.86,0.13,14.45,0.84,0.09,1.17,4.44,2.62,1.8,0.41,0.45,0.55,14.06,1.93,0.93,1.42,2.06,1.18,0.73,4.6,1.99,3.91,1.46,1.16,1.01,2.85,1.75,0.49,0.2,0.45,15.38,2.37,7.56,5.45,0.74,0.9,0.59,0.63,0.38,0.38,0.33,0.15,0.15,0.24,7.51,6.96,0.26,0.12,0.82,0.45,0.5,5.46,3.29,0.01,0,25.16
"2012_Stedman,ML_TheLightBetweenOceans_CT.txt",CONT_NOV_3P,103459,11.43,14.6,84.57,0.1,56.28,15.48,11.07,1.8,0.4,1.81,6.38,0.68,4.41,8.81,13.91,7.7,6.06,5.82,0.88,4.31,14.42,5.62,1.75,2.11,0.86,0.13,14.45,0.84,0.09,1.17,4.44,2.62,1.8,0.41,0.45,0.55,14.06,1.93,0.93,1.42,2.06,1.18,0.73,4.6,1.99,3.91,1.46,1.16,1.01,2.85,1.75,0.49,0.2,0.45,15.38,2.37,7.56,5.45,0.74,0.9,0.59,0.63,0.38,0.38,0.33,0.15,0.15,0.24,7.51,6.96,0.26,0.12,0.82,0.45,0.5,5.46,3.29,0.01,0,25.16
"2012_Walter,Jess_BeautifulRuins_BS.txt",CONT_NOV_3P,115623,13.4,17.15,83.5,0.1,53.92,14.93,10.41,1.9,0.37,0.98,6.33,0.83,4.53,7.79,12.78,6.9,5.69,5.39,0.65,4.17,13.1,6.12,1.44,2,1.35,0.25,13.8,0.58,0.14,1.04,4.48,2.57,1.87,0.32,0.62,0.47,14.11,1.87,0.93,1.36,2.11,1.14,0.51,5.08,1.98,3.69,1.46,1.25,0.86,2.82,1.47,0.57,0.38,0.56,15.43,2.35,7.4,5.73,1.53,1.08,1.86,0.74,0.62,0.25,0.33,0.31,0.07,0.27,7.43,7.13,0.45,0.2,0.96,0.12,1.34,4.09,2.65,0.18,0.03,24.22
"2013_Albom,Mitch_FirstPhoneCall_BS.txt",CONT_NOV_3P,67759,8.36,16.91,84.56,0.07,53,15.84,11.02,1.77,0.52,1.56,6.25,0.93,4.82,7.72,14.8,8.24,7.73,5.21,0.73,3.88,11.73,4.34,1.73,2.01,1.34,0.05,16.1,0.84,0.14,0.96,3.86,2.2,1.62,0.33,0.37,0.43,13.55,2.13,1.17,1.55,2.04,1.17,0.66,3.74,1.77,4.61,1.41,1.86,1.21,2.23,1.26,0.51,0.09,0.4,14.89,2.44,6.85,5.55,1.55,0.92,0.88,0.76,0.48,1.02,0.39,0.39,0.07,0.18,10.8,6.79,0.27,0.1,1.8,0.37,0.85,8.09,2.73,0.13,0.02,31.74
"2013_Atkinson,Kate_LifeAfterLife_BS.txt",CONT_NOV_3P,140043,13.48,17.22,81.68,0.14,54.39,13.04,9.04,1.01,0.27,0.94,5.58,1.23,4,8.37,14.62,8.5,9.01,3.66,0.91,4.06,13.43,5.84,1.69,2.1,0.79,0.06,13.16,0.36,0.13,1.24,4.69,2.68,1.96,0.41,0.59,0.52,14.25,2.07,0.79,1.8,2.62,1.26,0.55,4.47,2.17,3.93,1.01,1.9,0.83,2.47,1.08,0.51,0.15,0.76,13.78,1.96,6.94,4.9,0.96,0.89,0.95,0.94,0.38,0.27,0.45,0.17,0.14,0.27,6.66,6.8,0.01,0.01,0.84,0.09,1.3,0.06,7.9,0.39,0.03,24.07
