filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,Pronoun,I,We,Self,You,Other,Negate,Assent,Article,Preps,Number,Affect,Posemo,Posfeel,Optim,Negemo,Anx,Anger,Sad,Cogmech,Cause,Insight,Discrep,Inhib,Tentat,Certain,Senses,See,Hear,Feel,Social,Comm,Othref,Friends,Family,Humans,Time,Past,Present,Future,Space,Up,Down,Incl,Excl,Motion,Occup,School,Job,Achieve,Leisure,Home,Sports,TV,Music,Money,Metaph,Relig,Death,Physcal,Body,Sexual,Eating,Sleep,Groom,Swear,Nonfl,Fillers,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"1883_Beer,Adolf_DieOrientalischePolitikÖsterreichs.txt",DE_HIST,227728,23.17,34.78,50.12,1.27,3.1,0.15,0.12,0.27,0.41,2.64,1.2,0.08,12.62,10.42,0.45,3.62,2.52,0.09,0.81,1.09,0.12,0.24,0.27,5.31,1.22,1.41,0.88,0.41,0.44,1.13,0.09,0.06,0.01,0,4.49,1.17,3.35,0.08,0.15,0.13,2.89,3.6,1.55,0.65,8.69,0.89,0.17,5.52,1.38,0.74,3.67,0.88,1.28,2.1,0.98,0.23,0.44,0.14,0.21,0.89,0.57,0.44,0.13,0.43,0.37,0.01,0.03,0.01,0.03,0,0,0,4.59,7.36,0.2,0.67,0.02,0.03,5.97,0.19,1.09,0.38,0.63,18.71
"1883_Wellhausen,Julius_ProlegomenazurgeschichteIsraelsbd1.txt",DE_HIST,171555,16.1,26.49,56.21,4.59,4.94,0.28,0.23,0.51,0.87,3.93,1.49,0.06,13.04,9.49,0.62,3.13,1.99,0.09,0.51,1.13,0.11,0.44,0.21,5.63,1.54,1.44,0.94,0.25,0.57,1.21,0.09,0.04,0,0,6.31,0.87,4.94,0.04,0.45,0.36,3.8,2.94,4.52,0.83,8.32,1.02,0.16,6.26,2.07,0.66,3.35,0.57,1.07,2.16,1.03,0.41,0.29,0.11,0.21,0.55,1.21,1.07,0.16,0.55,0.41,0.01,0.11,0.03,0.04,0.01,0,0,6.54,8.44,0.36,0.71,0.11,0.06,4.03,0.16,0.45,0.92,0.43,21.29
"1884_Beck,Ludwig_DieGeschichtedesEisensbd1.txt",DE_HIST,365806,13.91,30.67,50.33,4.97,3.34,0.1,0.37,0.47,0.48,2.64,0.61,0.03,12.43,10.01,0.55,2.29,1.69,0.03,0.59,0.6,0.07,0.13,0.18,4.71,1.43,1.2,0.54,0.19,0.64,0.88,0.05,0.01,0.01,0.02,4.39,0.73,3.53,0.06,0.18,0.19,3.23,3.74,2.95,0.56,8.86,0.88,0.21,6.12,1.56,0.71,4.13,0.74,1.94,2.41,1.1,0.29,0.38,0.29,0.15,0.71,0.48,0.34,0.17,0.68,0.57,0.02,0.1,0.02,0.07,0,0,0,7.55,8.94,0.23,0.37,0.02,0.01,3.46,0.34,0.06,1.36,0.33,22.42
"1884_Haberer,Theodor_GeschichtedesEisenBahnwesensbd1.txt",DE_HIST,44865,21.29,36.79,52.41,2.55,1.41,0,0.08,0.08,0.27,1.25,0.6,0.06,15.66,10.01,0.72,2.67,2.02,0.03,1.01,0.65,0.11,0.08,0.18,4.8,1.23,1.26,0.46,0.46,0.58,1,0.05,0.04,0,0.01,2.82,0.78,1.79,0.21,0.1,0.15,3.21,3.71,2.15,0.65,8.92,1.03,0.22,6.06,1.28,1.3,6.22,1.21,3.21,3.32,1.18,0.21,0.49,0.38,0.14,1.27,0.35,0.23,0.12,0.3,0.19,0.01,0.03,0.02,0.07,0,0,0,5.24,6.99,0.33,1.08,0.01,0.02,9.64,0.03,0.14,0.47,0.67,20.79
"1884_Haeser,Heinrich_GrundrissderGeschichtederMedicin.txt",DE_HIST,129154,12.47,36.76,51.96,3.1,2.46,0.03,0.04,0.07,0.48,2.2,0.36,0.03,14.82,10.61,0.71,2.78,1.66,0.06,0.67,1.09,0.03,0.09,0.22,3.81,0.82,1.27,0.29,0.2,0.51,0.85,0.16,0.13,0.02,0,3.71,0.63,2.75,0.07,0.32,0.21,3.67,2.45,2.52,0.36,9.22,0.95,0.27,5.76,1.17,0.58,5.1,1.91,1.62,2.44,1.29,0.42,0.56,0.19,0.14,0.71,0.81,0.62,0.22,1.89,1.76,0.07,0.06,0.03,0.05,0.01,0,0,8.43,7.39,0.34,0.45,0.01,0.04,5.61,0.72,0.57,1.5,0.14,24.17
"1886_Tiele,Cornelis_Babylonisch-assyrischeGeschichte.txt",DE_HIST,258855,13.21,28.74,52.81,3,4.59,0.17,0.23,0.4,0.46,3.97,1.22,0.05,11.13,9.71,0.67,2.69,1.75,0.08,0.58,0.93,0.16,0.24,0.24,5.28,1,1.34,0.81,0.21,1.14,1.04,0.03,0.01,0.01,0,6.27,0.85,4.7,0.07,0.42,0.56,3.52,3.96,3.12,0.52,8.55,0.76,0.19,6.46,2.25,0.74,2.87,0.56,0.88,1.82,0.82,0.3,0.24,0.14,0.16,0.59,1.07,0.78,0.31,0.28,0.2,0.01,0.04,0.02,0.03,0,0,0,7.73,10.38,0.24,0.44,0.1,0.01,1.44,0.34,0.2,1.03,0.11,22.44
"1887_Brunner,Heinrich_DeutscheRechtsgeschichtebd1.txt",DE_HIST,171973,10.09,32.12,46.02,6.66,2.42,0.04,0.17,0.21,0.38,2.1,0.68,0.02,13.44,8.71,0.57,2.31,1.42,0.02,0.46,0.89,0.05,0.22,0.29,3.73,0.99,1.04,0.35,0.49,0.73,0.41,0.03,0.01,0.01,0.01,3.94,0.77,2.52,0.05,0.48,0.27,2.62,2.34,2.7,0.5,7.4,0.81,0.26,4.63,1.45,0.43,4.7,0.83,1.55,2.87,0.81,0.29,0.18,0.09,0.28,0.96,0.72,0.51,0.23,0.38,0.32,0.02,0.02,0.01,0.03,0.01,0,0,10.07,7.72,0.46,0.3,0.01,0,3.7,0.07,0.04,0.71,0.27,22.36
"1888_Kittel,Rudolph_GeschichtederHebräer.txt",DE_HIST,238666,9.15,24.49,48.9,6.43,4.72,0.15,0.44,0.58,0.5,3.89,1.08,0.08,9.98,9.63,0.53,2.74,1.69,0.07,0.6,1.05,0.14,0.29,0.28,4.85,1.14,1.42,0.76,0.2,0.74,0.91,0.07,0.06,0.01,0,6.06,0.83,4.79,0.07,0.38,0.25,3.42,2.4,3.68,0.65,8.44,0.91,0.24,5.76,1.73,0.67,3.3,0.82,0.95,1.86,0.91,0.35,0.27,0.14,0.17,0.51,0.8,0.62,0.2,0.39,0.31,0.01,0.04,0.04,0.02,0,0,0,11.8,8.13,0.37,0.67,0.11,0.05,3.45,0.23,1.04,1.04,1.62,27.98
"1888_Kupka,Peter_DieEisenbahnenÖsterreich-Ungarns.txt",DE_HIST,116571,18.23,34.11,47.83,5.1,1.4,0.02,0.05,0.07,0.32,1.29,0.52,0.14,13.54,10.89,0.6,1.83,1.26,0.02,0.5,0.56,0.07,0.08,0.15,4.12,0.99,0.86,0.4,0.39,0.52,1.05,0.05,0.02,0,0.03,2.64,0.61,1.86,0.39,0.05,0.09,4.21,2.71,1.56,0.89,9.16,1.07,0.22,5.36,1.26,1.02,4.59,0.89,2.31,2.42,0.86,0.24,0.32,0.24,0.08,1.32,0.2,0.14,0.06,0.27,0.19,0.01,0.02,0.02,0.07,0,0,0,5.88,6.81,0.19,1.01,0.01,0.01,9.13,0.33,0.07,0.71,0.73,21.39
"1890_Boeheim,Wendelin_HandbuchderWaffenkunde.txt",DE_HIST,169588,9.4,33.27,51.72,3.35,2.37,0.01,0.43,0.44,0.39,1.84,0.53,0.04,13.42,11.76,0.6,2.19,1.58,0.03,0.54,0.6,0.1,0.09,0.18,4.58,1.13,1.34,0.42,0.23,0.81,0.83,0.08,0.06,0.01,0,3.24,0.51,2.62,0.04,0.19,0.13,4.41,3.24,2.41,0.53,9.6,0.85,0.31,6.65,1.46,0.68,4.14,0.6,1.8,2.55,1.13,0.2,0.52,0.2,0.25,0.92,0.3,0.21,0.1,1.2,1.11,0.16,0.06,0.02,0.04,0.02,0,0,10.77,7.99,0.12,0.34,0.03,0.01,0,0.3,0.05,1.61,0.69,23.51
