filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"EN_1822_Hogg,James_ThreePerilsofMan_Novel.txt",EN_NOV,212251,22.9,15.47,80.75,0.13,57.82,15.17,10.5,2.54,0.57,1.52,4.29,1.57,4.67,8.77,10.71,6.54,5.27,3.24,1.13,3.05,14.34,7.47,1.37,2.61,1.06,0.06,11.91,0.31,0.18,0.82,4.89,2.93,1.94,0.39,0.67,0.5,14.55,1.35,0.81,1.14,1.87,1.45,0.61,5.89,2.3,2.98,1.05,1.22,0.59,2.2,1.45,0.35,0.21,0.29,12.23,1.97,6.23,3.99,0.54,1.49,0.49,0.42,0.28,0.74,0.25,0.09,0.12,0.15,3.39,8.7,0.23,1.24,0.48,0.59,0.76,2.52,1.61,0.56,0.02,20.3
"EN_1823_Cooper,JamesFenimore_ThePioneers_Novel.txt",EN_NOV,170828,24.29,18.25,82,0.01,57.22,12.51,7.87,1.82,0.39,1.24,3.52,0.89,4.64,11.01,10.79,6.91,4.94,3.88,1.1,3.34,15.35,6.46,1.24,2.32,0.95,0.02,10.2,0.35,0.18,1.05,4.87,2.96,1.89,0.39,0.54,0.6,13.38,1.6,1.02,1.1,1.93,1.19,0.64,4.86,2.07,3.12,1.09,1.04,0.81,1.94,1.22,0.36,0.09,0.3,13.04,1.87,6.54,4.53,1.02,1.21,0.58,0.42,0.67,0.6,0.21,0.1,0.15,0.11,3.26,9.41,0.17,1.24,0.4,0.49,1.25,3.27,1.15,0.02,0.02,20.18
"EN_1826_Cooper,JameFenimore_TheLastoftheMohicans_Novel.txt",EN_NOV,147219,24.85,19.81,81.02,0.03,56.36,11.85,7.67,0.85,0.55,0.7,3.98,1.59,4.18,11.44,9.55,6.15,4.74,3.03,1.02,3.33,15.5,6.48,1.15,2.34,0.68,0.03,10.93,0.29,0.27,0.79,5.58,2.84,2.69,0.6,0.97,0.68,13.29,1.79,0.99,0.99,1.9,0.98,0.8,4.94,1.77,3.34,1.17,1.3,0.64,2.09,1.5,0.33,0.11,0.2,12.94,2.11,6.29,4.59,0.79,1.4,0.56,0.15,0.23,0.42,0.32,0.04,0.11,0.15,3.27,8.69,0.12,1.05,0.3,0.48,0.49,2.82,0.4,0.01,0.04,17.46
"EN_1826_Disraeli,Benjamin_VivianGrey_Novel.txt",EN_NOV,192967,16.78,20.19,82.62,0.01,56.9,13.83,9.28,2.59,0.65,1.62,3.77,0.66,4.54,8.95,11.25,7.74,4.55,4.56,1.11,3.46,13.78,5.99,1.65,2.55,0.98,0.02,11.85,0.31,0.36,1.54,5.89,4.06,1.79,0.38,0.49,0.55,14.92,1.99,0.96,1.33,2.31,1.69,0.54,4.73,2.28,2.87,1.19,1.05,0.5,1.56,0.81,0.32,0.13,0.33,11.52,1.53,5.35,4.59,1.22,1.55,0.87,0.5,0.39,0.62,0.16,0.16,0.15,0.08,4.38,8.45,0.2,1.51,0.55,1.04,1,3.21,0.74,0.02,0.02,20.71
"EN_1836_Child,Lydia_Philothea_Novel.txt",EN_NOV,73213,20.55,22.46,80.16,0.08,53.63,12.83,8.89,2.07,0.34,1.13,4.44,0.92,3.94,8.92,10.25,6.24,5.03,3.46,0.95,2.6,15.07,6.26,1.14,2.05,0.64,0.01,11.98,0.57,0.31,0.75,6.51,4.59,1.85,0.49,0.45,0.52,13.85,2.01,1.07,1.19,1.65,1.41,0.65,4.93,1.83,3.47,1.21,1.51,0.54,1.88,1.07,0.37,0.24,0.21,11.52,2.01,5.27,4.36,0.66,1.35,0.82,0.69,0.4,1.09,0.33,0.06,0.08,0.16,4.33,8.06,0.26,1.59,0.26,0.28,0.54,2.86,0.46,0.01,0,18.42
"EN_1837_Disraeli,Benjamin_Venetia_Novel.txt",EN_NOV,160908,17.85,20.94,84,0,57.64,16.06,11.48,2.52,0.56,1.48,5.94,0.97,4.58,7.38,12.16,8.02,5.92,3.88,1.34,3.89,12.99,6.53,1.84,2.33,0.67,0.01,14.84,0.88,0.3,1.37,6.42,4.21,2.11,0.51,0.49,0.7,16.08,2.09,1.04,1.63,2.2,2.02,0.58,5.25,2.34,2.96,0.88,1.37,0.54,1.89,0.78,0.66,0.3,0.16,11.59,1.59,4.95,5.11,0.96,1.18,0.6,0.52,0.23,0.86,0.18,0.17,0.14,0.1,4.39,9.14,0.11,1.56,0.51,0.71,0.55,0.03,4.23,0.01,0,21.01
"EN_1837_Trollope,FrancesMilton_TheVicarofWrexham_Novel.txt",EN_NOV,169506,21.85,19.88,85.82,0.01,58.57,16.16,10.72,2.98,0.4,1.82,4.83,0.7,5.44,6.63,12.71,8.04,4.69,5,1.72,3.79,14.55,6.88,1.71,2.79,0.81,0.01,13.67,0.73,0.23,1.73,6.5,4.28,2.16,0.51,0.42,0.78,16.64,2.45,1.28,1.79,2.73,1.88,0.65,4.55,2.57,2.68,0.92,1.04,0.64,1.6,0.9,0.37,0.2,0.16,11.38,1.87,5.21,4.21,0.92,1.26,0.44,0.64,0.49,0.98,0.12,0.12,0.14,0.08,3.73,8.43,0.25,0.98,0.53,0.69,0.88,3.14,0.65,0.03,0,18.97
"EN_1838_Martineau,Harriet_Deerbrook_Novel.txt",EN_NOV,221584,18.17,15.99,88.63,0,61.25,16.4,10.9,2.55,0.74,1.66,4.76,1.19,5.5,6.24,15.94,10.2,6.09,6.31,1.95,4.27,14.25,6.98,2.21,2.85,0.82,0,14.27,0.7,0.23,1.81,6.22,4.01,2.15,0.55,0.37,0.76,17.79,2.42,1.14,2.59,3.12,1.94,0.56,4.74,3.11,3.13,1.35,1.24,0.49,1.55,0.65,0.51,0.19,0.22,12.54,1.93,5.51,4.93,0.77,1.04,0.56,0.7,0.41,0.4,0.2,0.2,0.15,0.09,4.62,7.1,0.39,1.01,0.53,0.42,0.78,3.4,0.83,0.03,0,18.81
"EN_1838_Poe,EdgarAllen_TheNarrativeofArthurGordonPym_Novel.txt",EN_NOV,100011,25.56,21.13,81.95,0.23,59,12.21,7.82,2.97,1.65,0.21,2.31,0.68,4.39,9.63,9.45,6.41,5.42,1.96,0.72,3.67,17.52,6.25,1.29,3.12,1.43,0.02,7.35,0.11,0.21,0.42,4.53,2.5,2,0.54,0.52,0.5,15.78,2.09,1.1,1.16,2.42,1.54,0.65,5.81,1.83,2.2,0.83,0.58,0.63,2.05,1.19,0.36,0.11,0.45,14.81,1.82,8.02,4.81,0.62,1.38,0.49,0.27,0.24,0.25,0.23,0.06,0.1,0.06,3.64,8.67,0.04,0.48,0.12,0.26,1.13,0.61,0.28,0.15,0.02,15.07
"EN_1843_Borrow,George_TheBibleinSpain_Novel.txt",EN_NOV,220948,27.27,19.74,82.04,0.02,59.11,14.57,9.5,3.88,0.95,0.89,2.66,1.13,5.07,9.41,10.61,7.05,5.22,3.58,0.91,3.23,15.64,6.32,1.35,2.5,1.23,0.02,9.69,0.26,0.25,0.69,3.9,2.4,1.48,0.29,0.44,0.38,13.7,1.58,0.83,1.05,2.06,1.1,0.53,5.41,1.96,2.27,0.79,0.95,0.41,1.37,0.79,0.24,0.07,0.31,13.66,1.95,7.28,4.32,1.01,1.16,0.68,0.53,0.6,0.85,0.16,0.05,0.1,0.08,3.38,9.02,0.25,1.1,0.3,0.17,0.57,1.65,0.23,0.07,0,16.59
