file.id,mean.char,sd.char,collection
74972_HillTobias_PlayingJapaneseChesswiththeElderMrsUchida_1970.txt,4.1937172775,1.9219404404,hp
64333_PapeGreg_DontWorry_1947.txt,4.1612903226,1.9661476812,hp
49575_MitchellAdrian_ApemanKeepThinkingItsWednesday_1932.txt,4.5494505495,2.0315942969,hp
71146_McMillanIan_MoonRiverLivesoftheGreatComedians_1956.txt,4.1049723757,1.9192092192,hp
57485_PlumppSterling_MaxwellSunday_1940.txt,4.6363636364,2.8199872623,hp
41117_HugoRichard_InYourWildDream_1923.txt,3.9209039548,1.6322263368,hp
41354_HugoRichard_InYourWildDream_1923.txt,3.9209039548,1.6322263368,hp
41103_HugoRichard_InYourSmallDream_1923.txt,4.0112359551,1.6501626835,hp
41351_HugoRichard_InYourSmallDream_1923.txt,4.0112359551,1.6501626835,hp
72577_KayJackie_Landslide_1961.txt,4.418079096,1.801297113,hp
65057_MeyerThomas_SHADESOFCFMEYER_1947.txt,3.96,1.7628347078,hp
52306_BarakaImamuAmiri_IfIntoLoveTheImageBurdens_1934.txt,4.3920454545,2.0838821788,hp
52630_BarakaImamuAmiri_IfIntoLovetheImageBurdens_1934.txt,4.3920454545,2.0838821788,hp
72987_MaxwellGlyn_IIITheHorsesMouthsPyrois_1962.txt,3.9176470588,1.7889322107,hp
35865_MerriamEve_TheCompanyAgent_1916.txt,4.0666666667,1.8417029942,hp
65841_AlexanderPamela_AFurPiece_1948.txt,4.1791907514,2.1693492309,hp
57681_BarnettAnthony_ACHINGBONES_1941.txt,4.9,2.8045820497,hp
46153_SnyderGary_FACTS_1930.txt,4.751552795,2.5199976585,hp
36610_GrahamWSWilliamSydney_IAMTOLDYOUSPEAKMYLANGUAGE_1918.txt,4.1616766467,1.95835364,hp
41093_HugoRichard_InYourWarDream_1923.txt,4.0120481928,1.6841073593,hp
41347_HugoRichard_InYourWarDream_1923.txt,4.0120481928,1.6841073593,hp
37116_DuncanRobertEdward_ABOOKOFRESEMBLANCES_1919.txt,4.4939759036,2.176310439,hp
67612_JacksonAngela_abeginningfornewbeginnings_1951.txt,3.8719512195,1.9695706231,hp
62103_GlckLouise_TheWound_1943.txt,4.1042944785,1.8679013672,hp
49191_MitchellAdrian_Questionnaire_1932.txt,3.3703703704,1.8613055222,hp
71313_McMillanIan_TwoMinersPassinOppositeDirectionsatDaybreak_1956.txt,4.08125,1.8461991382,hp
49386_MitchellAdrian_TimeandMotionStudy_1932.txt,3.9677419355,1.7147918538,hp
67389_DixonMelvin_HEARTBEATS_1950.txt,4.1096774194,1.3890468653,hp
51750_ScuphamPeter_Fin_1933.txt,5.1103896104,2.4187764646,hp
52200_BarakaImamuAmiri_ReturnoftheNative_1934.txt,3.9872611465,1.7722478163,hp
52463_BarakaImamuAmiri_RETURNOFTHENATIVE_1934.txt,3.9872611465,1.7722478163,hp
52657_BarakaImamuAmiri_ReturnoftheNative_1934.txt,3.9872611465,1.7722478163,hp
35147_MertonThomas_UNTITLED_1915.txt,4.3529411765,2.2926386437,hp
66141_FentonJames_LinesforTranslationintoAnyLanguage_1949.txt,4.8888888889,2.4509814241,hp
57541_PlumppSterling_LARiot_1940.txt,4.1879194631,2.2879505981,hp
57672_BarnettAnthony_POETSSPEAKEASY_1941.txt,4.4635761589,2.7465732212,hp
40552_SimpsonLouisAstonMarantz_Isidor_1923.txt,4.4666666667,2.2604467892,hp
59152_ClarkTom_ShetriedtotalkbutnowordscameThedoctorsmiledat_1941.txt,3.9432624113,1.9077775014,hp
