"title","id","collection"
"00010246.txt","pos","C20"
"00011022.txt","pos","C20"
"00011141.txt","neg","C20"
"00011148.txt","pos","C20"
"00011149.txt","neg","C20"
"00011156.txt","neg","C20"
"00010254.txt","pos","C20"
"00010256.txt","neg","C20"
"00010258.txt","neg","C20"
"00010261.txt","pos","C20"
"00010265.txt","pos","C20"
"00011026.txt","pos","C20"
"00011166.txt","neg","C20"
"00011169.txt","neg","C20"
"00010267.txt","neg","C20"
"00010268.txt","neg","C20"
"00010270.txt","neg","C20"
"00010272.txt","neg","C20"
"00010273.txt","pos","C20"
"00010275.txt","neg","C20"
"00010279.txt","pos","C20"
"00010280.txt","pos","C20"
"00011030.txt","pos","C20"
"00011191.txt","neg","C20"
"00011203.txt","pos","C20"
"00010286.txt","neg","C20"
"00010292.txt","neg","C20"
"00010293.txt","pos","C20"
"00010294.txt","neg","C20"
"00010298.txt","neg","C20"
"00010299.txt","pos","C20"
"00011031.txt","pos","C20"
"00011226.txt","pos","C20"
"00011234.txt","pos","C20"
"00011235.txt","pos","C20"
"00011242.txt","pos","C20"
"00010078.txt","neg","C20"
"00010080.txt","neg","C20"
"00010301.txt","neg","C20"
"00010302.txt","pos","C20"
"00010303.txt","neg","C20"
"00010307.txt","pos","C20"
"00010310.txt","pos","C20"
"00010312.txt","neg","C20"
"00010316.txt","neg","C20"
"00010320.txt","pos","C20"
"00010321.txt","pos","C20"
"00010322.txt","pos","C20"
"00010323.txt","pos","C20"
"00011100.txt","neg","C20"
"00011252.txt","pos","C20"
"00011255.txt","neg","C20"
"00011274.txt","neg","C20"
"00011277.txt","neg","C20"
"00010326.txt","neg","C20"
"00010328.txt","pos","C20"
"00010330.txt","neg","C20"
"00010333.txt","neg","C20"
"00010334.txt","neg","C20"
"00010336.txt","neg","C20"
"00010337.txt","pos","C20"
"00010341.txt","pos","C20"
"00011285.txt","neg","C20"
"00011298.txt","pos","C20"
"00011300.txt","pos","C20"
"00011302.txt","pos","C20"
"00011305.txt","neg","C20"
"00011311.txt","pos","C20"
"00010090.txt","neg","C20"
"00010344.txt","pos","C20"
"00010345.txt","neg","C20"
"00010346.txt","neg","C20"
"00010347.txt","pos","C20"
"00010350.txt","pos","C20"
"00010353.txt","neg","C20"
"00010355.txt","neg","C20"
"00010357.txt","neg","C20"
"00010358.txt","neg","C20"
"00010359.txt","neg","C20"
"00010361.txt","pos","C20"
"00010362.txt","neg","C20"
"00010364.txt","pos","C20"
"00010365.txt","pos","C20"
"00010366.txt","pos","C20"
"00011316.txt","neg","C20"
"00011323.txt","pos","C20"
"00011339.txt","neg","C20"
"00011349.txt","neg","C20"
"00010374.txt","pos","C20"
"00010375.txt","pos","C20"
"00010376.txt","pos","C20"
"00010377.txt","pos","C20"
"00010378.txt","neg","C20"
"00010379.txt","pos","C20"
"00010380.txt","neg","C20"
"00010382.txt","pos","C20"
"00010384.txt","pos","C20"
"00010385.txt","pos","C20"
"00010392.txt","pos","C20"
"00010393.txt","neg","C20"
"00010394.txt","pos","C20"
"00011043.txt","neg","C20"
"00011358.txt","pos","C20"
"00011383.txt","pos","C20"
"00011384.txt","neg","C20"
"00011385.txt","neg","C20"
"00010402.txt","pos","C20"
"00010403.txt","pos","C20"
"00010404.txt","pos","C20"
"00010405.txt","pos","C20"
"00010413.txt","pos","C20"
"00010415.txt","pos","C20"
"00010416.txt","neg","C20"
"00010417.txt","neg","C20"
"00010421.txt","pos","C20"
"00010422.txt","pos","C20"
"00010425.txt","pos","C20"
"00011046.txt","neg","C20"
"00011396.txt","pos","C20"
"00011404.txt","pos","C20"
"00011416.txt","neg","C20"
"00010430.txt","neg","C20"
"00010432.txt","pos","C20"
"00010435.txt","neg","C20"
"00010437.txt","neg","C20"
"00010439.txt","neg","C20"
"00010443.txt","neg","C20"
"00010446.txt","neg","C20"
"00010448.txt","pos","C20"
"00010449.txt","pos","C20"
"00010455.txt","neg","C20"
"00010460.txt","pos","C20"
"00010461.txt","pos","C20"
"00010462.txt","pos","C20"
"00011442.txt","pos","C20"
"00010465.txt","neg","C20"
"00010467.txt","neg","C20"
"00010470.txt","pos","C20"
"00010471.txt","pos","C20"
"00010476.txt","pos","C20"
"00010478.txt","neg","C20"
"00010479.txt","pos","C20"
"00010480.txt","pos","C20"
"00010481.txt","neg","C20"
"00010482.txt","pos","C20"
"00011462.txt","neg","C20"
"00011468.txt","neg","C20"
"00011469.txt","neg","C20"
"00011472.txt","pos","C20"
"00010483.txt","pos","C20"
"00010485.txt","neg","C20"
"00010486.txt","pos","C20"
"00010487.txt","pos","C20"
"00010488.txt","pos","C20"
"00010490.txt","pos","C20"
"00010494.txt","neg","C20"
"00010500.txt","neg","C20"
"00010502.txt","neg","C20"
"00010503.txt","pos","C20"
"00010507.txt","pos","C20"
"00010508.txt","neg","C20"
"00010509.txt","neg","C20"
"00010510.txt","pos","C20"
"00010511.txt","neg","C20"
"00011499.txt","pos","C20"
"00010514.txt","pos","C20"
"00010515.txt","neg","C20"
"00010519.txt","neg","C20"
"00010521.txt","pos","C20"
"00010525.txt","pos","C20"
"00010526.txt","neg","C20"
"00010529.txt","neg","C20"
"00010530.txt","neg","C20"
"00010531.txt","pos","C20"
"00010534.txt","pos","C20"
"00011519.txt","neg","C20"
"00011535.txt","neg","C20"
"00011545.txt","pos","C20"
"00011552.txt","pos","C20"
"00010537.txt","neg","C20"
"00010542.txt","neg","C20"
"00010543.txt","neg","C20"
"00010552.txt","pos","C20"
"00010554.txt","pos","C20"
"00010561.txt","pos","C20"
"00010562.txt","neg","C20"
"00010567.txt","neg","C20"
"00011061.txt","pos","C20"
"00011564.txt","pos","C20"
"00011575.txt","pos","C20"
"00011584.txt","pos","C20"
"00011591.txt","pos","C20"
"00010571.txt","neg","C20"
"00010572.txt","pos","C20"
"00010579.txt","pos","C20"
"00010582.txt","pos","C20"
"00010583.txt","neg","C20"
"00010586.txt","pos","C20"
"00010587.txt","neg","C20"
"00010588.txt","pos","C20"
"00010589.txt","pos","C20"
"00010592.txt","pos","C20"
"00011592.txt","pos","C20"
"00011593.txt","pos","C20"
"00011606.txt","pos","C20"
"00010151.txt","neg","C20"
"00010152.txt","neg","C20"
"00010156.txt","pos","C20"
"00010597.txt","pos","C20"
"00010598.txt","neg","C20"
"00010599.txt","pos","C20"
"00010603.txt","neg","C20"
"00010605.txt","pos","C20"
"00010609.txt","neg","C20"
"00010612.txt","pos","C20"
"00010613.txt","pos","C20"
"00010615.txt","pos","C20"
"00010617.txt","pos","C20"
"00010621.txt","neg","C20"
"00010622.txt","neg","C20"
"00010623.txt","pos","C20"
"00010625.txt","pos","C20"
"00010626.txt","pos","C20"
"00010627.txt","neg","C20"
"00011101.txt","neg","C20"
"00011664.txt","pos","C20"
"00010628.txt","pos","C20"
"00010632.txt","neg","C20"
"00010644.txt","neg","C20"
"00010645.txt","neg","C20"
"00010647.txt","neg","C20"
"00010653.txt","pos","C20"
"00010654.txt","pos","C20"
"00011675.txt","neg","C20"
"00011681.txt","neg","C20"
"00010658.txt","pos","C20"
"00010661.txt","pos","C20"
"00010662.txt","neg","C20"
"00010665.txt","neg","C20"
"00010670.txt","pos","C20"
"00010675.txt","pos","C20"
"00010679.txt","neg","C20"
"00010685.txt","neg","C20"
"00010688.txt","pos","C20"
"00010689.txt","neg","C20"
"00010690.txt","pos","C20"
"00010691.txt","neg","C20"
"00010692.txt","neg","C20"
"00010694.txt","pos","C20"
"00011074.txt","pos","C20"
"00011102.txt","pos","C20"
"00011703.txt","neg","C20"
"00011709.txt","neg","C20"
"00011711.txt","neg","C20"
"00010695.txt","pos","C20"
"00010700.txt","pos","C20"
"00010701.txt","neg","C20"
"00010702.txt","pos","C20"
"00010706.txt","pos","C20"
"00010710.txt","neg","C20"
"00010717.txt","neg","C20"
"00010722.txt","pos","C20"
"00010723.txt","neg","C20"
"00010724.txt","pos","C20"
"00010728.txt","pos","C20"
"00011724.txt","pos","C20"
"00011730.txt","pos","C20"
"00011736.txt","neg","C20"
"00010732.txt","pos","C20"
"00010733.txt","neg","C20"
"00010736.txt","pos","C20"
"00010743.txt","pos","C20"
"00010746.txt","pos","C20"
"00010756.txt","pos","C20"
"00010760.txt","pos","C20"
"00010761.txt","pos","C20"
"00011081.txt","pos","C20"
"00010778.txt","pos","C20"
"00010797.txt","pos","C20"
"00010767.txt","neg","C20"
"00011082.txt","neg","C20"
"00011775.txt","neg","C20"
"00011781.txt","pos","C20"
"00010790.txt","neg","C20"
"00011774.txt","neg","C20"
"00010782.txt","pos","C20"
"00011783.txt","pos","C20"
"00010791.txt","neg","C20"
"00010769.txt","pos","C20"
"00011083.txt","pos","C20"
"00010775.txt","neg","C20"
"00011762.txt","pos","C20"
"00010770.txt","neg","C20"
"00011773.txt","pos","C20"
"00010781.txt","pos","C20"
"00011782.txt","pos","C20"
"00010795.txt","pos","C20"
"00010766.txt","neg","C20"
"00010777.txt","neg","C20"
"00010789.txt","neg","C20"
"00010779.txt","pos","C20"
"00011780.txt","pos","C20"
"00010780.txt","neg","C20"
"00010796.txt","neg","C20"
"00011790.txt","pos","C20"
"00010783.txt","pos","C20"
"00011779.txt","pos","C20"
"00010809.txt","pos","C20"
"00010826.txt","pos","C20"
"00010815.txt","pos","C20"
"00011806.txt","neg","C20"
"00011800.txt","pos","C20"
"00011798.txt","pos","C20"
"00011816.txt","neg","C20"
"00010805.txt","pos","C20"
"00010819.txt","pos","C20"
"00011793.txt","pos","C20"
"00010825.txt","pos","C20"
"00010806.txt","neg","C20"
"00011811.txt","pos","C20"
"00010803.txt","pos","C20"
"00010818.txt","neg","C20"
"00010813.txt","pos","C20"
"00011087.txt","pos","C20"
"00010798.txt","pos","C20"
"00010802.txt","neg","C20"
"00011809.txt","pos","C20"
"00010824.txt","pos","C20"
"00011819.txt","pos","C20"
"00010836.txt","pos","C20"
"00010807.txt","pos","C20"
"00011818.txt","pos","C20"
"00010831.txt","pos","C20"
"00010823.txt","neg","C20"
"00011802.txt","pos","C20"
"00010808.txt","neg","C20"
"00010833.txt","pos","C20"
"00011846.txt","pos","C20"
"00011845.txt","pos","C20"
"00010851.txt","pos","C20"
"00011826.txt","pos","C20"
"00011842.txt","pos","C20"
"00010874.txt","neg","C20"
"00010837.txt","neg","C20"
"00010860.txt","pos","C20"
"00010870.txt","neg","C20"
"00010847.txt","neg","C20"
"00011822.txt","pos","C20"
"00011838.txt","pos","C20"
"00010840.txt","neg","C20"
"00011843.txt","pos","C20"
"00011833.txt","pos","C20"
"00010842.txt","neg","C20"
"00010853.txt","neg","C20"
"00011831.txt","pos","C20"
"00011088.txt","neg","C20"
"00011835.txt","pos","C20"
"00010868.txt","pos","C20"
"00010839.txt","pos","C20"
"00011847.txt","pos","C20"
"00010871.txt","pos","C20"
"00011829.txt","neg","C20"
"00010854.txt","pos","C20"
"00010872.txt","pos","C20"
"00011844.txt","pos","C20"
"00010917.txt","neg","C20"
"00010891.txt","neg","C20"
"00011864.txt","pos","C20"
"00010916.txt","neg","C20"
"00011865.txt","neg","C20"
"00010909.txt","neg","C20"
"00010900.txt","neg","C20"
"00011874.txt","pos","C20"
"00011855.txt","pos","C20"
"00011850.txt","pos","C20"
"00010888.txt","neg","C20"
"00010889.txt","pos","C20"
"00010921.txt","pos","C20"
"00010911.txt","neg","C20"
"00010906.txt","pos","C20"
"00010892.txt","pos","C20"
"00011854.txt","pos","C20"
"00011870.txt","pos","C20"
"00010910.txt","neg","C20"
"00011858.txt","neg","C20"
"00010924.txt","pos","C20"
"00010881.txt","neg","C20"
"00011860.txt","neg","C20"
"00010915.txt","neg","C20"
"00010923.txt","neg","C20"
"00011849.txt","pos","C20"
"00010903.txt","pos","C20"
"00011868.txt","pos","C20"
"00011852.txt","neg","C20"
"00010961.txt","pos","C20"
"00011878.txt","pos","C20"
"00010928.txt","neg","C20"
"00010963.txt","pos","C20"
"00010949.txt","pos","C20"
"00010967.txt","neg","C20"
"00011894.txt","neg","C20"
"00010939.txt","pos","C20"
"00010934.txt","neg","C20"
"00010951.txt","neg","C20"
"00011879.txt","neg","C20"
"00011893.txt","pos","C20"
"00011892.txt","pos","C20"
"00010926.txt","pos","C20"
"00010931.txt","neg","C20"
"00010927.txt","neg","C20"
"00011884.txt","pos","C20"
"00011096.txt","pos","C20"
"00010960.txt","neg","C20"
"00010935.txt","neg","C20"
"00011885.txt","pos","C20"
"00011901.txt","neg","C20"
"00010946.txt","pos","C20"
"00010942.txt","pos","C20"
"00011890.txt","neg","C20"
"00010964.txt","pos","C20"
"00011900.txt","pos","C20"
"00011886.txt","pos","C20"
"00011010.txt","neg","C20"
"00010980.txt","neg","C20"
"00011008.txt","neg","C20"
"00010984.txt","pos","C20"
"00010986.txt","pos","C20"
"00011013.txt","pos","C20"
"00010988.txt","neg","C20"
"00011902.txt","pos","C20"
"00011909.txt","pos","C20"
"00011904.txt","neg","C20"
"00010976.txt","pos","C20"
"00011006.txt","neg","C20"
"00010974.txt","neg","C20"
"00011001.txt","neg","C20"
"00010995.txt","pos","C20"
"00010983.txt","pos","C20"
"00010985.txt","pos","C20"
"00011000.txt","neg","C20"
"00011002.txt","pos","C20"
"00011923.txt","neg","C20"
"00011012.txt","pos","C20"
"00011003.txt","neg","C20"
"00011913.txt","pos","C20"
"00011004.txt","neg","C20"
"00011911.txt","pos","C20"
"00011932.txt","neg","C20"
"00010989.txt","pos","C20"
"00011912.txt","pos","C20"
"00011933.txt","pos","C20"
"00010994.txt","neg","C20"
"00020023.txt","neg","C20"
"00020033.txt","pos","C20"
"00020037.txt","neg","C20"
"00020039.txt","pos","C20"
"00023466.txt","pos","C20"
"00020008.txt","pos","C20"
"00020015.txt","neg","C20"
"00020016.txt","neg","C20"
"00020022.txt","pos","C20"
"00020006.txt","neg","C20"
"00020001.txt","neg","C20"
"00023467.txt","pos","C20"
"00020013.txt","neg","C20"
"00020012.txt","pos","C20"
"00020034.txt","neg","C20"
"00020040.txt","neg","C20"
"00020036.txt","neg","C20"
"00020014.txt","neg","C20"
"00020010.txt","neg","C20"
"00020018.txt","pos","C20"
"00020031.txt","pos","C20"
"00020030.txt","neg","C20"
"00023464.txt","pos","C20"
"00020024.txt","pos","C20"
"00020003.txt","pos","C20"
"00020035.txt","pos","C20"
"00020032.txt","pos","C20"
"00020005.txt","neg","C20"
"00020028.txt","neg","C20"
"00020021.txt","pos","C20"
"00020062.txt","neg","C20"
"00020048.txt","pos","C20"
"00020065.txt","neg","C20"
"00020044.txt","pos","C20"
"00023468.txt","neg","C20"
"00020056.txt","pos","C20"
"00020069.txt","pos","C20"
"00020071.txt","pos","C20"
"00020080.txt","neg","C20"
"00020050.txt","neg","C20"
"00020072.txt","neg","C20"
"00020070.txt","pos","C20"
"00020052.txt","pos","C20"
"00020066.txt","neg","C20"
"00020051.txt","pos","C20"
"00020068.txt","pos","C20"
"00020060.txt","pos","C20"
"00020073.txt","neg","C20"
"00023471.txt","pos","C20"
"00020082.txt","neg","C20"
"00020045.txt","pos","C20"
"00020059.txt","neg","C20"
"00020058.txt","neg","C20"
"00020054.txt","neg","C20"
"00020047.txt","neg","C20"
"00020061.txt","pos","C20"
"00020055.txt","neg","C20"
