"","date","means","variable","date.adj"
"quest.line9","1875",0.0429911092493438,"quest.line",1910
"exclam9","1875",0.0100402247952756,"exclam",1910
"exclam.line9","1875",0.0618766331627297,"exclam.line",1910
"period9","1875",0.0364134869422572,"period",1910
"period.line9","1875",0.239410899212598,"period.line",1910
"comma9","1875",0.0812909393963255,"comma",1910
"comma.line9","1875",0.533925364461942,"comma.line",1910
"total9","1875",0.147800310944882,"total",1910
"total.line9","1875",0.966167938635171,"total.line",1910
"total.words10","1878",524.54039497307,"total.words",1913
"no.lines10","1878",70.0628366247756,"no.lines",1913
"quest10","1878",0.00555594393770197,"quest",1913
"quest.line10","1878",0.0368349633429084,"quest.line",1913
"exclam10","1878",0.00690974201328546,"exclam",1913
"exclam.line10","1878",0.0457720399712747,"exclam.line",1913
"period10","1878",0.0385097663087971,"period",1913
"period.line10","1878",0.275449843375224,"period.line",1913
"comma10","1878",0.0925350659910233,"comma",1913
"comma.line10","1878",0.673017154183124,"comma.line",1913
"total10","1878",0.159550552728905,"total",1913
"total.line10","1878",1.14789080718133,"total.line",1913
"total.words11","1879",248.993857493857,"total.words",1914
"no.lines11","1879",36.0737100737101,"no.lines",1914
"quest11","1879",0.00370604434336609,"quest",1914
"quest.line11","1879",0.0274500567592138,"quest.line",1914
"exclam11","1879",0.00339025780012285,"exclam",1914
"exclam.line11","1879",0.0213352938599509,"exclam.line",1914
"period11","1879",0.0522984753427518,"period",1914
"period.line11","1879",0.357781008144963,"period.line",1914
"comma11","1879",0.0912860769336609,"comma",1914
"comma.line11","1879",0.645634764201474,"comma.line",1914
"total11","1879",0.159399555651106,"total",1914
"total.line11","1879",1.11134007235872,"total.line",1914
"total.words12","1880",189.142857142857,"total.words",1915
"no.lines12","1880",26.4464285714286,"no.lines",1915
"quest12","1880",0.00368436110714286,"quest",1915
"quest.line12","1880",0.0263085467857143,"quest.line",1915
"exclam12","1880",0.0100844626071429,"exclam",1915
"exclam.line12","1880",0.0727895964285714,"exclam.line",1915
"period12","1880",0.0318030785714286,"period",1915
"period.line12","1880",0.542250278571429,"period.line",1915
"comma12","1880",0.1063222725,"comma",1915
"comma.line12","1880",1.10288693571429,"comma.line",1915
"total12","1880",0.173711307142857,"total",1915
"total.line12","1880",1.89267462142857,"total.line",1915
"total.words13","1881",259.305555555556,"total.words",1916
"no.lines13","1881",37.5648148148148,"no.lines",1916
"quest13","1881",0.00378316450925926,"quest",1916
"quest.line13","1881",0.025751353712963,"quest.line",1916
"exclam13","1881",0.017148876287037,"exclam",1916
"exclam.line13","1881",0.11894247962963,"exclam.line",1916
"period13","1881",0.0210203181666667,"period",1916
"period.line13","1881",0.1398284675,"period.line",1916
"comma13","1881",0.0881379647222222,"comma",1916
"comma.line13","1881",0.618196681296296,"comma.line",1916
"total13","1881",0.150839430462963,"total",1916
"total.line13","1881",1.04530625092593,"total.line",1916
"total.words14","1882",119.371052631579,"total.words",1917
"no.lines14","1882",21.3578947368421,"no.lines",1917
"quest14","1882",0.00308096811052632,"quest",1917
"quest.line14","1882",0.0209379246710526,"quest.line",1917
"exclam14","1882",0.0316955661394737,"exclam",1917
"exclam.line14","1882",0.181626410552632,"exclam.line",1917
"period14","1882",0.0278443960473684,"period",1917
"period.line14","1882",0.178691594263158,"period.line",1917
"comma14","1882",0.0861076384105263,"comma",1917
"comma.line14","1882",0.494767099342105,"comma.line",1917
"total14","1882",0.166172768289474,"total",1917
"total.line14","1882",0.974234854736842,"total.line",1917
"total.words15","1883",289.141176470588,"total.words",1918
"no.lines15","1883",49.0705882352941,"no.lines",1918
"quest15","1883",0.00501453157540107,"quest",1918
"quest.line15","1883",0.0275590276299465,"quest.line",1918
"exclam15","1883",0.0121884614235294,"exclam",1918
"exclam.line15","1883",0.0594919700748663,"exclam.line",1918
"period15","1883",0.0316588325508021,"period",1918
"period.line15","1883",0.173321618376471,"period.line",1918
"comma15","1883",0.0498596402320856,"comma",1918
"comma.line15","1883",0.284400416754011,"comma.line",1918
"total15","1883",0.110131520419251,"total",1918
"total.line15","1883",0.612062322213904,"total.line",1918
"total.words16","1884",98.4465408805032,"total.words",1919
