"","date","means","variable","date.adj"
"total.words","1766",333.932584269663,"total.words",1801
"no.lines","1766",48.5365168539326,"no.lines",1801
"quest","1766",0.00420778993820225,"quest",1801
"quest.line","1766",0.0282582826460674,"quest.line",1801
"exclam","1766",0.0134722070674157,"exclam",1801
"exclam.line","1766",0.0905630825224719,"exclam.line",1801
"period","1766",0.0271826862696629,"period",1801
"period.line","1766",0.184163854831461,"period.line",1801
"comma","1766",0.114094663539326,"comma",1801
"comma.line","1766",0.793981667977528,"comma.line",1801
"total","1766",0.193098135393258,"total",1801
"total.line","1766",1.33038283932584,"total.line",1801
"total.words1","1767",236.117647058824,"total.words",1802
"no.lines1","1767",34.3529411764706,"no.lines",1802
"quest1","1767",0.00183791241176471,"quest",1802
"quest.line1","1767",0.0121505188235294,"quest.line",1802
"exclam1","1767",0.00793717402941176,"exclam",1802
"exclam.line1","1767",0.0531800782352941,"exclam.line",1802
"period1","1767",0.0274400323529412,"period",1802
"period.line1","1767",0.191255273823529,"period.line",1802
"comma1","1767",0.0903094191176471,"comma",1802
"comma.line1","1767",0.630441888235294,"comma.line",1802
"total1","1767",0.155393647058824,"total",1802
"total.line1","1767",1.08102764411765,"total.line",1802
"total.words2","1768",228.706140350877,"total.words",1803
"no.lines2","1768",33.9539473684211,"no.lines",1803
"quest2","1768",0.00350705247807018,"quest",1803
"quest.line2","1768",0.0229345748245614,"quest.line",1803
"exclam2","1768",0.017952091627193,"exclam",1803
"exclam.line2","1768",0.120039775833333,"exclam.line",1803
"period2","1768",0.0310329258070175,"period",1803
"period.line2","1768",0.208503421184211,"period.line",1803
"comma2","1768",0.129008899122807,"comma",1803
"comma.line2","1768",0.902810413157895,"comma.line",1803
"total2","1768",0.210611050438596,"total",1803
"total.line2","1768",1.45915251184211,"total.line",1803
"total.words3","1769",197.395939086294,"total.words",1804
"no.lines3","1769",29.508883248731,"no.lines",1804
"quest3","1769",0.00344354038832487,"quest",1804
"quest.line3","1769",0.0230615964949239,"quest.line",1804
"exclam3","1769",0.0202801940837563,"exclam",1804
"exclam.line3","1769",0.153558453873096,"exclam.line",1804
"period3","1769",0.0274631247182741,"period",1804
"period.line3","1769",0.195900410507614,"period.line",1804
"comma3","1769",0.107623914213198,"comma",1804
"comma.line3","1769",0.777889420050761,"comma.line",1804
"total3","1769",0.18503590251269,"total",1804
"total.line3","1769",1.33885443274112,"total.line",1804
"total.words4","1770",224.084240687679,"total.words",1805
"no.lines4","1770",33.4765042979943,"no.lines",1805
"quest4","1770",0.00433462594326648,"quest",1805
"quest.line4","1770",0.0293967121335244,"quest.line",1805
"exclam4","1770",0.0201971313329513,"exclam",1805
"exclam.line4","1770",0.130284342160458,"exclam.line",1805
"period4","1770",0.0196064699954155,"period",1805
"period.line4","1770",0.13725267486533,"period.line",1805
"comma4","1770",0.110519358550143,"comma",1805
"comma.line4","1770",0.760024869398281,"comma.line",1805
"total4","1770",0.183536248080229,"total",1805
"total.line4","1770",1.25780206469914,"total.line",1805
"total.words5","1771",300.090909090909,"total.words",1806
"no.lines5","1771",53.1938502673797,"no.lines",1806
"quest5","1771",0.00424434707754011,"quest",1806
"quest.line5","1771",0.0260044001631016,"quest.line",1806
"exclam5","1771",0.00964331980748663,"exclam",1806
"exclam.line5","1771",0.0554537426096257,"exclam.line",1806
"period5","1771",0.0282157116176471,"period",1806
"period.line5","1771",0.163887713502674,"period.line",1806
"comma5","1771",0.126597227433155,"comma",1806
"comma.line5","1771",0.743539676470588,"comma.line",1806
"total5","1771",0.199631326229947,"total",1806
"total.line5","1771",1.17077511550802,"total.line",1806
"total.words6","1772",189.95126705653,"total.words",1807
"no.lines6","1772",27.0818713450292,"no.lines",1807
"quest6","1772",0.00628752847563353,"quest",1807
"quest.line6","1772",0.0451157509005848,"quest.line",1807
"exclam6","1772",0.0260092868148148,"exclam",1807
"exclam.line6","1772",0.17926429208577,"exclam.line",1807
"period6","1772",0.0276727462436647,"period",1807
"period.line6","1772",0.194359679044834,"period.line",1807
"comma6","1772",0.0953340258674464,"comma",1807
"comma.line6","1772",0.680018624366472,"comma.line",1807
"total6","1772",0.174824707738791,"total",1807
"total.line6","1772",1.23897163528265,"total.line",1807
"total.words7","1773",258.894736842105,"total.words",1808
"no.lines7","1773",38.5105263157895,"no.lines",1808
"quest7","1773",0.00349086174736842,"quest",1808
"quest.line7","1773",0.0246322346315789,"quest.line",1808
"exclam7","1773",0.0207541947894737,"exclam",1808
"exclam.line7","1773",0.140284383157895,"exclam.line",1808
"period7","1773",0.0321127125473684,"period",1808
"period.line7","1773",0.224209916105263,"period.line",1808
"comma7","1773",0.117202917894737,"comma",1808
"comma.line7","1773",0.817616626315789,"comma.line",1808
"total7","1773",0.201908954736842,"total",1808
"total.line7","1773",1.40561497789474,"total.line",1808
