Filename	Seg	WC	WPS	Sixltr	Dic	Numerals	funct	pronoun	ppron	i	we	you	shehe	they	ipron	article	verb	auxverb	past	present	future	adverb	preps	conj	negate	quant	number	swear	social	family	friend	humans	affect	posemo	negemo	anx	anger	sad	cogmech	insight	cause	discrep	tentat	certain	inhib	incl	excl	percept	see	hear	feel	bio	body	health	sexual	ingest	relativ	motion	space	time	work	achieve	leisure	home	money	relig	death	assent	nonfl	filler	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP	AllPct
1500_2002_Baker,Jo_Offcomer_CT.txt	1	1512	13.87	18.52	78.24	0.00	50.07	11.38	9.33	0.40	0.13	0.73	7.14	0.93	2.05	9.46	9.66	4.96	6.35	1.92	0.79	3.37	15.15	5.49	0.60	1.26	0.79	0.07	11.18	0.07	0.07	0.46	3.44	1.79	1.59	0.46	0.53	0.40	12.17	1.12	0.73	1.06	1.65	0.66	0.60	5.95	1.52	5.03	2.12	0.53	2.25	3.97	3.51	0.13	0.07	0.26	19.58	3.17	11.77	4.70	1.06	0.53	0.79	0.93	0.13	0.26	0.13	0.20	0.00	0.33	6.94	9.26	0.26	0.26	0.26	0.00	1.65	1.72	0.99	0.00	0.00	20.57
1500_2004_Weatherford,Jack_GenghisKhanandtheMakingoftheModernWorld_HIST.txt	1	1503	26.84	27.08	75.65	0.27	50.30	7.58	4.92	0.00	0.00	0.00	4.46	0.47	2.66	11.78	4.46	2.26	3.39	0.53	0.33	1.73	17.23	5.52	0.47	2.59	2.40	0.00	9.31	0.60	0.20	1.26	5.12	2.73	2.26	0.33	1.40	0.33	11.38	1.26	1.06	0.53	1.40	1.00	0.67	4.86	1.13	0.93	0.60	0.07	0.27	1.00	0.27	0.53	0.13	0.07	15.37	1.40	8.78	4.92	1.53	2.66	0.33	0.13	0.40	2.20	0.53	0.00	0.13	0.00	3.73	7.65	0.07	0.27	0.00	0.00	0.47	0.00	0.73	0.00	0.00	12.71
1500_2006_Grandin,Greg_EmpiresWorkshop_HIST.txt	1	1511	30.22	32.43	69.49	0.13	43.94	4.83	0.86	0.00	0.33	0.00	0.13	0.40	3.97	8.74	5.96	3.77	3.18	2.12	0.26	2.51	16.88	5.10	0.66	2.25	1.46	0.20	3.77	0.00	0.20	0.33	4.70	2.05	2.65	0.20	1.72	0.26	11.45	1.65	1.52	0.60	0.73	0.73	1.06	4.57	0.79	0.73	0.20	0.07	0.46	0.73	0.33	0.40	0.00	0.00	16.08	1.59	9.86	4.57	3.24	2.25	0.26	0.40	0.93	0.20	0.53	0.00	0.07	0.13	4.04	7.35	0.13	0.20	0.00	0.00	1.52	1.46	2.18	0.07	0.07	16.35
1500_2009_Edsel,RobertM_TheMonumentsMen_HIST.txt	1	1509	20.12	25.31	77.87	1.33	49.17	7.69	4.51	0.46	0.33	0.07	2.32	1.33	3.18	9.34	8.68	6.30	6.16	1.66	0.27	3.11	14.31	6.30	1.33	2.32	1.66	0.13	9.15	1.26	0.20	1.06	4.24	2.25	1.86	0.20	1.13	0.40	12.86	1.66	1.39	0.66	1.99	0.73	0.66	4.77	1.59	0.99	0.40	0.27	0.27	0.46	0.13	0.33	0.00	0.00	16.04	1.86	8.95	5.17	2.78	2.32	1.66	0.86	1.19	1.39	0.46	0.00	0.13	0.20	4.97	9.61	0.13	0.13	0.00	0.07	1.86	0.80	1.46	0.07	0.00	18.56
1500_2009_Jones,Michael_TheRetreat_HIST.txt	1	1501	17.87	31.11	63.69	3.20	37.38	5.13	3.40	1.33	0.47	0.00	1.27	0.33	1.73	7.00	5.13	3.00	2.33	2.33	0.20	1.47	14.72	4.73	0.40	1.67	1.13	0.00	6.26	0.13	0.20	0.47	6.40	2.47	3.80	0.27	2.40	0.40	9.86	1.20	1.67	0.33	0.80	0.40	0.47	4.00	0.60	0.93	0.47	0.13	0.13	0.67	0.27	0.27	0.00	0.13	14.99	1.00	7.13	6.26	1.20	1.93	1.00	0.07	0.40	0.20	0.93	0.00	0.00	0.00	5.93	3.93	2.80	0.13	0.00	0.20	3.93	0.00	2.60	0.00	0.00	18.25
1500_2009_Korda,Michael_WithWingsLikeEagles_HIST.txt	1	1504	40.65	24.73	79.59	0.66	52.66	7.05	2.66	0.20	0.60	0.13	0.93	0.80	4.39	10.24	10.24	6.52	5.25	3.26	0.86	3.26	17.42	7.11	1.13	2.59	0.47	0.00	6.18	0.13	0.00	0.73	7.91	2.59	5.32	0.40	3.39	1.00	14.16	1.60	1.40	1.46	2.93	0.93	0.80	4.39	2.46	0.86	0.40	0.33	0.07	0.40	0.13	0.20	0.07	0.00	13.96	1.80	6.78	5.45	1.46	2.06	0.73	0.20	0.47	1.13	0.80	0.00	0.07	0.13	2.39	8.05	0.00	0.13	0.20	0.00	0.73	1.46	0.66	0.60	0.20	14.76
1500_2009_Senor,Dan_StartUpNation_HIST.txt	1	1508	18.39	20.89	82.69	0.40	54.18	10.48	6.37	0.80	0.80	0.33	3.32	1.13	4.11	8.69	14.46	9.35	7.76	4.18	1.19	4.38	13.00	5.37	1.92	2.25	2.19	0.00	10.08	0.07	0.00	0.86	3.78	1.92	1.86	0.80	0.40	0.53	17.37	2.92	1.92	2.45	2.32	1.26	0.53	3.85	3.91	2.32	0.40	0.99	0.53	0.20	0.07	0.13	0.00	0.00	15.38	2.32	6.76	6.30	3.85	2.92	0.66	0.13	1.06	0.20	0.00	0.07	0.00	0.27	5.04	6.17	0.20	0.13	0.53	0.00	1.53	2.92	2.12	0.00	0.07	18.17
1500_2010_Alexander,Michelle_TheNewJimCrow_HIST.txt	1	1511	25.61	25.22	77.04	0.00	50.23	9.00	5.29	2.58	1.06	0.20	0.79	0.66	3.71	8.74	9.20	7.02	4.24	4.04	0.46	2.45	15.42	5.16	1.06	2.65	0.79	0.00	7.94	0.86	0.00	1.26	4.24	2.38	1.79	0.26	0.86	0.07	14.16	1.65	1.59	0.99	0.93	1.06	1.52	5.10	1.65	1.26	1.06	0.07	0.07	0.66	0.33	0.26	0.00	0.07	13.24	1.26	6.09	5.16	3.64	1.99	0.46	0.26	0.33	0.07	0.26	0.07	0.13	0.13	3.90	6.35	0.07	0.26	0.07	0.00	1.59	0.40	0.73	0.07	0.00	12.77
1500_2010_Asbridge,Thomas_TheCrusades_HIST.txt	1	1517	31.60	28.35	78.05	0.46	47.92	5.80	2.57	0.07	0.07	0.00	1.58	0.86	3.23	10.35	6.20	3.89	3.96	1.65	0.46	1.78	17.14	7.91	0.13	1.71	1.58	0.20	5.34	0.07	0.07	0.46	6.33	2.90	3.36	0.86	1.98	0.26	13.97	2.18	2.11	0.46	1.25	0.92	0.66	5.74	1.19	0.46	0.00	0.13	0.07	0.86	0.46	0.26	0.07	0.13	14.77	1.52	7.38	5.87	1.19	1.85	0.33	0.13	0.46	4.68	0.53	0.00	0.07	0.07	3.23	4.94	0.26	0.66	0.26	0.00	2.90	0.00	1.25	0.40	0.07	13.25
1500_2010_Blum,Deborah_ThePoisonersHandbook_HIST.txt	1	1509	22.52	32.47	72.76	0.93	44.14	4.57	2.12	0.07	0.07	0.07	0.99	0.93	2.45	10.01	7.22	4.57	5.10	0.93	0.46	2.58	14.98	5.57	0.66	1.99	1.52	0.00	4.57	0.13	0.00	0.40	6.30	1.59	4.71	0.27	3.58	0.60	11.73	2.72	1.52	0.40	1.33	0.33	0.46	4.17	0.93	0.80	0.40	0.00	0.27	4.64	0.46	3.51	0.00	0.66	14.58	1.79	6.89	5.83	4.17	2.12	0.99	0.07	0.53	0.33	2.05	0.00	0.00	0.13	4.77	6.76	0.07	0.53	0.00	0.00	1.72	0.80	0.73	0.33	0.00	15.24
