Filename	Seg	WC	WPS	Sixltr	Dic	Numerals	funct	pronoun	ppron	i	we	you	shehe	they	ipron	article	verb	auxverb	past	present	future	adverb	preps	conj	negate	quant	number	swear	social	family	friend	humans	affect	posemo	negemo	anx	anger	sad	cogmech	insight	cause	discrep	tentat	certain	inhib	incl	excl	percept	see	hear	feel	bio	body	health	sexual	ingest	relativ	motion	space	time	work	achieve	leisure	home	money	relig	death	assent	nonfl	filler	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP	AllPct
1000_2002_Baker,Jo_Offcomer_CT.txt	1	1011	16.05	19.98	74.98	0.00	48.96	10.48	8.61	0.00	0.00	0.00	8.01	0.59	1.88	9.69	8.31	4.35	6.03	0.99	0.99	2.27	16.32	5.14	0.30	0.89	0.89	0.10	9.99	0.10	0.10	0.30	2.57	1.09	1.38	0.40	0.69	0.30	10.88	0.89	0.49	0.99	1.38	0.20	0.59	5.84	0.99	5.14	2.08	0.30	2.67	4.55	4.06	0.10	0.10	0.30	19.98	3.17	12.76	4.06	1.19	0.59	1.09	1.09	0.20	0.00	0.20	0.10	0.00	0.40	6.23	9.20	0.20	0.20	0.00	0.00	2.27	0.00	0.59	0.00	0.00	17.61
1000_2004_Weatherford,Jack_GenghisKhanandtheMakingoftheModernWorld_HIST.txt	1	1002	25.69	26.15	76.85	0.10	50.60	9.18	6.39	0.00	0.00	0.00	5.79	0.60	2.79	11.98	5.09	2.40	4.09	0.60	0.40	1.80	16.37	5.69	0.40	2.20	1.80	0.00	11.18	0.70	0.30	1.20	5.49	2.79	2.50	0.50	1.60	0.40	11.28	1.50	1.00	0.60	1.20	0.90	0.80	4.89	0.90	1.20	0.80	0.10	0.30	1.20	0.40	0.50	0.20	0.10	15.37	2.10	7.68	5.39	1.00	2.40	0.40	0.20	0.00	3.19	0.80	0.00	0.00	0.00	3.89	6.99	0.10	0.30	0.00	0.00	0.40	0.00	0.70	0.00	0.00	12.18
1000_2006_Grandin,Greg_EmpiresWorkshop_HIST.txt	1	1004	28.69	31.57	69.42	0.20	44.32	5.38	1.10	0.00	0.50	0.00	0.10	0.50	4.28	8.76	6.57	3.98	3.49	2.29	0.40	2.49	16.33	5.38	0.90	2.19	1.49	0.20	4.18	0.00	0.30	0.40	4.38	2.29	2.09	0.10	1.39	0.20	12.15	1.89	1.29	0.90	1.00	0.80	0.80	4.58	1.00	0.80	0.30	0.10	0.40	0.30	0.10	0.20	0.00	0.00	16.33	1.79	9.66	4.98	2.89	2.29	0.40	0.40	0.80	0.10	0.50	0.00	0.10	0.20	4.28	7.47	0.20	0.00	0.00	0.00	0.90	1.99	1.79	0.10	0.00	16.43
1000_2009_Edsel,RobertM_TheMonumentsMen_HIST.txt	1	1007	22.89	25.02	76.66	1.49	49.06	8.34	4.67	0.60	0.50	0.10	1.79	1.69	3.67	9.04	8.84	6.45	5.96	2.09	0.40	2.98	13.90	6.95	1.29	2.28	1.29	0.20	9.24	1.09	0.20	1.09	4.67	2.38	2.09	0.20	1.09	0.60	13.90	1.89	1.59	0.60	2.28	0.79	0.70	4.97	1.69	0.70	0.20	0.30	0.20	0.40	0.20	0.20	0.00	0.00	15.09	1.69	8.44	5.26	2.68	2.68	1.49	0.70	1.19	1.09	0.60	0.00	0.20	0.30	4.37	10.43	0.10	0.10	0.00	0.10	1.89	0.99	1.29	0.00	0.00	18.57
1000_2009_Jones,Michael_TheRetreat_HIST.txt	1	988	23.52	27.94	69.94	1.01	46.36	7.49	4.96	2.02	0.61	0.00	1.82	0.51	2.53	9.21	6.98	4.35	3.34	3.04	0.20	2.13	16.09	6.07	0.40	2.13	0.71	0.00	7.39	0.20	0.30	0.61	6.78	2.94	3.74	0.30	2.43	0.20	10.73	1.11	1.52	0.40	0.81	0.51	0.20	5.26	0.61	1.01	0.40	0.20	0.20	0.71	0.30	0.30	0.00	0.10	12.55	1.11	7.49	3.64	1.32	1.62	1.11	0.10	0.51	0.30	1.32	0.00	0.00	0.00	4.66	5.16	0.10	0.10	0.00	0.10	2.33	0.00	2.43	0.00	0.00	14.57
1000_2009_Korda,Michael_WithWingsLikeEagles_HIST.txt	1	1002	45.55	25.45	81.44	0.50	52.89	6.49	2.00	0.10	0.50	0.20	0.30	0.90	4.49	11.38	8.68	4.99	4.39	2.89	0.50	2.99	18.76	6.59	0.90	3.19	0.50	0.00	5.89	0.00	0.00	0.80	8.78	2.40	6.39	0.40	4.29	1.40	13.17	1.70	1.60	0.80	2.59	0.90	1.00	4.09	2.10	1.10	0.50	0.40	0.10	0.50	0.20	0.20	0.10	0.00	15.17	1.70	7.58	5.99	1.30	2.40	0.60	0.20	0.50	1.00	0.90	0.00	0.00	0.20	2.40	8.68	0.00	0.10	0.00	0.00	0.60	1.60	0.50	0.70	0.20	15.27
1000_2009_Senor,Dan_StartUpNation_HIST.txt	1	1007	19.75	21.15	83.22	0.60	54.32	9.33	5.36	0.50	0.50	0.30	3.48	0.60	3.97	9.04	13.70	9.63	7.35	3.57	1.39	3.97	13.31	5.36	1.99	2.28	2.48	0.00	8.74	0.00	0.00	0.99	4.27	2.28	1.99	0.79	0.40	0.60	17.48	2.98	2.09	2.98	2.58	1.39	0.60	3.28	3.97	1.99	0.40	0.60	0.50	0.20	0.10	0.10	0.00	0.00	14.80	2.18	6.36	6.26	3.77	3.28	0.60	0.10	1.09	0.30	0.00	0.00	0.00	0.30	4.57	5.96	0.30	0.10	0.70	0.00	1.99	2.28	2.28	0.00	0.10	17.58
1000_2010_Alexander,Michelle_TheNewJimCrow_HIST.txt	1	1007	25.17	23.34	77.46	0.00	50.05	8.64	5.36	2.09	1.29	0.20	1.19	0.60	3.28	8.84	9.43	7.25	4.17	4.17	0.60	2.18	15.59	5.16	1.09	2.48	0.70	0.00	8.54	1.29	0.00	1.39	4.87	3.08	1.79	0.20	1.09	0.00	13.31	1.29	1.59	1.19	0.79	0.99	1.19	4.97	1.49	1.69	1.49	0.10	0.10	0.79	0.40	0.30	0.00	0.10	13.70	1.39	5.76	6.16	3.18	1.79	0.70	0.30	0.40	0.00	0.30	0.00	0.00	0.20	3.97	6.36	0.10	0.20	0.10	0.00	1.39	0.40	0.79	0.00	0.00	12.61
1000_2010_Asbridge,Thomas_TheCrusades_HIST.txt	1	1011	32.61	31.65	77.15	0.30	46.29	4.25	1.78	0.10	0.10	0.00	0.59	0.99	2.47	10.48	4.95	3.17	2.77	1.88	0.30	1.48	17.41	8.61	0.00	1.48	1.68	0.10	3.96	0.00	0.10	0.30	6.53	3.07	3.46	0.59	2.27	0.30	14.34	2.08	2.18	0.20	1.58	0.79	0.99	6.43	1.09	0.40	0.00	0.10	0.00	0.69	0.30	0.20	0.00	0.20	13.75	1.38	7.22	5.14	1.38	2.08	0.49	0.20	0.69	5.54	0.49	0.00	0.10	0.00	2.97	5.14	0.30	0.89	0.30	0.00	2.97	0.00	0.49	0.40	0.10	12.86
1000_2010_Blum,Deborah_ThePoisonersHandbook_HIST.txt	1	1005	21.85	34.13	72.34	1.29	43.98	3.98	1.49	0.10	0.10	0.10	0.60	0.60	2.49	10.15	7.16	4.98	4.88	0.90	0.50	2.89	14.63	5.57	0.90	2.19	1.19	0.00	3.28	0.20	0.00	0.40	7.66	2.09	5.57	0.20	4.18	0.80	12.54	3.18	2.19	0.30	1.39	0.30	0.30	4.08	0.90	0.60	0.30	0.00	0.10	5.07	0.40	4.08	0.00	0.60	12.44	1.49	5.77	4.98	4.38	2.09	1.00	0.10	0.70	0.20	1.99	0.00	0.00	0.20	5.07	7.36	0.10	0.80	0.00	0.00	1.69	0.80	0.80	0.40	0.00	16.62
