Filename	Seg	WC	WPS	Sixltr	Dic	Numerals	funct	pronoun	ppron	i	we	you	shehe	they	ipron	article	verb	auxverb	past	present	future	adverb	preps	conj	negate	quant	number	swear	social	family	friend	humans	affect	posemo	negemo	anx	anger	sad	cogmech	insight	cause	discrep	tentat	certain	inhib	incl	excl	percept	see	hear	feel	bio	body	health	sexual	ingest	relativ	motion	space	time	work	achieve	leisure	home	money	relig	death	assent	nonfl	filler	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP	AllPct
100_2014_Baptist,EdwardE_TheHalfHasNeverBeenTold_HIST.txt	1	100	14.29	20.00	78.00	3.00	49.00	7.00	6.00	0.00	0.00	0.00	6.00	0.00	1.00	13.00	6.00	4.00	5.00	1.00	0.00	2.00	19.00	4.00	0.00	0.00	1.00	0.00	6.00	0.00	0.00	0.00	3.00	2.00	1.00	0.00	0.00	0.00	5.00	2.00	0.00	0.00	1.00	0.00	0.00	1.00	2.00	2.00	1.00	0.00	1.00	4.00	2.00	1.00	1.00	0.00	30.00	4.00	14.00	11.00	0.00	0.00	1.00	3.00	1.00	0.00	0.00	0.00	0.00	0.00	7.00	6.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	14.00
100_2014_Barthelme,Frederick_ThereMustBeSomeMistake_CT.txt	1	100	25.00	17.00	87.00	1.00	60.00	14.00	11.00	6.00	0.00	0.00	5.00	0.00	3.00	11.00	13.00	8.00	12.00	0.00	0.00	3.00	14.00	7.00	1.00	1.00	5.00	0.00	11.00	0.00	2.00	2.00	6.00	5.00	1.00	0.00	1.00	0.00	9.00	1.00	1.00	0.00	0.00	0.00	0.00	7.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.00	1.00	12.00	9.00	3.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	4.00	9.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	15.00
100_2014_Bausch,Robert_FarastheEyecanSee_CT.txt	1	100	25.00	9.00	91.00	1.00	60.00	18.00	10.00	2.00	0.00	7.00	0.00	1.00	8.00	7.00	14.00	8.00	3.00	11.00	0.00	7.00	14.00	8.00	3.00	2.00	2.00	0.00	9.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	13.00	4.00	2.00	0.00	1.00	1.00	0.00	4.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	28.00	3.00	15.00	8.00	1.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	19.00
100_2014_Baxter,Greg_MunichAirport_CT.txt	1	101	33.67	25.74	73.27	0.00	53.47	5.94	1.98	0.00	1.98	0.00	0.00	0.00	3.96	10.89	11.88	9.90	3.96	3.96	1.98	5.94	12.87	6.93	0.99	2.97	0.99	0.00	2.97	0.00	0.00	0.00	0.99	0.99	0.00	0.00	0.00	0.00	11.88	0.00	0.99	0.99	0.99	0.99	1.98	3.96	2.97	0.99	0.99	0.00	0.00	1.98	0.99	0.00	0.00	0.99	20.79	1.98	11.88	5.94	1.98	0.00	0.99	0.00	0.99	0.00	0.00	0.00	0.00	0.00	2.97	13.86	0.00	0.00	0.00	0.00	1.98	0.00	2.97	0.00	0.00	20.79
100_2014_Beattie,Owen_FrozeninTime_HIST.txt	1	101	50.50	30.69	55.45	3.96	39.60	1.98	0.00	0.00	0.00	0.00	0.00	0.00	1.98	11.88	2.97	2.97	0.99	1.98	0.00	2.97	15.84	1.98	0.00	0.99	0.99	0.00	0.99	0.00	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	3.96	0.00	0.00	0.00	0.99	0.00	0.00	2.97	0.00	0.99	0.99	0.00	0.00	1.98	0.99	0.00	0.00	0.99	15.84	0.99	12.87	1.98	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.96	7.92	0.00	0.00	0.00	0.00	1.98	0.00	0.99	1.98	0.00	17.82
100_2014_Bezmozgis,David_TheBetrayers_CT.txt	1	100	25.00	29.00	74.00	0.00	43.00	8.00	4.00	0.00	0.00	0.00	3.00	1.00	4.00	14.00	5.00	3.00	5.00	0.00	0.00	0.00	11.00	4.00	0.00	1.00	2.00	0.00	13.00	0.00	0.00	2.00	7.00	3.00	4.00	2.00	2.00	0.00	11.00	1.00	0.00	0.00	2.00	0.00	2.00	5.00	0.00	2.00	2.00	0.00	0.00	2.00	0.00	2.00	0.00	0.00	8.00	1.00	4.00	3.00	0.00	2.00	3.00	0.00	0.00	2.00	1.00	0.00	0.00	0.00	4.00	7.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.00
100_2014_Billingham,Mark_TheBonesBeneath_CT.txt	1	100	12.50	24.00	84.00	0.00	57.00	16.00	11.00	1.00	0.00	0.00	7.00	3.00	5.00	7.00	11.00	8.00	5.00	1.00	0.00	7.00	15.00	4.00	2.00	4.00	1.00	1.00	10.00	0.00	0.00	0.00	2.00	0.00	2.00	1.00	0.00	0.00	23.00	8.00	1.00	1.00	6.00	3.00	1.00	5.00	2.00	3.00	2.00	0.00	1.00	4.00	3.00	0.00	0.00	1.00	16.00	1.00	13.00	2.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1.00	7.00	6.00	0.00	0.00	1.00	0.00	0.00	0.00	2.00	0.00	0.00	16.00
100_2014_BirdWilson,Lisa_JustPretending_CT.txt	1	100	14.29	15.00	88.00	0.00	56.00	16.00	12.00	0.00	0.00	0.00	12.00	0.00	4.00	12.00	9.00	5.00	3.00	4.00	0.00	3.00	14.00	4.00	3.00	3.00	1.00	0.00	22.00	2.00	0.00	1.00	3.00	2.00	1.00	0.00	1.00	0.00	7.00	1.00	0.00	1.00	0.00	0.00	0.00	3.00	0.00	7.00	2.00	3.00	1.00	7.00	4.00	0.00	1.00	2.00	14.00	2.00	9.00	3.00	0.00	1.00	2.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	7.00	10.00	0.00	0.00	0.00	0.00	0.00	4.00	3.00	0.00	0.00	24.00
100_2014_Black,Benjamin_TheBlackEyedBlonde_CT.txt	1	100	20.00	15.00	85.00	1.00	51.00	11.00	6.00	3.00	1.00	1.00	1.00	0.00	5.00	12.00	9.00	5.00	4.00	4.00	0.00	2.00	16.00	4.00	1.00	1.00	1.00	0.00	7.00	1.00	0.00	2.00	2.00	1.00	1.00	0.00	1.00	0.00	12.00	2.00	1.00	1.00	4.00	0.00	2.00	4.00	2.00	5.00	4.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	21.00	2.00	12.00	7.00	3.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	7.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	13.00
100_2014_Bolger,Daniel_WhyWeLost_HIST.txt	1	100	12.50	16.00	75.00	0.00	51.00	8.00	6.00	0.00	0.00	1.00	1.00	4.00	2.00	8.00	9.00	7.00	7.00	1.00	0.00	4.00	15.00	3.00	1.00	2.00	3.00	0.00	10.00	0.00	0.00	0.00	4.00	1.00	3.00	0.00	3.00	0.00	12.00	0.00	2.00	1.00	3.00	0.00	0.00	5.00	1.00	6.00	4.00	0.00	2.00	1.00	1.00	0.00	0.00	0.00	14.00	4.00	8.00	3.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00	9.00	7.00	2.00	0.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	22.00
