Filename	Seg	WC	WPS	Sixltr	Dic	Numerals	funct	pronoun	ppron	i	we	you	shehe	they	ipron	article	verb	auxverb	past	present	future	adverb	preps	conj	negate	quant	number	swear	social	family	friend	humans	affect	posemo	negemo	anx	anger	sad	cogmech	insight	cause	discrep	tentat	certain	inhib	incl	excl	percept	see	hear	feel	bio	body	health	sexual	ingest	relativ	motion	space	time	work	achieve	leisure	home	money	relig	death	assent	nonfl	filler	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP	AllPct
500_2002_Baker,Jo_Offcomer_CT.txt	1	507	19.50	17.95	75.15	0.00	50.49	10.85	8.28	0.00	0.00	0.00	8.09	0.20	2.56	11.05	6.71	3.16	5.52	0.39	0.59	1.97	16.77	5.92	0.00	0.79	0.99	0.20	9.27	0.00	0.00	0.20	2.56	0.99	1.58	0.39	0.79	0.39	10.65	0.99	0.39	0.59	1.58	0.20	0.59	6.31	0.99	5.33	1.78	0.20	3.55	5.13	5.13	0.00	0.00	0.00	19.33	2.56	13.02	3.55	1.18	0.20	1.18	2.17	0.20	0.00	0.20	0.20	0.00	0.00	5.13	10.26	0.00	0.20	0.00	0.00	2.76	0.00	0.20	0.00	0.00	17.16
500_2004_Weatherford,Jack_GenghisKhanandtheMakingoftheModernWorld_HIST.txt	1	501	26.37	26.55	74.85	0.20	49.90	6.99	4.39	0.00	0.00	0.00	3.79	0.60	2.59	14.37	3.39	1.40	3.19	0.20	0.00	2.00	16.97	5.39	0.40	1.60	2.20	0.00	5.99	0.00	0.00	0.40	4.19	2.99	1.20	0.00	0.80	0.40	9.58	1.20	0.80	0.00	0.60	1.00	1.20	3.99	1.00	2.20	1.40	0.20	0.60	1.20	0.80	0.40	0.00	0.00	14.57	2.20	7.19	4.99	0.60	1.60	0.40	0.00	0.00	5.79	1.00	0.00	0.00	0.00	3.79	7.39	0.00	0.20	0.00	0.00	0.40	0.00	0.80	0.00	0.00	12.38
500_2006_Grandin,Greg_EmpiresWorkshop_HIST.txt	1	502	29.53	27.09	71.12	0.20	46.61	5.98	1.59	0.00	1.00	0.00	0.20	0.40	4.38	9.16	8.17	4.98	3.78	3.59	0.40	2.39	16.93	4.58	1.79	2.79	1.39	0.40	4.78	0.00	0.20	0.60	4.38	2.59	1.79	0.00	1.39	0.00	12.15	2.19	1.59	1.00	1.39	1.00	0.40	3.59	1.20	0.60	0.40	0.20	0.00	0.40	0.20	0.20	0.00	0.00	15.94	1.59	9.56	4.98	1.20	1.99	0.60	0.20	0.40	0.20	0.60	0.00	0.00	0.20	3.98	4.98	0.20	0.00	0.00	0.00	1.00	2.39	2.39	0.00	0.00	14.54
500_2009_Edsel,RobertM_TheMonumentsMen_HIST.txt	1	504	24.00	26.59	78.77	0.99	49.40	8.13	5.16	0.99	0.99	0.20	1.19	1.79	2.98	8.93	9.13	7.14	4.76	2.98	0.60	1.79	14.29	6.55	0.99	2.98	1.59	0.40	9.52	0.20	0.00	1.79	6.35	2.98	2.98	0.40	1.98	0.40	15.67	1.79	1.59	0.60	2.18	1.19	0.99	5.95	1.39	0.40	0.00	0.40	0.00	0.40	0.40	0.00	0.00	0.00	13.89	1.79	6.55	5.75	2.58	3.77	1.79	0.40	0.40	0.20	0.79	0.00	0.00	0.20	4.17	10.32	0.20	0.20	0.00	0.20	2.18	1.98	0.20	0.00	0.00	18.65
500_2009_Jones,Michael_TheRetreat_HIST.txt	1	494	22.45	24.29	72.87	1.82	46.36	7.89	4.25	0.40	1.21	0.00	2.43	0.20	3.64	10.32	6.48	3.64	4.25	1.01	0.40	1.82	16.60	4.25	0.61	2.02	1.21	0.00	8.70	0.00	0.20	1.21	8.30	2.83	5.47	0.40	3.24	0.40	8.50	1.42	1.21	0.40	0.61	1.01	0.20	2.83	0.81	1.82	0.81	0.40	0.20	0.81	0.61	0.20	0.00	0.00	15.38	1.42	8.30	5.06	1.21	2.63	0.40	0.20	0.20	0.40	1.62	0.00	0.00	0.00	4.45	5.26	0.20	0.00	0.00	0.20	2.43	0.00	2.83	0.00	0.00	14.98
500_2009_Korda,Michael_WithWingsLikeEagles_HIST.txt	1	502	45.64	23.71	81.67	0.80	52.79	6.77	1.99	0.00	0.40	0.00	0.20	1.39	4.78	10.56	7.37	4.18	3.78	2.99	0.20	2.99	18.33	7.37	1.20	3.78	0.80	0.00	6.18	0.00	0.00	1.00	8.17	2.99	5.18	0.20	3.19	1.59	11.55	1.39	1.00	0.00	1.99	0.60	0.40	5.18	2.19	1.39	0.60	0.80	0.00	1.00	0.40	0.40	0.20	0.00	18.73	2.59	7.97	8.37	1.39	3.19	0.80	0.00	0.00	0.60	0.80	0.00	0.00	0.20	2.39	10.56	0.00	0.00	0.00	0.00	1.20	0.80	0.80	0.40	0.40	16.53
500_2009_Senor,Dan_StartUpNation_HIST.txt	1	505	18.70	21.39	81.98	0.59	51.68	8.12	4.55	0.20	0.20	0.00	3.56	0.59	3.56	10.69	13.27	9.70	8.71	2.38	1.19	3.37	11.49	4.36	2.18	1.58	2.77	0.00	7.92	0.00	0.00	1.39	5.35	2.77	2.57	1.58	0.59	0.59	14.26	1.78	1.78	2.38	1.58	1.19	0.99	2.57	3.17	1.98	0.79	0.20	0.99	0.40	0.20	0.20	0.00	0.00	15.45	1.98	7.52	6.34	4.16	2.38	1.19	0.20	1.39	0.20	0.00	0.00	0.00	0.40	5.15	6.14	0.20	0.20	0.20	0.00	2.77	0.79	2.97	0.00	0.20	17.62
500_2010_Alexander,Michelle_TheNewJimCrow_HIST.txt	1	507	22.04	25.84	76.53	0.00	49.11	8.48	4.54	0.39	1.78	0.39	1.18	0.79	3.94	7.69	10.06	7.89	3.75	5.72	0.39	1.38	15.19	4.93	1.38	3.35	0.99	0.00	11.24	2.56	0.00	1.18	5.33	3.94	1.38	0.20	1.18	0.00	14.79	0.79	2.96	0.59	0.79	0.99	1.58	4.73	2.37	1.18	1.18	0.00	0.00	0.59	0.00	0.39	0.00	0.20	10.65	0.59	4.73	5.33	3.75	1.78	0.39	0.59	0.20	0.00	0.20	0.00	0.00	0.20	4.73	7.50	0.00	0.20	0.00	0.00	2.76	0.79	1.18	0.00	0.00	15.78
500_2010_Asbridge,Thomas_TheCrusades_HIST.txt	1	503	35.93	34.19	74.55	0.00	44.53	2.98	1.59	0.00	0.00	0.00	0.20	1.39	1.39	10.14	4.37	2.78	3.18	1.19	0.00	0.80	18.09	9.34	0.00	1.19	1.59	0.20	3.18	0.00	0.00	0.20	6.76	2.58	4.17	0.60	2.78	0.20	12.72	1.59	0.99	0.00	1.19	0.60	0.99	6.76	0.99	0.00	0.00	0.00	0.00	0.99	0.40	0.20	0.00	0.40	13.52	1.39	7.16	4.97	1.39	1.99	0.40	0.00	0.40	6.36	0.40	0.00	0.00	0.00	2.98	5.17	0.20	0.99	0.00	0.00	1.99	0.00	0.40	0.20	0.00	11.53
500_2010_Blum,Deborah_ThePoisonersHandbook_HIST.txt	1	502	20.92	32.47	71.12	1.79	43.82	5.58	1.59	0.00	0.20	0.20	0.40	0.80	3.98	9.16	8.76	5.98	5.58	1.20	0.80	2.99	12.55	5.58	1.39	1.79	1.59	0.00	3.19	0.20	0.00	0.40	8.37	2.39	5.98	0.40	3.59	1.39	12.55	3.78	2.59	0.40	1.79	0.20	0.00	2.59	1.20	0.40	0.20	0.00	0.00	4.58	0.20	3.98	0.00	0.40	11.75	1.59	5.18	4.78	3.59	1.79	0.40	0.00	0.80	0.20	1.59	0.00	0.00	0.40	5.78	5.58	0.20	1.00	0.00	0.00	1.99	0.80	0.60	0.80	0.00	16.53
