Filename	Seg	WC	WPS	Sixltr	Dic	Numerals	funct	pronoun	ppron	i	we	you	shehe	they	ipron	article	verb	auxverb	past	present	future	adverb	preps	conj	negate	quant	number	swear	social	family	friend	humans	affect	posemo	negemo	anx	anger	sad	cogmech	insight	cause	discrep	tentat	certain	inhib	incl	excl	percept	see	hear	feel	bio	body	health	sexual	ingest	relativ	motion	space	time	work	achieve	leisure	home	money	relig	death	assent	nonfl	filler	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP	AllPct
1250_2002_Baker,Jo_Offcomer_CT.txt	1	1261	14.17	19.03	77.32	0.00	50.04	11.26	9.36	0.40	0.16	0.71	7.53	0.56	1.90	9.36	9.36	4.92	5.87	1.90	0.95	3.25	15.46	5.23	0.63	1.43	0.71	0.08	11.34	0.08	0.08	0.56	3.17	1.67	1.43	0.48	0.56	0.32	11.74	0.95	0.63	1.03	1.59	0.63	0.63	5.79	1.43	4.60	1.82	0.40	2.30	4.20	3.73	0.16	0.08	0.24	19.59	3.09	11.66	4.76	1.11	0.56	0.87	0.95	0.16	0.24	0.16	0.16	0.00	0.32	6.90	9.36	0.32	0.32	0.16	0.00	1.82	1.43	1.03	0.00	0.00	20.46
1250_2004_Weatherford,Jack_GenghisKhanandtheMakingoftheModernWorld_HIST.txt	1	1252	26.64	26.28	75.56	0.24	50.48	8.07	5.51	0.00	0.00	0.00	4.95	0.56	2.56	12.06	4.47	2.00	3.59	0.56	0.32	1.84	17.09	5.83	0.40	2.56	2.00	0.00	10.14	0.72	0.24	1.36	5.19	2.56	2.48	0.40	1.60	0.40	10.86	1.20	0.96	0.48	1.20	1.04	0.64	4.79	1.04	1.12	0.72	0.08	0.32	1.04	0.32	0.48	0.16	0.08	15.10	1.68	7.83	5.43	0.88	2.40	0.32	0.16	0.00	2.56	0.64	0.00	0.08	0.00	3.75	7.35	0.08	0.32	0.00	0.00	0.40	0.00	0.72	0.00	0.00	12.46
1250_2006_Grandin,Greg_EmpiresWorkshop_HIST.txt	1	1261	29.33	32.20	68.68	0.16	43.46	5.08	0.95	0.00	0.40	0.00	0.16	0.40	4.12	8.64	6.03	3.89	3.25	2.14	0.32	2.30	16.42	5.15	0.71	2.14	1.43	0.24	3.89	0.00	0.24	0.40	4.60	2.14	2.46	0.24	1.51	0.24	11.58	1.67	1.27	0.71	0.87	0.79	0.87	4.68	0.79	0.79	0.24	0.08	0.48	0.71	0.32	0.40	0.00	0.00	16.02	1.59	9.52	4.92	3.17	2.22	0.32	0.32	0.79	0.08	0.56	0.00	0.08	0.16	4.28	7.85	0.16	0.24	0.00	0.00	1.82	1.59	2.06	0.08	0.08	17.37
1250_2009_Edsel,RobertM_TheMonumentsMen_HIST.txt	1	1259	21.34	24.94	77.28	1.51	49.40	8.26	4.92	0.56	0.40	0.08	2.46	1.43	3.34	8.74	8.74	6.43	6.12	1.83	0.32	3.49	14.22	6.67	1.27	2.07	1.59	0.16	9.45	1.51	0.24	0.95	4.61	2.30	2.14	0.24	1.27	0.48	13.34	1.75	1.43	0.64	2.38	0.71	0.64	4.69	1.83	0.71	0.24	0.24	0.24	0.48	0.16	0.32	0.00	0.00	15.01	1.83	7.94	5.40	3.18	2.46	1.67	0.71	1.27	1.19	0.56	0.00	0.16	0.24	4.69	9.77	0.16	0.08	0.00	0.08	2.07	0.79	1.35	0.08	0.00	18.43
1250_2009_Jones,Michael_TheRetreat_HIST.txt	1	1244	19.14	29.74	66.40	2.33	40.59	5.95	3.94	1.61	0.48	0.00	1.45	0.40	2.01	7.88	5.79	3.46	2.73	2.57	0.16	1.77	15.19	5.14	0.32	1.85	0.96	0.00	6.59	0.16	0.24	0.56	6.83	2.73	3.94	0.32	2.57	0.32	10.13	1.29	1.61	0.40	0.72	0.40	0.32	4.50	0.48	1.13	0.56	0.16	0.16	0.64	0.24	0.24	0.00	0.16	14.47	1.05	7.40	5.63	1.29	2.25	1.21	0.08	0.48	0.24	1.05	0.00	0.00	0.00	5.55	4.50	1.85	0.16	0.00	0.08	3.54	0.00	2.17	0.00	0.00	16.88
1250_2009_Korda,Michael_WithWingsLikeEagles_HIST.txt	1	1252	41.73	25.00	80.43	0.64	52.88	7.11	2.48	0.24	0.64	0.16	0.64	0.80	4.63	10.78	10.14	6.23	4.87	3.59	0.72	3.12	17.65	6.87	1.20	2.56	0.40	0.00	6.07	0.16	0.00	0.64	7.99	2.32	5.67	0.40	3.67	1.12	14.14	1.60	1.60	1.36	2.72	0.96	0.88	4.23	2.64	0.96	0.40	0.40	0.08	0.48	0.16	0.24	0.08	0.00	14.70	1.92	7.19	5.67	1.28	2.24	0.72	0.16	0.40	0.80	0.72	0.00	0.00	0.16	2.32	8.15	0.00	0.16	0.24	0.00	0.56	1.76	0.56	0.64	0.16	15.02
1250_2009_Senor,Dan_StartUpNation_HIST.txt	1	1257	19.05	20.68	82.74	0.48	54.18	9.94	5.81	0.80	0.40	0.24	3.42	0.95	4.14	8.91	14.16	9.47	8.11	3.50	1.19	4.14	13.52	5.25	1.83	1.99	2.47	0.00	9.63	0.08	0.00	0.95	3.98	2.07	1.91	0.80	0.32	0.64	16.47	2.78	1.83	2.55	2.55	1.19	0.56	3.10	3.90	2.31	0.40	0.95	0.56	0.24	0.08	0.16	0.00	0.00	14.48	1.99	6.52	6.13	4.06	3.10	0.72	0.16	1.11	0.24	0.00	0.00	0.00	0.32	4.77	5.97	0.24	0.08	0.64	0.00	1.67	2.63	1.99	0.00	0.08	17.50
1250_2010_Alexander,Michelle_TheNewJimCrow_HIST.txt	1	1259	25.18	24.54	77.36	0.00	50.04	8.74	5.48	2.70	1.11	0.24	0.95	0.48	3.26	8.74	9.37	7.07	4.21	4.05	0.56	2.30	15.49	5.00	1.03	2.94	0.71	0.00	8.02	1.03	0.00	1.35	4.69	2.78	1.83	0.24	0.95	0.08	13.82	1.67	1.59	1.11	0.95	1.03	1.19	4.92	1.51	1.35	1.19	0.08	0.08	0.64	0.32	0.24	0.00	0.08	13.58	1.35	6.12	5.56	3.97	1.91	0.56	0.24	0.32	0.08	0.32	0.08	0.08	0.16	3.97	6.43	0.08	0.24	0.08	0.00	1.59	0.48	0.87	0.08	0.00	13.19
1250_2010_Asbridge,Thomas_TheCrusades_HIST.txt	1	1265	33.29	29.41	78.18	0.32	47.75	5.38	2.69	0.08	0.08	0.00	1.74	0.79	2.69	10.36	5.77	3.72	3.48	1.74	0.40	1.74	17.39	8.06	0.00	1.74	1.42	0.24	5.45	0.08	0.08	0.47	6.48	2.85	3.64	0.71	2.37	0.24	14.39	1.98	2.45	0.32	1.42	0.87	0.79	6.32	1.03	0.55	0.00	0.16	0.08	0.95	0.55	0.24	0.08	0.16	13.60	1.58	7.27	4.82	1.34	1.82	0.40	0.16	0.55	5.22	0.55	0.00	0.08	0.08	3.00	5.14	0.24	0.71	0.32	0.00	3.16	0.00	0.87	0.32	0.08	12.96
1250_2010_Blum,Deborah_ThePoisonersHandbook_HIST.txt	1	1258	22.46	33.86	72.34	1.11	43.32	4.13	1.75	0.08	0.08	0.08	0.64	0.87	2.38	10.02	7.31	4.77	4.85	1.03	0.56	2.70	14.39	5.41	0.72	2.07	1.43	0.00	3.90	0.16	0.00	0.40	7.00	1.83	5.17	0.24	3.97	0.64	12.32	3.26	1.83	0.40	1.35	0.24	0.40	3.90	0.95	0.64	0.32	0.00	0.16	4.85	0.32	3.97	0.00	0.56	13.91	1.59	6.52	5.64	4.45	2.07	1.03	0.08	0.56	0.40	2.15	0.00	0.00	0.16	4.85	7.00	0.08	0.64	0.00	0.00	1.83	0.64	0.72	0.40	0.00	15.66
