LEMMA	PROB
CHAR	0.01586423169156982
ability	0.0006763819713460001
about	0.0006763819713460001
accept	0.0008608497817130911
accompany	0.0016602102933038186
act	0.0007993605115907274
add	0.0040582918280760005
address	0.002951484965873455
advance	0.0007993605115907274
allow	0.0009223390518354548
answer	0.005288077230523274
appear	0.002152124454282728
approach	0.001045317592080182
arm	0.007194244604316547
arrive	0.0009838283219578184
ascend	0.0007378712414683637
ask	0.013343171616552912
assent	0.0014757424829367274
assure	0.0007993605115907274
attention	0.002152124454282728
awake	0.0008608497817130911
back	0.0020291459140380002
be	0.011559982783004366
bear	0.001967656643915637
beckon	0.001045317592080182
become	0.0025210600750169097
bed	0.0011682961323249094
beg	0.0011682961323249094
begin	0.0044887167189325465
believe	0.0012912746725696365
bid	0.0009223390518354548
book	0.0006763819713460001
bow	0.0016602102933038186
breakfast	0.0009838283219578184
breast	0.002090635184160364
breath	0.0007993605115907274
bring	0.003689356207341819
call	0.004242759638443091
carry	0.0017831888335485457
case	0.001045317592080182
catch	0.0016602102933038186
cause	0.0009223390518354548
chair	0.0030744635061181825
change	0.0011682961323249094
character	0.0011682961323249094
charge	0.0007993605115907274
child	0.0011068068622025456
chin	0.0006763819713460001
clasp	0.0006763819713460001
close	0.0014757424829367274
coat	0.0014142532128143639
come	0.010022751029945275
companion	0.0032589313164852734
company	0.0008608497817130911
compliment	0.0009223390518354548
conduct	0.0008608497817130911
confidence	0.0007993605115907274
consider	0.0008608497817130911
contemplate	0.0007378712414683637
continue	0.002398081534772182
could	0.001906167373793273
cross	0.0007993605115907274
cry	0.016602102933038185
daughter	0.0014757424829367274
dear	0.003996802557953637
declare	0.0006763819713460001
delighted	0.0007378712414683637
deliver	0.0008608497817130911
demand	0.0015372317530590912
desert	0.0008608497817130911
desire	0.0006763819713460001
determine	0.0007378712414683637
die	0.0008608497817130911
difficulty	0.0008608497817130911
direct	0.0006763819713460001
do	0.011682961323249093
door	0.002090635184160364
doubt	0.0007378712414683637
drag	0.0006763819713460001
draw	0.0030744635061181825
dream	0.0006763819713460001
dress	0.001045317592080182
drink	0.0009223390518354548
drive	0.0007993605115907274
drop	0.0007378712414683637
ear	0.0015372317530590912
elbow	0.0006763819713460001
embrace	0.0007378712414683637
enable	0.0007993605115907274
encourage	0.001045317592080182
enter	0.0014142532128143639
entreat	0.0009838283219578184
exclaim	0.0013527639426920003
expect	0.0015987210231814548
explain	0.0011682961323249094
eye	0.013712107237287094
face	0.011437004242759638
fall	0.0023365922646498187
fancy	0.0007993605115907274
father	0.002398081534772182
fear	0.0008608497817130911
feel	0.00793211584578491
feeling	0.0009223390518354548
fellow	0.0009223390518354548
find	0.007194244604316547
finger	0.0013527639426920003
finish	0.0009223390518354548
first	0.0006763819713460001
fold	0.0007993605115907274
follow	0.0037508454774641824
foot	0.0027055278853840006
force	0.0006763819713460001
forget	0.0007993605115907274
fortune	0.0008608497817130911
friend	0.007563180225050729
gaze	0.0011682961323249094
gentleman	0.0006763819713460001
get	0.0037508454774641824
give	0.009161901248232183
glad	0.0009838283219578184
glance	0.002767017155506364
glass	0.001045317592080182
go	0.013220193076308184
good	0.0011682961323249094
hair	0.0014757424829367274
hand	0.01992252351964582
hang	0.0007378712414683637
happy	0.0008608497817130911
hat	0.0034433991268523643
have	0.02342741191662055
head	0.011559982783004366
hear	0.006148927012236365
heart	0.0046731845292996375
help	0.0020291459140380002
himself	0.001229785402447273
hint	0.0006763819713460001
hold	0.0037508454774641824
home	0.0017216995634261822
hope	0.002275102994527455
horse	0.0009838283219578184
house	0.0031974420463629096
hurry	0.0018446781036709095
i	0.002152124454282728
inform	0.001229785402447273
inquire	0.0030744635061181825
inquiry	0.0007378712414683637
intention	0.0007993605115907274
interest	0.0006763819713460001
interpose	0.0008608497817130911
invite	0.001045317592080182
