LEMMA	PROB
CHAR	0.025245149175881495
add	0.006050490298351763
arm	0.0031295639474233257
ask	0.019611934070519508
back	0.0025036511579386604
bag	0.003755476736907991
be	0.01272689338618819
beauty	0.0025036511579386604
become	0.002712288754433549
begin	0.011266430210723972
book	0.0035468391404131026
bring	0.0025036511579386604
brother	0.0035468391404131026
call	0.005215939912372209
chair	0.005007302315877321
cheek	0.002712288754433549
come	0.015856457333611518
cry	0.005215939912372209
do	0.016273732526601293
draw	0.0035468391404131026
dress	0.004798664719382432
exclaim	0.0077195910703108704
eye	0.01564781973711663
face	0.008136866263300646
fall	0.002712288754433549
father	0.006676403087836428
feel	0.022950135614437723
find	0.006050490298351763
follow	0.003755476736907991
foot	0.007093678280826205
get	0.007928228666805759
give	0.010014604631754642
glance	0.0031295639474233257
go	0.02566242436887127
hair	0.0025036511579386604
hand	0.024201961193407052
have	0.02461923638639683
head	0.009805967035259754
hear	0.007510953473815982
heart	0.0025036511579386604
help	0.0039641143334028794
herself	0.002712288754433549
hold	0.006050490298351763
husband	0.00646776549134154
interrupt	0.0022950135614437724
it	0.006676403087836428
keep	0.0022950135614437724
knee	0.005424577508867098
know	0.019820571667014397
laugh	0.006259127894846651
lay	0.00646776549134154
lean	0.0022950135614437724
leave	0.00918005424577509
letter	0.0025036511579386604
lie	0.0025036511579386604
life	0.006259127894846651
like	0.0089714166492802
lip	0.0035468391404131026
listen	0.0039641143334028794
look	0.03463384101815147
love	0.00646776549134154
make	0.009597329438764865
marry	0.004590027122887545
mean	0.004172751929897768
meet	0.0022950135614437724
mind	0.008554141456290423
mother	0.0039641143334028794
murmur	0.0035468391404131026
nothing	0.002712288754433549
notice	0.002712288754433549
one	0.002712288754433549
open	0.0031295639474233257
party	0.003338201543918214
pass	0.0022950135614437724
pause	0.0031295639474233257
pipe	0.0029209263509284373
protest	0.0022950135614437724
put	0.0058418527018568745
read	0.00918005424577509
remember	0.006885040684331317
repeat	0.006676403087836428
rise	0.0029209263509284373
room	0.005633215105361986
round	0.0022950135614437724
run	0.0029209263509284373
say	0.12100980596703526
see	0.03797204256206969
seem	0.005007302315877321
shoulder	0.0022950135614437724
show	0.0022950135614437724
side	0.0031295639474233257
sister	0.002712288754433549
sit	0.016065094930106404
smile	0.002712288754433549
speak	0.005633215105361986
stand	0.011892343000208638
start	0.0025036511579386604
stop	0.007510953473815982
take	0.01418735656165241
talk	0.0035468391404131026
tell	0.013144168579177967
they	0.0025036511579386604
think	0.05716670143959941
throw	0.0031295639474233257
try	0.0022950135614437724
turn	0.010014604631754642
understand	0.0025036511579386604
voice	0.005215939912372209
wait	0.003338201543918214
walk	0.005424577508867098
want	0.011266430210723972
watch	0.004590027122887545
way	0.0029209263509284373
wear	0.003338201543918214
wish	0.004381389526392656
wonder	0.0058418527018568745
word	0.003338201543918214
would	0.0022950135614437724
write	0.009388691842269977
