LEMMA	PROB
CHAR	0.014248774443786026
a	0.0003681157858823107
abandon	0.00015263337463412881
ability	0.0001616118084361364
able	0.00025139614645621215
about	0.0005027922929124243
absence	0.00025139614645621215
absent	0.00025139614645621215
absorb	0.00010774120562409094
accept	0.0003591373520803031
accompany	0.0010145630196268564
accost	9.876277182208335e-05
account	0.000404029521090341
accustom	0.00022446084505018944
acknowledge	0.00017956867604015155
acknowledgment	9.876277182208335e-05
acquaint	0.0002962883154662501
acquaintance	0.0004130079548923486
acquiesce	9.876277182208335e-05
acquire	0.0001616118084361364
act	0.00043096482249636376
action	0.00014365494083212125
add	0.0033758911095548494
address	0.00174181615758947
adjust	9.876277182208335e-05
admiration	0.0002065039774461743
admire	0.00023343927885219703
admit	0.0003770942196843183
adopt	0.0001616118084361364
advance	0.0004489216901003789
adversary	0.00012569807322810608
advice	0.000170590242238144
advise	0.00025139614645621215
affair	0.0003142451830702652
affect	0.000404029521090341
affection	0.0003142451830702652
afford	0.00026935301406022733
afraid	0.0003142451830702652
age	0.00018854710984215914
agitation	0.00022446084505018944
agree	0.00022446084505018944
aid	0.00015263337463412881
air	0.0003501589182782955
alarm	0.00012569807322810608
alive	0.00018854710984215914
all	0.0004848354253084092
allow	0.0005656413295264774
alone	0.00023343927885219703
amaze	0.00018854710984215914
amuse	0.00017956867604015155
anger	0.00010774120562409094
angry	0.00013467650703011366
announce	0.0003232236168722728
another	0.00018854710984215914
answer	0.004650828709439925
anticipate	0.0001616118084361364
anxiety	0.00025139614645621215
anxious	0.00025139614645621215
any	9.876277182208335e-05
anything	0.0003322020506742804
apartment	0.00030526674926825763
appeal	0.0001975255436441667
appear	0.0020740182082637504
appearance	0.0005207491605164395
appetite	0.00012569807322810608
apply	0.00038607265348632587
appoint	0.00011671963942609851
apprehension	0.00011671963942609851
approach	0.0006374687999425381
approve	0.00013467650703011366
apron	0.00017956867604015155
ard	9.876277182208335e-05
argue	0.00013467650703011366
arise	0.0001616118084361364
arm	0.005135664134748335
arrange	0.0002783314478622349
arrest	9.876277182208335e-05
arrival	0.0003322020506742804
arrive	0.0006195119323385229
ascend	0.00021548241124818188
ascertain	0.00011671963942609851
ashamed	9.876277182208335e-05
ask	0.00956203199913807
asleep	0.00025139614645621215
assent	0.0010235414534288639
assist	0.00047585699150640165
assistance	0.00013467650703011366
assistant	0.00010774120562409094
associate	0.00012569807322810608
assume	0.0002424177126542046
assure	0.0005207491605164395
astonish	0.00010774120562409094
astonished	0.0001975255436441667
astonishment	0.000170590242238144
attach	0.00018854710984215914
attachment	9.876277182208335e-05
attempt	0.00018854710984215914
attend	0.0003501589182782955
attendance	0.00010774120562409094
attendant	0.00012569807322810608
attention	0.0012210669970730305
attire	0.00014365494083212125
attitude	0.0002424177126542046
attract	9.876277182208335e-05
aunt	0.0001616118084361364
avoid	0.00022446084505018944
await	0.000170590242238144
awake	0.0003501589182782955
awaken	0.00015263337463412881
aware	0.000170590242238144
back	0.0013288082026971216
bad	0.00011671963942609851
bank	0.00015263337463412881
basket	0.00011671963942609851
be	0.011321805024331555
beam	9.876277182208335e-05
bear	0.001319829768895114
bearing	0.00010774120562409094
beat	0.00026935301406022733
beautiful	0.0001616118084361364
beauty	0.0002424177126542046
beckon	0.0005207491605164395
become	0.001957298568837652
bed	0.0008260159097846972
bedroom	0.0001616118084361364
beg	0.0011133257914489397
begin	0.003295085205336781
behalf	0.00013467650703011366
behaviour	0.00018854710984215914
behold	0.000404029521090341
being	0.00011671963942609851
believe	0.0010684336224389018
bell	0.0001616118084361364
bend	0.00012569807322810608
bent	0.00046687855770439406
best	0.00030526674926825763
bestow	0.0002873098816642425
betray	9.876277182208335e-05
better	0.0005566628957244698
bid	0.000574619763328485
bill	0.00017956867604015155
bind	0.0002783314478622349
bite	0.00026935301406022733
blame	0.00013467650703011366
bless	0.0003142451830702652
blind	0.0001616118084361364
blood	0.00012569807322810608
blow	0.0002424177126542046
blush	0.00017956867604015155
board	0.00010774120562409094
body	0.0003322020506742804
bold	0.00010774120562409094
bonnet	0.0004489216901003789
book	0.00046687855770439406
boot	0.0003681157858823107
bosom	0.00043096482249636376
bottle	0.00012569807322810608
bow	0.000870908078794735
box	0.00038607265348632587
boy	0.0007092962703585987
brain	0.0002065039774461743
break	0.0007990806083786745
breakfast	0.00042198638869435617
breast	0.0011851532618650004
breath	0.000574619763328485
breathe	0.00025139614645621215
breathing	9.876277182208335e-05
brighten	0.00013467650703011366
bring	0.002935947853256478
brother	0.0014365494083212124
brow	0.0005297275943184471
build	0.00010774120562409094
bundle	0.0001616118084361364
burn	0.00010774120562409094
burst	0.00025139614645621215
bury	0.00012569807322810608
business	0.0006105334985365153
busy	0.0002065039774461743
button	0.00011671963942609851
buy	0.00026037458025821974
calculation	0.00010774120562409094
call	0.003438740146168902
can	0.00021548241124818188
candle	0.0001975255436441667
cane	0.000170590242238144
cap	0.0002783314478622349
capable	9.876277182208335e-05
capacity	0.00011671963942609851
card	0.00026037458025821974
care	0.0005387060281204547
career	0.00011671963942609851
careful	9.876277182208335e-05
caress	0.00010774120562409094
carriage	0.00026037458025821974
carry	0.0011223042252509472
case	0.0005297275943184471
cast	0.0006284903661405304
catch	0.001212088563271023
cause	0.0007721453069726517
caution	0.00021548241124818188
cease	0.00042198638869435617
certain	0.0003142451830702652
chair	0.002504983030760114
chamber	0.0005387060281204547
chance	0.00014365494083212125
change	0.0007092962703585987
character	0.000700317836556591
charge	0.0004848354253084092
charm	0.00026037458025821974
check	0.0003770942196843183
cheek	0.0006733825351505683
