"","source","target","weight","type"
"1","dörr","lene",6,"undirected"
"4","botho","lene",7,"undirected"
"5","garten","lene",1,"undirected"
"8","käthe","lene",1,"undirected"
"13","franke","lene",7,"undirected"
"14","dörr","nimptsch",8,"undirected"
"15","lene","nimptsch",8,"undirected"
"17","botho","nimptsch",6,"undirected"
"21","käthe","nimptsch",1,"undirected"
"25","balkon","nimptsch",1,"undirected"
"26","franke","nimptsch",5,"undirected"
"27","dörr","schloß",1,"undirected"
"29","nimptsch","schloß",1,"undirected"
"30","botho","schloß",1,"undirected"
"39","franke","schloß",1,"undirected"
"43","botho","garten",1,"undirected"
"52","franke","garten",1,"undirected"
"56","botho","dörr",2,"undirected"
"68","nimptsch","pitt",1,"undirected"
"69","botho","pitt",1,"undirected"
"72","balafré","pitt",2,"undirected"
"73","käthe","pitt",3,"undirected"
"77","balkon","pitt",1,"undirected"
"81","nimptsch","serge",1,"undirected"
"82","botho","serge",1,"undirected"
"84","pitt","serge",3,"undirected"
"85","balafré","serge",2,"undirected"
"86","käthe","serge",3,"undirected"
"90","balkon","serge",1,"undirected"
"92","dörr","käthe",1,"undirected"
"95","botho","käthe",16,"undirected"
"96","garten","käthe",1,"undirected"
"98","balafré","käthe",5,"undirected"
"103","balkon","käthe",4,"undirected"
"111","balafré","botho",5,"undirected"
"116","balkon","botho",5,"undirected"
"157","dörr","franke",5,"undirected"
"160","botho","franke",7,"undirected"
"176","balafré","balkon",1,"undirected"
