X,segment,ttr,ant1,ant2,syn1,syn2,ant.syn1,ant.syn2
53,26500,0.5722891566,0.0001715119,0.0355029586,0.0010836432,0.2130177515,0.1582733813,0.1666666667
54,27000,0.5252525253,0.0002736396,0.0681362725,0.0011911373,0.2084168337,0.2297297297,0.3269230769
55,27500,0.6237218814,0.0001554002,0.0404040404,0.0008015376,0.197979798,0.193877551,0.2040816327
56,28000,0.5870445344,0.0002805611,0.064,0.0012024048,0.252,0.2333333333,0.253968254
57,28500,0.6119096509,0.0005009901,0.0657370518,0.0011133112,0.219123506,0.45,0.3
58,29000,0.5824847251,0.0003584229,0.0665322581,0.0005783643,0.1491935484,0.6197183099,0.4459459459
59,29500,0.6571428571,0.0002012056,0.0741482966,0.0009979799,0.2124248497,0.2016129032,0.3490566038
60,30000,0.5599173554,0.000332641,0.0684104628,0.0016145259,0.2575452716,0.2060301508,0.265625
61,30500,0.6152263374,0.0001330064,0.0509164969,0.0007980382,0.2077393075,0.1666666667,0.2450980392
62,31000,0.6,0.0001236828,0.0385395538,0.0004699946,0.1257606491,0.2631578947,0.3064516129
63,31500,0.5845511482,0.0002208318,0.0707070707,0.0010714432,0.197979798,0.2061068702,0.3571428571
64,32000,0.6016427105,0.0003313051,0.0642570281,0.0007676582,0.1746987952,0.4315789474,0.367816092
65,32500,0.59137577,9.61923847695e-05,0.034,0.0013627255,0.234,0.0705882353,0.1452991453
66,33000,0.6025104603,0.0002235358,0.0528455285,0.0007782359,0.2093495935,0.2872340426,0.2524271845
67,33500,0.5094339623,0.0002188036,0.0512295082,0.0006311644,0.1331967213,0.3466666667,0.3846153846
68,34000,0.5775510204,0.0001829011,0.0717131474,0.0008031745,0.187250996,0.2277227723,0.3829787234
69,34500,0.6164948454,0.0002371897,0.0606060606,0.0007770008,0.1494949495,0.3052631579,0.4054054054
70,35000,0.5925925926,0.000239521,0.0598802395,0.0010618762,0.2415169661,0.2255639098,0.2479338843
71,35500,0.6252545825,7.18562874251e-05,0.0319361277,0.0006786427,0.1716566866,0.1058823529,0.1860465116
72,36000,0.5809128631,0.0002909514,0.0875763747,0.0008063511,0.2138492872,0.3608247423,0.4095238095
73,36500,0.5450819672,0.0001472212,0.0464646465,0.0006216006,0.1737373737,0.2368421053,0.2674418605
74,37000,0.549898167,0.0002190563,0.0442655936,0.0007383008,0.1589537223,0.2967032967,0.2784810127
75,37500,0.5405405405,0.0001662579,0.0468431772,0.0013550023,0.2281059063,0.1226993865,0.2053571429
76,38000,0.50625,0.0001319283,0.0344827586,0.0009399891,0.1886409736,0.1403508772,0.1827956989
