"","source","target","weight","type"
"1","dörr","lene",23,"undirected"
"4","botho","lene",12,"undirected"
"5","garten","lene",5,"undirected"
"7","balafré","lene",1,"undirected"
"14","dörr","nimptsch",15,"undirected"
"15","lene","nimptsch",13,"undirected"
"17","botho","nimptsch",5,"undirected"
"18","garten","nimptsch",2,"undirected"
"27","dörr","schloß",7,"undirected"
"28","lene","schloß",6,"undirected"
"29","nimptsch","schloß",4,"undirected"
"30","botho","schloß",2,"undirected"
"31","garten","schloß",1,"undirected"
"33","balafré","schloß",1,"undirected"
"40","dörr","garten",5,"undirected"
"43","botho","garten",2,"undirected"
"56","botho","dörr",11,"undirected"
"59","balafré","dörr",1,"undirected"
"66","dörr","pitt",1,"undirected"
"67","lene","pitt",1,"undirected"
"68","nimptsch","pitt",1,"undirected"
"69","botho","pitt",1,"undirected"
"72","balafré","pitt",1,"undirected"
"82","botho","serge",1,"undirected"
"84","pitt","serge",2,"undirected"
"95","botho","käthe",2,"undirected"
"98","balafré","käthe",1,"undirected"
"111","balafré","botho",1,"undirected"
