STORY ID	PUB. DATE	CLASS	CHAR. (TOP 100)	NOUN (TOP 100)	CHAR. (TOP 500)	NOUN (TOP 500)	CHAR. (TOP 1000)	NOUN (TOP 1000)
22478	1986	c20	0.7981521772	0.5466900918	0.760884834	0.400668338	0.74259382	0.4394145041
22479	1986	c20	0.5086910261	0	0.4977608325	0	0.4823295282	0
22480	1986	c20	0.2528417842	0.3676191253	0.2314365757	0.42328964	0.2229450419	0.3731822481
22481	1986	c20	0.8314891212	0.7556015087	0.7657742527	0.6810833851	0.7408482026	0.6384911653
22482	1986	c20	0.9552399974	0.9259962343	0.9160524492	0.8841719103	0.9101175128	0.8627013512
22483	1986	c20	0.9393303205	0	0.905175168	0	0.8956699367	0
22484	1986	c20	0.9175075159	0.7841568471	0.8982023394	0.5333575224	0.8894707344	0.4913036844
22485	1986	c20	0	0.6862797187	0	0.6211324796	0	0.5881899319
22486	1986	c20	0.7911447562	0.6694386814	0.7391548206	0.4479546293	0.7211696034	0.401529388
22487	1986	c20	0.9073016724	0.3471976081	0.8842203484	0.320413036	0.877597573	0.310795396
22488	1986	c20	0.8832686078	0.3358302471	0.8486713527	0.2214037214	0.8362774006	0.3027246748
22489	1986	c20	0.805499637	0	0.7675194036	0	0.7488050376	0
22490	1986	c20	0.8558172679	0.7627408343	0.8408264227	0.6984726071	0.83560483	0.6677805633
22491	1986	c20	0.9472904357	0.6127016614	0.9312251689	0.5184700462	0.9237031962	0.4361977262
22492	1986	c20	0.7825511439	0.5986660872	0.7051938836	0.6026522383	0.700268288	0.5699839268
22493	1986	c20	0.8696208476	0.9563211914	0.8190535056	0.8885902347	0.8032756511	0.8723386246
22494	1986	c20	0.7800488824	0.8245303658	0.7415163183	0.5801547539	0.7279890311	0.5672214821
22495	1986	c20	0.6652452791	0.263298973	0.638381596	0.2451517962	0.6313223533	0.2123570766
22497	1986	c20	0.4284073772	0.5613171324	0.3428462908	0.5876288729	0.3252180951	0.5756885676
22498	1986	c20	0.7583957694	0.9930709878	0.6974739769	0.988400886	0.6770011329	0.9858578878
22499	1986	c20	0.5585928769	0.6831300511	0.506402014	0.6177207681	0.4888237167	0.4780508432
22500	1986	c20	0.8630817602	0.5175491695	0.8231640485	0.4543089131	0.8028065985	0.4239115209
22501	1986	c20	0.8342878637	0.1788854382	0.7852196641	0.0942809042	0.7609119644	0.1189577379
22502	1986	c20	0	0.6721296214	0.1698415551	0.5702427583	0.1438389904	0.5381877538
22503	1986	c20	0	0.7714080778	0	0.7459018818	0	0.7205766921
22504	1986	c20	0.8312655994	0.2601329909	0.7851531039	0.4040950971	0.7687542719	0.338181504
